node_no,node,session_id,status,duration_ms,error
1,task_intake_and_scope_planning,goal_round02_west_nile_california_2024_08,completed,4,
2,disease_intelligence_builder,goal_round02_west_nile_california_2024_08,completed,52614,
3,profile_and_schema_setup,goal_round02_west_nile_california_2024_08,completed,5,
4,executable_source_planning,goal_round02_west_nile_california_2024_08,completed,61309,
5,query_strategy_builder,goal_round02_west_nile_california_2024_08,completed,9,
6,source_discovery,goal_round02_west_nile_california_2024_08,completed,186976,
7,source_dedup_and_registry,goal_round02_west_nile_california_2024_08,completed,21,
8,source_screening,goal_round02_west_nile_california_2024_08,completed,32,
9,source_critic_and_uncertainty_routing,goal_round02_west_nile_california_2024_08,completed,76091,
10,content_fetch_and_parse,goal_round02_west_nile_california_2024_08,completed,35226,
11,document_quality_check,goal_round02_west_nile_california_2024_08,completed,678,
12,evidence_chunking_and_data_presence_flagging,goal_round02_west_nile_california_2024_08,completed,1048,
13,structured_extraction,goal_round02_west_nile_california_2024_08,completed,401305,
14,schema_validation_and_repair,goal_round02_west_nile_california_2024_08,completed,300,
15,record_normalization,goal_round02_west_nile_california_2024_08,completed,184,
16,record_linking,goal_round02_west_nile_california_2024_08,completed,112,
17,cross_source_consistency_check,goal_round02_west_nile_california_2024_08,completed,144,
18,quality_gate_routing,goal_round02_west_nile_california_2024_08,completed,113,
19,human_review,goal_round02_west_nile_california_2024_08,pending,,
20,final_data_package_builder,goal_round02_west_nile_california_2024_08,completed,327,
1,task_intake_and_scope_planning,goal_round02_mpox_drc_2024_08,completed,2,
2,disease_intelligence_builder,goal_round02_mpox_drc_2024_08,completed,60178,
3,profile_and_schema_setup,goal_round02_mpox_drc_2024_08,completed,3,
4,executable_source_planning,goal_round02_mpox_drc_2024_08,completed,61132,
5,query_strategy_builder,goal_round02_mpox_drc_2024_08,completed,10,
6,source_discovery,goal_round02_mpox_drc_2024_08,completed,150267,
7,source_dedup_and_registry,goal_round02_mpox_drc_2024_08,completed,18,
8,source_screening,goal_round02_mpox_drc_2024_08,completed,23,
9,source_critic_and_uncertainty_routing,goal_round02_mpox_drc_2024_08,completed,62490,
10,content_fetch_and_parse,goal_round02_mpox_drc_2024_08,completed,78770,
11,document_quality_check,goal_round02_mpox_drc_2024_08,completed,2392,
12,evidence_chunking_and_data_presence_flagging,goal_round02_mpox_drc_2024_08,completed,3512,
13,structured_extraction,goal_round02_mpox_drc_2024_08,completed,368342,
14,schema_validation_and_repair,goal_round02_mpox_drc_2024_08,completed,289,
15,record_normalization,goal_round02_mpox_drc_2024_08,completed,284,
16,record_linking,goal_round02_mpox_drc_2024_08,completed,111,
17,cross_source_consistency_check,goal_round02_mpox_drc_2024_08,completed,134,
18,quality_gate_routing,goal_round02_mpox_drc_2024_08,completed,128,
19,human_review,goal_round02_mpox_drc_2024_08,pending,,
20,final_data_package_builder,goal_round02_mpox_drc_2024_08,completed,740,
1,task_intake_and_scope_planning,goal_round02_salmonella_us_2024_05_07,completed,4,
2,disease_intelligence_builder,goal_round02_salmonella_us_2024_05_07,completed,57005,
3,profile_and_schema_setup,goal_round02_salmonella_us_2024_05_07,completed,4,
4,executable_source_planning,goal_round02_salmonella_us_2024_05_07,completed,59952,
5,query_strategy_builder,goal_round02_salmonella_us_2024_05_07,completed,11,
6,source_discovery,goal_round02_salmonella_us_2024_05_07,completed,176696,
7,source_dedup_and_registry,goal_round02_salmonella_us_2024_05_07,completed,21,
8,source_screening,goal_round02_salmonella_us_2024_05_07,completed,31,
9,source_critic_and_uncertainty_routing,goal_round02_salmonella_us_2024_05_07,completed,79438,
10,content_fetch_and_parse,goal_round02_salmonella_us_2024_05_07,completed,61786,
11,document_quality_check,goal_round02_salmonella_us_2024_05_07,completed,2115,
12,evidence_chunking_and_data_presence_flagging,goal_round02_salmonella_us_2024_05_07,completed,3189,
13,structured_extraction,goal_round02_salmonella_us_2024_05_07,completed,255294,
14,schema_validation_and_repair,goal_round02_salmonella_us_2024_05_07,completed,166,
15,record_normalization,goal_round02_salmonella_us_2024_05_07,completed,179,
16,record_linking,goal_round02_salmonella_us_2024_05_07,completed,131,
17,cross_source_consistency_check,goal_round02_salmonella_us_2024_05_07,completed,157,
18,quality_gate_routing,goal_round02_salmonella_us_2024_05_07,completed,144,
19,human_review,goal_round02_salmonella_us_2024_05_07,pending,,
20,final_data_package_builder,goal_round02_salmonella_us_2024_05_07,completed,330,
