session_id,node,concept,actual_nodes,status,duration_ms,message
goal_round08_measles_us_2025_q1,01,task scope,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round08_measles_us_2025_q1,02,disease intelligence,disease_intelligence_builder,completed,52956,disease_intelligence_builder completed.
goal_round08_measles_us_2025_q1,03,profile/schema setup,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round08_measles_us_2025_q1,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,60849;14,executable_source_planning completed. | query_strategy_builder completed.
goal_round08_measles_us_2025_q1,05,source discovery,source_discovery,completed,171519,source_discovery completed.
goal_round08_measles_us_2025_q1,06,source registry/dedup,source_dedup_and_registry,completed,20,source_dedup_and_registry completed.
goal_round08_measles_us_2025_q1,07,source screening,source_screening,completed,25,source_screening completed.
goal_round08_measles_us_2025_q1,08,source critic,source_critic_and_uncertainty_routing,completed,87557,source_critic_and_uncertainty_routing completed.
goal_round08_measles_us_2025_q1,09,fetch/parse,content_fetch_and_parse,completed,25688,content_fetch_and_parse completed.
goal_round08_measles_us_2025_q1,10,document quality,document_quality_check,completed,1463,document_quality_check completed.
goal_round08_measles_us_2025_q1,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,2132,evidence_chunking_and_data_presence_flagging completed.
goal_round08_measles_us_2025_q1,12,structured extraction,structured_extraction,completed,490267,structured_extraction completed.
goal_round08_measles_us_2025_q1,13,schema validation,schema_validation_and_repair,completed,271,schema_validation_and_repair completed.
goal_round08_measles_us_2025_q1,14,normalization,record_normalization,completed,264,record_normalization completed.
goal_round08_measles_us_2025_q1,15,record linking,record_linking,completed,112,record_linking completed.
goal_round08_measles_us_2025_q1,16,cross-source consistency,cross_source_consistency_check,completed,169,cross_source_consistency_check completed.
goal_round08_measles_us_2025_q1,17,quality gate routing,quality_gate_routing,completed,115,quality_gate_routing completed.
goal_round08_measles_us_2025_q1,18,human review queue,human_review,pending,,
goal_round08_measles_us_2025_q1,19,post-review application,human_review,pending,,
goal_round08_measles_us_2025_q1,20,final package/report,final_data_package_builder,completed,733,final_data_package_builder completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,01,task scope,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,02,disease intelligence,disease_intelligence_builder,completed,55321,disease_intelligence_builder completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,03,profile/schema setup,profile_and_schema_setup,completed,5,profile_and_schema_setup completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,58828;10,executable_source_planning completed. | query_strategy_builder completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,05,source discovery,source_discovery,completed,159410,source_discovery completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,06,source registry/dedup,source_dedup_and_registry,completed,22,source_dedup_and_registry completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,07,source screening,source_screening,completed,28,source_screening completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,08,source critic,source_critic_and_uncertainty_routing,completed,176,source_critic_and_uncertainty_routing completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,09,fetch/parse,content_fetch_and_parse,completed,1210,content_fetch_and_parse completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,10,document quality,document_quality_check,completed,111,document_quality_check completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,152,evidence_chunking_and_data_presence_flagging completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,12,structured extraction,structured_extraction,completed,54515,structured_extraction completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,13,schema validation,schema_validation_and_repair,completed,90,schema_validation_and_repair completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,14,normalization,record_normalization,completed,87,record_normalization completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,15,record linking,record_linking,completed,69,record_linking completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,16,cross-source consistency,cross_source_consistency_check,completed,73,cross_source_consistency_check completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,17,quality gate routing,quality_gate_routing,completed,74,quality_gate_routing completed.
goal_round08_flu_united_states_2024_09_29_2024_10_05,18,human review queue,human_review,pending,,
goal_round08_flu_united_states_2024_09_29_2024_10_05,19,post-review application,human_review,pending,,
goal_round08_flu_united_states_2024_09_29_2024_10_05,20,final package/report,final_data_package_builder,completed,150,final_data_package_builder completed.
goal_round08_dengue_brazil_2024_q1,01,task scope,task_intake_and_scope_planning,completed,3,task_intake_and_scope_planning completed.
goal_round08_dengue_brazil_2024_q1,02,disease intelligence,disease_intelligence_builder,completed,52867,disease_intelligence_builder completed.
goal_round08_dengue_brazil_2024_q1,03,profile/schema setup,profile_and_schema_setup,completed,4,profile_and_schema_setup completed.
goal_round08_dengue_brazil_2024_q1,04,source planning/query strategy,executable_source_planning;query_strategy_builder,completed;completed,59971;10,executable_source_planning completed. | query_strategy_builder completed.
goal_round08_dengue_brazil_2024_q1,05,source discovery,source_discovery,completed,193135,source_discovery completed.
goal_round08_dengue_brazil_2024_q1,06,source registry/dedup,source_dedup_and_registry,completed,22,source_dedup_and_registry completed.
goal_round08_dengue_brazil_2024_q1,07,source screening,source_screening,completed,29,source_screening completed.
goal_round08_dengue_brazil_2024_q1,08,source critic,source_critic_and_uncertainty_routing,completed,67974,source_critic_and_uncertainty_routing completed.
goal_round08_dengue_brazil_2024_q1,09,fetch/parse,content_fetch_and_parse,completed,47197,content_fetch_and_parse completed.
goal_round08_dengue_brazil_2024_q1,10,document quality,document_quality_check,completed,1277,document_quality_check completed.
goal_round08_dengue_brazil_2024_q1,11,evidence chunking,evidence_chunking_and_data_presence_flagging,completed,1075,evidence_chunking_and_data_presence_flagging completed.
goal_round08_dengue_brazil_2024_q1,12,structured extraction,structured_extraction,completed,268863,structured_extraction completed.
goal_round08_dengue_brazil_2024_q1,13,schema validation,schema_validation_and_repair,completed,268,schema_validation_and_repair completed.
goal_round08_dengue_brazil_2024_q1,14,normalization,record_normalization,completed,156,record_normalization completed.
goal_round08_dengue_brazil_2024_q1,15,record linking,record_linking,completed,110,record_linking completed.
goal_round08_dengue_brazil_2024_q1,16,cross-source consistency,cross_source_consistency_check,completed,128,cross_source_consistency_check completed.
goal_round08_dengue_brazil_2024_q1,17,quality gate routing,quality_gate_routing,completed,119,quality_gate_routing completed.
goal_round08_dengue_brazil_2024_q1,18,human review queue,human_review,pending,,
goal_round08_dengue_brazil_2024_q1,19,post-review application,human_review,pending,,
goal_round08_dengue_brazil_2024_q1,20,final package/report,final_data_package_builder,completed,268,final_data_package_builder completed.
