actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,"[""Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)
![Centers for Disease Control and Prevention. CDC twent",Centers for Disease Control and Prevention,,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC""]",page_metadata_or_text,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_ff1cee7a6f74,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/surveillance/2024-week-40.html,False,False,True,False,possibly_relevant,not_assessed,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T13:52:23+00:00,official_authority,https://msdh.ms.gov/page/resources/20794.pdf,primary_case_claim_support,,,live_search_result,not_assessed,msdh.ms.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"About our flu activity reporting MSDH relies upon selected sentinel health practitioners across the state to report the percentage of total patient visits consistent with an influenza-like illness (ILI: fever of 100°F or higher AND cough and/or sore throat). Also, providers are supplied with specimen collection kits. Samples are submitted to the Mississippi Public Health Laboratory for influenza PCR testing. Reports are used to estimate the state’s ILI rate and the magnitude of the state’s influenza activity. Reports represent only the distribution of flu in the state, not an actual count of a",,,[PDF] 2024-2025 Influenza Surveillance Report Week 40,True,low,primary_or_authoritative,[],[],,official_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_c95c26c7b200,direct_target_official_fast_path_skips_source_identity,assessed,domain:msdh_ms_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://msdh.ms.gov/page/resources/20794.pdf,False,False,True,False,possibly_relevant,not_assessed,[PDF] 2024-2025 Influenza Surveillance Report Week 40,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/surveillance/2025-week-40.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_0a7b36e413fd,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/surveillance/2025-week-40.html,False,False,True,False,possibly_relevant,not_assessed,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 4, 2025 | FluView | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/overview/index.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_258a0dabc87b,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/overview/index.html,False,False,True,False,possibly_relevant,not_assessed,U.S. Influenza Surveillance: Purpose and Methods | FluView - CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T13:52:23+00:00,official_authority,https://www.nnph.org/files/phd/communicable-diseases/flu_reports/weekly-reports/Historic_data/2023-24/Week%2040%202023-2024.pdf,primary_case_claim_support,,,live_search_result,not_assessed,nnph.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,[],[],,official_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_539f7fa2e3a0,direct_target_official_fast_path_skips_source_identity,assessed,domain:nnph_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.nnph.org/files/phd/communicable-diseases/flu_reports/weekly-reports/Historic_data/2023-24/Week%2040%202023-2024.pdf,False,False,True,False,possibly_relevant,not_assessed,Microsoft Word - Wk 40 2023-2024,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/surveillance/past-reports.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_08ff4e621e6d,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/surveillance/past-reports.html,False,False,True,False,possibly_relevant,not_assessed,Past Weekly Report | FluView - CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/surveillance/2025-week-46.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_7c93d846b7e6,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/surveillance/2025-week-46.html,False,False,True,False,possibly_relevant,not_assessed,"Weekly US Influenza Surveillance Report: Key Updates for Week 46, ending November 15, 2025 | FluView | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/fluview/surveillance/2025-week-35.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC FluView influenza surveillance weekly report week 40 2024 United States,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_e47861556720,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/fluview/surveillance/2025-week-35.html,False,False,True,False,possibly_relevant,not_assessed,"Weekly US Influenza Surveillance Report: Key Updates for Week 35, ending August 30, 2025 | FluView | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/flu/whats-new/2025-2026-influenza-activity.html,context_only,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,False,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC influenza 2024-2025 season activity summary October 2024 FluSurv-NET hospitalization pediatric mortality week 40,extract_context_only,fetch_for_context,context,tavily,Tavily,1,Tavily,,src_search_e0370422d92f,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/flu/whats-new/2025-2026-influenza-activity.html,True,False,False,False,possibly_relevant,not_assessed,Influenza Activity in the United States during the 2024–25 Season and Composition of the 2025–26 Influenza Vaccine | Influenza (Flu) | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T13:52:23+00:00,official_authority,https://www.cdc.gov/flu-burden/php/data-vis-vac/2024-2025-prevented.html,context_only,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,False,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],,,,,False,,primary_or_authoritative,"[""domain""]",[],domain,national_public_health_agency,CDC influenza 2024-2025 season activity summary October 2024 FluSurv-NET hospitalization pediatric mortality week 40,extract_context_only,fetch_for_context,context,tavily,Tavily,2,Tavily,,src_search_56ae1d93a391,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/flu-burden/php/data-vis-vac/2024-2025-prevented.html,True,False,False,False,possibly_relevant,not_assessed,"2024–2025 Influenza Season Summary: Severity, Disease Burden, and Burden Prevented | Flu Burden | CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
