actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-09-28,Influenza (Seasonal),"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,united states,P1_high,1,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_001 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_002; rec_src_search_ff1cee7a6f74_005; rec_src_search_ff1cee7a6f74_006; event_001,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 53,699 | 53,424 |",claim_corroboration_review,duplicate_event_clustering,united states,P1_high,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_002 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_001; rec_src_search_ff1cee7a6f74_003; rec_src_search_ff1cee7a6f74_004; event_002,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,united states,P1_high,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_003 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_010; rec_src_search_ff1cee7a6f74_012; event_003,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),"| **No. of specimens tested** | 638 | 1,113 |",claim_corroboration_review,duplicate_event_clustering,united states,P1_high,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_004 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_011; rec_src_search_ff1cee7a6f74_013; event_004,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,claim_corroboration_review,duplicate_event_clustering,united states,P1_high,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_005 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_007; event_005,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),The percentage of emergency department (ED) visits with a discharge diagnosis of influenza reported in NSSP was 0.2% overall during Week 40. This week's percentage remained stable overall and among all age groups compared to the previous week.,claim_corroboration_review,duplicate_event_clustering,united states,P1_high,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_006 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_008; event_006,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-10-05,Influenza (Seasonal),No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,claim_corroboration_review,duplicate_event_clustering,united states,P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"claim corroboration review - review_duplicate_event_007 - Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending Octobe...","Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",https://www.cdc.gov/fluview/surveillance/2024-week-40.html,"Open claims, claim comparisons, and corroborated events.","Is the claim independently corroborated, conflicting, or only single-source evidence?",rec_src_search_ff1cee7a6f74_009; event_007,record,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,united states,P1_high,8,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_0961e68dbcab - 2024-2025 PEDIATRIC FLU DEATHS SURPASS PREVIOUS ...,2024-2025 PEDIATRIC FLU DEATHS SURPASS PREVIOUS ...,https://familiesfightingflu.org/2024-2025-pediatric-flu-deaths-surpass-previous-record,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_0961e68dbcab,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,united states,P1_high,9,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_6f32d2cabad1 - National Flu Activity Map - FFF Enterprises,National Flu Activity Map - FFF Enterprises,https://www.fffenterprises.com/vaccines/flu-activity.html,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_6f32d2cabad1,source,Publisher or source identity uncertainty can affect source independence and credibility.
,approve_source_role; override_source_role; exclude_source; mark_source_needs_review,2024-09-29-2024-10-05,FLU,,source_identity_review,source_credibility,united states,P1_high,10,human_review_items; record_inclusion_decisions; source_registry; source_identity_assessments,source identity review - review_source_credibility_src_search_83ebf830f2cc - Current Influenza Activity | Wisconsin State Laboratory of H...,Current Influenza Activity | Wisconsin State Laboratory of Hygiene,https://www.slh.wisc.edu/wcln-surveillance/surveillance/virology-surveillance/influenza-activity,Open source identity assessments and source registry metadata.,"Who is the actual publisher, and is it independent of other evidence?",src_search_83ebf830f2cc,source,Publisher or source identity uncertainty can affect source independence and credibility.
