edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_ff1cee7a6f74,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_ff1cee7a6f74,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_3ca7d0dccaf3,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_56888319c899,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_c95c26c7b200,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_7813d28aa66e,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_539f7fa2e3a0,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_5b8e18366c05,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_913d37203900,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_915efec17eac,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_a528d9bf475d,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_79e3303d15e2,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_5295f90ea0dd,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_a0e8401d0c66,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_6f32d2cabad1,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_329a386dc3ea,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_6bdc29e2c410,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_e0370422d92f,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_4fcd8a7806fd,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_56ae1d93a391,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_39cef9614d66,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_88387812c274,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_a3695468387b,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_0a7b36e413fd,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_0fff1ff8aec5,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_1cb29ce91f47,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_7edb5942f160,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_7c93d846b7e6,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_a413156d78b1,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_1db831c204ad,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_50b73d583e75,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_1597eeb7830a,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_0ecd29cced03,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_ab285e09d5d1,source,document:doc_034,document,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_004,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_005,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_006,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_022,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_007,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_033,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_008,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_034,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_009,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_027,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_010,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_027,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_011,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_028,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_012,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_028,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_013,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_002,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_003,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_004,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_005,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,validated_record:rec_src_search_ff1cee7a6f74_006,validated_record,
