edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_fc41756dc833,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_66002ff28cf6,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_af2355dda632,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_68678448bb04,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_96c2ddef784f,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_58fde24d715b,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_998b5385138b,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_cee4b8d36efc,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_288a7948a301,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_a3324b683320,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_bdc592677e02,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_34d583acab24,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_863941370c18,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_979be3c147ca,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_b7e5843b362b,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_4772064b4e6b,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_478ca202141b,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_028efcabdb39,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_ed7cd13f8ae4,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_7acb60a909d9,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_d5598f1ff469,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_11e90007c8a8,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_6815a00063a1,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_000e4ff17a91,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_5ce266c03958,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_0af03f2493e8,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_650359dcfc71,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_dab3e0ce9e53,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_11a00ee64fc6,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_a46f0d5cdbb8,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_b20ad52ed0ba,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_fc41756dc833,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_66002ff28cf6,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_af2355dda632,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_68678448bb04,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_96c2ddef784f,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_58fde24d715b,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_998b5385138b,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_cee4b8d36efc,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_288a7948a301,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_a3324b683320,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_bdc592677e02,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_34d583acab24,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_863941370c18,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_979be3c147ca,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_b7e5843b362b,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_4772064b4e6b,source,document:doc_047,document,
fetched_as,document.source_id links to source,source:src_search_478ca202141b,source,document:doc_048,document,
fetched_as,document.source_id links to source,source:src_search_028efcabdb39,source,document:doc_049,document,
fetched_as,document.source_id links to source,source:src_search_ed7cd13f8ae4,source,document:doc_050,document,
fetched_as,document.source_id links to source,source:src_search_7acb60a909d9,source,document:doc_051,document,
fetched_as,document.source_id links to source,source:src_search_d5598f1ff469,source,document:doc_052,document,
fetched_as,document.source_id links to source,source:src_search_11e90007c8a8,source,document:doc_053,document,
fetched_as,document.source_id links to source,source:src_search_6815a00063a1,source,document:doc_054,document,
fetched_as,document.source_id links to source,source:src_search_000e4ff17a91,source,document:doc_055,document,
fetched_as,document.source_id links to source,source:src_search_5ce266c03958,source,document:doc_056,document,
fetched_as,document.source_id links to source,source:src_search_0af03f2493e8,source,document:doc_057,document,
fetched_as,document.source_id links to source,source:src_search_650359dcfc71,source,document:doc_058,document,
fetched_as,document.source_id links to source,source:src_search_dab3e0ce9e53,source,document:doc_059,document,
fetched_as,document.source_id links to source,source:src_search_11a00ee64fc6,source,document:doc_060,document,
fetched_as,document.source_id links to source,source:src_search_a46f0d5cdbb8,source,document:doc_061,document,
fetched_as,document.source_id links to source,source:src_search_b20ad52ed0ba,source,document:doc_062,document,
fetched_as,document.source_id links to source,source:src_search_b11655490f96,source,document:doc_063,document,
fetched_as,document.source_id links to source,source:src_search_9993790c8a7a,source,document:doc_064,document,
fetched_as,document.source_id links to source,source:src_search_d5900bb8aa62,source,document:doc_065,document,
fetched_as,document.source_id links to source,source:src_search_f1a19efce8d2,source,document:doc_066,document,
requires_review,matched provenance identifier,source:src_search_b11655490f96,source,human_review_item:review_source_credibility_src_search_b11655490f96,human_review_item,
