anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,Dengue,event_015,"[In 2024](https://www.cdc.gov/dengue/data-research/facts-stats/historic-data.html), Florida reported 1,044 local and travel-associated cases of dengue, the most in the continental U.S., with California following with 719 cases.","{""disease"": ""Dengue"", ""location"": ""Florida"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Florida,True,"{""disease"": ""Dengue"", ""location"": ""Florida"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_53763309bf94""]","[""https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know""]",,val_result_017,"[""outside_time_window""]"
anom_002,open,out_of_scope_count_bearing_record,validation_result,task_scope,"Week 26: June 23-29, 2024",deterministic_anomaly_detection,Dengue,event_002,"1 Florida Arbovirus Surveillance Week 26: June 23-29, 2024 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 23-29, 2024, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. No mosquito pools tested positive for WNV this week. In 2024, positive samples from seven sentinel chickens have been reported from three counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2024, two sentinel chickens have been reported from two counties. EEEV activity: No human cases of EEEV infection were reported this week. Three horses with EEEV infection were reported this week in Columbia and Holmes counties. Six sentinel chickens tested positive for antibodies to EEEV this week in Leon and Walton counties. In 2024, positive samples from 37 sentinel chickens, 14 horses, two emus, and one emu flock have been reported from 23 counties. International Travel-Associated Dengue: Seven cases of dengue were reported this week in persons that had international travel. In 2024, 244 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: Two cases of locally acquired dengue were reported this week.","{""disease"": ""Dengue"", ""location"": ""Florida"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Florida,True,"{""disease"": ""Dengue"", ""location"": ""Florida"", ""date_or_period"": ""Week 26: June 23-29, 2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_752899844c7d""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2024-26-arbovirus-surveillance.pdf""]",,val_result_041,"[""outside_time_window""]"
anom_003,open,out_of_scope_count_bearing_record,validation_result,task_scope,"cumulative 2024 through 2024 year-to-date as of Week 26 (June 23-29, 2024)",deterministic_anomaly_detection,Dengue,event_001,"1 Florida Arbovirus Surveillance Week 26: June 23-29, 2024 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 23-29, 2024, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. No mosquito pools tested positive for WNV this week. In 2024, positive samples from seven sentinel chickens have been reported from three counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2024, two sentinel chickens have been reported from two counties. EEEV activity: No human cases of EEEV infection were reported this week. Three horses with EEEV infection were reported this week in Columbia and Holmes counties. Six sentinel chickens tested positive for antibodies to EEEV this week in Leon and Walton counties. In 2024, positive samples from 37 sentinel chickens, 14 horses, two emus, and one emu flock have been reported from 23 counties. International Travel-Associated Dengue: Seven cases of dengue were reported this week in persons that had international travel. In 2024, 244 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: Two cases of locally acquired dengue were reported this week.","{""disease"": ""Dengue"", ""location"": ""Florida"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Florida,True,"{""disease"": ""Dengue"", ""location"": ""Florida"", ""date_or_period"": ""cumulative 2024 through 2024 year-to-date as of Week 26 (June 23-29, 2024)""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_752899844c7d""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2024-26-arbovirus-surveillance.pdf""]",,val_result_042,"[""outside_time_window""]"
anom_004,open,out_of_scope_count_bearing_record,validation_result,task_scope,"Week 26: June 23-29, 2024",deterministic_anomaly_detection,Dengue,event_002,"1 Florida Arbovirus Surveillance Week 26: June 23-29, 2024 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 23-29, 2024, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. No mosquito pools tested positive for WNV this week. In 2024, positive samples from seven sentinel chickens have been reported from three counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2024, two sentinel chickens have been reported from two counties. EEEV activity: No human cases of EEEV infection were reported this week. Three horses with EEEV infection were reported this week in Columbia and Holmes counties. Six sentinel chickens tested positive for antibodies to EEEV this week in Leon and Walton counties. In 2024, positive samples from 37 sentinel chickens, 14 horses, two emus, and one emu flock have been reported from 23 counties. International Travel-Associated Dengue: Seven cases of dengue were reported this week in persons that had international travel. In 2024, 244 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: Two cases of locally acquired dengue were reported this week.","{""disease"": ""Dengue"", ""location"": ""Florida"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,Florida,True,"{""disease"": ""Dengue"", ""location"": ""Florida"", ""date_or_period"": ""Week 26: June 23-29, 2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_752899844c7d""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2024-26-arbovirus-surveillance.pdf""]",,val_result_043,"[""outside_time_window""]"
anom_005,open,validation_conflict_anomaly,validation_result,cases_unspecified,"Week 26: June 23-29, 2024",deterministic_anomaly_detection,Dengue,event_002,"1 Florida Arbovirus Surveillance Week 26: June 23-29, 2024 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 23-29, 2024, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. No mosquito pools tested positive for WNV this week. In 2024, positive samples from seven sentinel chickens have been reported from three counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2024, two sentinel chickens have been reported from two counties. EEEV activity: No human cases of EEEV infection were reported this week. Three horses with EEEV infection were reported this week in Columbia and Holmes counties. Six sentinel chickens tested positive for antibodies to EEEV this week in Leon and Walton counties. In 2024, positive samples from 37 sentinel chickens, 14 horses, two emus, and one emu flock have been reported from 23 counties. International Travel-Associated Dengue: Seven cases of dengue were reported this week in persons that had international travel. In 2024, 244 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: Two cases of locally acquired dengue were reported this week.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Florida,True,"[{""record_id"": ""rec_src_search_752899844c7d_001"", ""value"": 7.0}, {""record_id"": ""rec_src_search_752899844c7d_003"", ""value"": 2.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_752899844c7d""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2024-26-arbovirus-surveillance.pdf""]",,val_result_045,"[""human_review_required""]"
anom_006,open,validation_conflict_anomaly,validation_result,cases_unspecified,"2025 year-to-date as of Week 24 (June 8-14, 2025)",deterministic_anomaly_detection,Dengue,event_003,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Florida,True,"[{""record_id"": ""rec_src_search_19aff7ba1bc3_002"", ""value"": 85.0}, {""record_id"": ""rec_src_search_19aff7ba1bc3_004"", ""value"": 1.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_19aff7ba1bc3""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf""]",,val_result_047,"[""human_review_required""]"
anom_007,open,validation_conflict_anomaly,validation_result,case_definition,"2025 year-to-date as of Week 24 (June 8-14, 2025)",deterministic_anomaly_detection,Dengue,event_003,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",,[],Validation result is a conflict: Sources may use different case definitions or reporting categories.,Florida,True,"[{""record_id"": ""rec_src_search_19aff7ba1bc3_002"", ""value"": ""Travel-associated dengue (international travel)""}, {""record_id"": ""rec_src_search_19aff7ba1bc3_004"", ""value"": ""Locally acquired dengue""}]",Validation result is a conflict: Sources may use different case definitions or reporting categories.,resolve_validation_conflict,,[],high,,"[""src_search_19aff7ba1bc3""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf""]",,val_result_048,[]
anom_008,open,validation_conflict_anomaly,validation_result,cases_unspecified,"Week 24: June 8-14, 2025",deterministic_anomaly_detection,Dengue,event_005,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Florida,True,"[{""record_id"": ""rec_src_search_19aff7ba1bc3_001"", ""value"": 4.0}, {""record_id"": ""rec_src_search_19aff7ba1bc3_003"", ""value"": 0.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_19aff7ba1bc3""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf""]",,val_result_051,"[""human_review_required""]"
anom_009,open,validation_conflict_anomaly,validation_result,case_definition,"Week 24: June 8-14, 2025",deterministic_anomaly_detection,Dengue,event_005,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",,[],Validation result is a conflict: Sources may use different case definitions or reporting categories.,Florida,True,"[{""record_id"": ""rec_src_search_19aff7ba1bc3_001"", ""value"": ""Travel-associated dengue (international travel)""}, {""record_id"": ""rec_src_search_19aff7ba1bc3_003"", ""value"": ""Locally acquired dengue""}]",Validation result is a conflict: Sources may use different case definitions or reporting categories.,resolve_validation_conflict,,[],high,,"[""src_search_19aff7ba1bc3""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf""]",,val_result_052,[]
anom_010,open,validation_conflict_anomaly,validation_result,cases_unspecified,"Week 25: June 15-21, 2025",deterministic_anomaly_detection,Dengue,event_006,"1 Florida Arbovirus Surveillance Week 25: June 15-21, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 15-21, 2025, the following arboviral activity was recorded in Florida. WNV activity: One human case of WNV infection was reported this week in St. Johns County. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one asymptomatic blood donor, one horse, and 26 sentinel chickens have been reported from 12 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Two sentinel chickens tested positive for antibodies to EEEV this week in Orange and Polk counties. In 2025, positive samples from two horses, two emus, and 15 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Two cases of dengue were reported this week in persons that had international travel. In 2025, 87 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Florida,True,"[{""record_id"": ""rec_src_search_84acc76573c8_001"", ""value"": 2.0}, {""record_id"": ""rec_src_search_84acc76573c8_003"", ""value"": 0.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_84acc76573c8""]","[""https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-25-arbovirus-surveillance.pdf""]",,val_result_054,"[""human_review_required""]"
