actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,1044.0,claim_rec_src_search_53763309bf94_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,1044.0,United States of America,high,0.8615,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_015,,,,"[In 2024](https://www.cdc.gov/dengue/data-research/facts-stats/historic-data.html), Florida reported 1,044 local and travel-associated cases of dengue, the most in the continental U.S., with California following with 719 cases.",llm_structured_output_extractor,Florida,,,False,True,False,False,False,False,event_015,,record reports unspecified case count,unspecified_case_record,Dengue,True,,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_53763309bf94,domain:epi_ufl_edu,rec_src_search_53763309bf94_001,collection,Dengue in Florida: What to know - Emerging Pathogens Institute,official_public_health_agency,official_public_health_agency,https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know,annual,Florida,chunk_src_search_53763309bf94_013,[],"[""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,81.0,claim_rec_src_search_ce6ce02a80f2_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.6,cases_unspecified,case_count,,81.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_016,,,,"international travel . In 2025, 81 travel -associated dengue cases have been reported .",llm_structured_output_extractor,Florida,,,False,True,False,False,False,False,event_016,,record reports unspecified case count,unspecified_case_record,Dengue,True,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_001,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,cumulative,Florida,chunk_src_search_ce6ce02a80f2_012,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,0.0,claim_rec_src_search_ce6ce02a80f2_002_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.6,cases_unspecified,case_count,,0.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_017,,,,"Dengue Cases Acquired in Florida: No case s of loc ally acquired dengue were reported this wee k. In 2025,",llm_structured_output_extractor,Florida,,,False,False,False,False,True,False,event_017,,evidence states no confirmed or reported cases,zero_case_statement,Dengue,False,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,current week (2025),False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_002,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,newly_reported,Florida,chunk_src_search_ce6ce02a80f2_013,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,81.0,claim_rec_src_search_ce6ce02a80f2_003_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,81.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_016,,,,202 5 International Travel -Associated Dengue Cases : Eighty -one cases with onset in 2025 have been,llm_structured_output_extractor,Florida,,,False,True,False,False,False,False,event_016,,record reports unspecified case count,unspecified_case_record,Dengue,True,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_003,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,cumulative,Florida,chunk_src_search_ce6ce02a80f2_021,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,4.0,claim_rec_src_search_ce6ce02a80f2_004_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,4.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_018,,,,"Volusia . Four case s were reported in non -Florida resident s. In 2025, sixty -seven cases of dengue reported in",llm_structured_output_extractor,Florida,,,False,True,False,False,False,False,event_018,,record reports unspecified case count,unspecified_case_record,Dengue,True,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_004,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,subset,Florida,chunk_src_search_ce6ce02a80f2_023,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,67.0,claim_rec_src_search_ce6ce02a80f2_005_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,67.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_018,,,,"Volusia . Four case s were reported in non -Florida resident s. In 2025, sixty -seven cases of dengue reported in",llm_structured_output_extractor,Florida,,,False,True,False,False,False,False,event_018,,record reports unspecified case count,unspecified_case_record,Dengue,True,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_005,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,subset,Florida,chunk_src_search_ce6ce02a80f2_023,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,,,,,1.0,claim_rec_src_search_ce6ce02a80f2_011_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,1.0,United States of America,excluded,0.6183,2025-06-30,2025-06-30,,live_search_result,Dengue,Dengue,,event_021,,2025-01-01,,"202 5 Dengue Cases Acquired in Florida: In 2025, one case of locally acquired dengue has been reported in",llm_structured_output_extractor,"Miami-Dade County, Florida",,,False,True,False,False,False,False,event_021,,record reports unspecified case count,unspecified_case_record,DENV,True,floridahealth.gov,"site:floridahealth.gov ""2025-23-arbovirus"" OR ""week 23"" OR ""2025-26-arbovirus"" OR ""week 26"" dengue June 2025",extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_ce6ce02a80f2,publisher:floridahealth_gov,rec_src_search_ce6ce02a80f2_011,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-23-arbovirus-surveillance.pdf,cumulative,Florida,chunk_src_search_ce6ce02a80f2_024,[],"[""filled_metric_period_from_source_reporting_period"", ""metric_row_rebound_from_llm_source_row_id"", ""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,2025-06-14,,,,4.0,claim_rec_src_search_19aff7ba1bc3_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,4.0,United States of America,excluded,0.6183,2025-06-14,2025-06-14,,live_search_result,Dengue,Dengue,,event_005,2025-06-14,2025-06-08,,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",llm_structured_output_extractor,Florida,,,False,False,False,False,True,False,event_005,,evidence states no confirmed or reported cases,zero_case_statement,DENV,False,floridahealth.gov,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,"Week 24: June 8-14, 2025",False,tavily,src_search_19aff7ba1bc3,publisher:floridahealth_gov,rec_src_search_19aff7ba1bc3_001,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,newly_reported,Florida,chunk_src_search_19aff7ba1bc3_001,[],"[""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,2025-06-14,,,,85.0,claim_rec_src_search_19aff7ba1bc3_002_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,85.0,United States of America,excluded,0.6183,2025-06-14,2025-06-14,,live_search_result,Dengue,Dengue,,event_003,2025-06-14,2025-01-01,,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",llm_structured_output_extractor,Florida,,,False,False,False,False,True,False,event_003,,evidence states no confirmed or reported cases,zero_case_statement,DENV,False,floridahealth.gov,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,"2025 year-to-date as of Week 24 (June 8-14, 2025)",False,tavily,src_search_19aff7ba1bc3,publisher:floridahealth_gov,rec_src_search_19aff7ba1bc3_002,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,cumulative,Florida,chunk_src_search_19aff7ba1bc3_001,[],"[""ambiguous_metric_column_semantics""]"
floridahealth.gov,floridahealth_gov,2025-06-14,,,,0.0,claim_rec_src_search_19aff7ba1bc3_003_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,0.0,United States of America,excluded,0.6183,2025-06-14,2025-06-14,,live_search_result,Dengue,Dengue,,event_005,2025-06-14,2025-06-08,,"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection were reported this week. No horses with WNV infection were reported this week. No sentinel chickens tested positive for antibodies to WNV this week. In 2025, positive samples from one horse and 26 sentinel chickens have been reported from 11 counties. SLEV activity: No human cases of SLEV infection were reported this week. No sentinel chickens tested positive for antibodies to SLEV this week. In 2025, no cases of SLEV have been reported. EEEV activity: No human cases of EEEV infection were reported this week. No horses with EEEV infection were reported this week. Three sentinel chickens tested positive for antibodies to EEEV this week in Orange, Polk, and Walton counties. In 2025, positive samples from two horses, two emus, and 13 sentinel chickens have been reported from seven counties. International Travel-Associated Dengue: Four cases of dengue were reported this week in persons that had international travel. In 2025, 85 travel-associated dengue cases have been reported. Dengue Cases Acquired in Florida: No cases of locally acquired dengue were reported this week. In 2025, one case of locally acquired dengue has been reported from one county.",llm_structured_output_extractor,Florida,,,False,False,False,False,True,False,event_005,,evidence states no confirmed or reported cases,zero_case_statement,DENV,False,floridahealth.gov,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,"Week 24: June 8-14, 2025",False,tavily,src_search_19aff7ba1bc3,publisher:floridahealth_gov,rec_src_search_19aff7ba1bc3_003,excluded,[PDF] Florida Arbovirus Surveillance,official_public_health_agency,state_or_local_public_health_agency,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,newly_reported,Florida,chunk_src_search_19aff7ba1bc3_001,[],"[""ambiguous_metric_column_semantics""]"
