actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
,low,,,2026-06-25T14:19:01+00:00,official_authority,https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know,primary_case_claim_support,,,live_search_result,not_assessed,epi.ufl.edu,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"[Skip to main menu](#mainnav-homelink) 

[![UF monogram](https://epi.ufl.edu/wp-content/themes/ufhealth-apollo/dist/assets/images/uf-monogram.svg?id=a1394011)

Emerging Pathogens Institute     University of Florida](/)

[Give a gift](https://www.uff.ufl.edu/giving-opportunities/016287-emerging-pathogens-institute-research-and-education-fund/)

# Dengue in Florida: What to know

Published On

Social Media

* [Facebook](https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fepi.ufl.edu%2F2025%2F06%2F24%2Fdengue-in-florida-what-to-know%2F)
* [Twitter](https://twitter.com/intent/tweet?text=Den",,,Dengue in Florida: What to know - Emerging Pathogens Institute,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_53763309bf94,direct_target_official_fast_path_skips_source_identity,assessed,domain:epi_ufl_edu,,low,low,"[""source_type""]",official_public_health_agency,,[],https://epi.ufl.edu/2025/06/24/dengue-in-florida-what-to-know,False,False,True,False,possibly_relevant,not_assessed,Dengue in Florida: What to know - Emerging Pathogens Institute,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"1 Florida Arbovirus Surveillance Week 24: June 8-14, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 8-14, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection ",,,[PDF] Florida Arbovirus Surveillance,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_19aff7ba1bc3,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-24-arbovirus-surveillance.pdf,False,False,True,False,possibly_relevant,not_assessed,[PDF] Florida Arbovirus Surveillance,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-25-arbovirus-surveillance.pdf,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"1 Florida Arbovirus Surveillance Week 25: June 15-21, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of June 15-21, 2025, the following arboviral activity was recorded in Florida. WNV activity: One human case of WNV infectio",,,[PDF] Florida Arbovirus Surveillance,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_84acc76573c8,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-25-arbovirus-surveillance.pdf,False,False,True,False,possibly_relevant,not_assessed,[PDF] Florida Arbovirus Surveillance,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/fl-arbovirus-report-w6-2026,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"1 Florida Arbovirus Surveillance Week 6: February 8-14, 2026 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease, is also included. During the period of February 8-14, 2026, the following arboviral activity was recorded in Florida. This report contains information for 2",,,[PDF] Florida Arbovirus Surveillance,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_b1f2ac4b0ced,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/fl-arbovirus-report-w6-2026,False,False,True,False,possibly_relevant,not_assessed,[PDF] Florida Arbovirus Surveillance,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/wp-content/uploads/2026/01/2025Week52ArbovirusReport_12-27-25.pdf,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"1 Florida Arbovirus Surveillance Week 52: December 21-27, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV), and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of December 21-27, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV ",,,[PDF] Florida Arbovirus Surveillance,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_1298a67f3fad,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/wp-content/uploads/2026/01/2025Week52ArbovirusReport_12-27-25.pdf,False,False,True,False,possibly_relevant,not_assessed,[PDF] Florida Arbovirus Surveillance,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
World Health Organization,high,world_health_organization,,2026-06-25T14:19:01+00:00,official_authority,https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/dengue/dengue_20250710.pdf?sfvrsn=261f7f36_1,primary_case_claim_support,,,live_search_result,not_assessed,cdn.who.int,[],not_assessed,medium,international,True,False,,,False,source_identity_publisher_credibility_v1,,report,"[""Dengue Situation Update 725 │ 1 Dengue Situation Update 725 10 July 2025 Update on the Dengue situation in the Western Pacific Region This report describes the epidemiology of dengue in the World Health Organization West""]","Dengue Situation Update 725 │ 1 Dengue Situation Update 725 10 July 2025 Update on the Dengue situation in the Western Pacific Region This report describes the epidemiology of dengue in the World Health Organization Western Pacific Region. Data are compiled from open sources (national indicator-based surveillance systems) with the exception of Lao People’s Democratic Republic and Viet Nam, where data are provided by the WHO Country Offices. For the Pacific Island Countries, syndromic surveillance data are provided by the WHO Division of Pacific Technical Support. Data from Indonesia has not be",World Health Organization,,[PDF] Dengue Situation Update 725 - 10 July 2025,True,high,primary_or_authoritative,"[""domain"", ""clean_text""]","[""Dengue Situation Update 725 │ 1 Dengue Situation Update 725 10 July 2025 Update on the Dengue situation in the Western Pacific Region This report describes the epidemiology of dengue in the World Health Organization West""]",page_metadata_or_text,international_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_b833a635676e,direct_target_official_fast_path_skips_source_identity,assessed,publisher:world_health_organization,World Health Organization,high,high,"[""domain""]",international_public_health_agency,,[],https://cdn.who.int/media/docs/default-source/wpro---documents/emergency/surveillance/dengue/dengue_20250710.pdf?sfvrsn=261f7f36_1,False,False,True,False,possibly_relevant,not_assessed,[PDF] Dengue Situation Update 725 - 10 July 2025,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:19:01+00:00,official_authority,https://www.pascomosquito.org/florida-arbovirus-reports,primary_case_claim_support,,,live_search_result,not_assessed,pascomosquito.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"[Skip to main content](https://www.pascomosquito.org/florida-arbovirus-reports#page-content)

# [![Image 1: Pasco County Mosquito Control District](https://d2blwilx4xw5sk.cloudfront.net/f09bab56-89c0-4c66-bca4-43babda26c12/9043cd51-c39b-413b-8d9a-92dbba5eadcc/PCMCD%20Transparent%20Logo2.png?response-content-disposition=attachment%3B%20filename%3D%22PCMCD%20Transparent%20Logo2.png%22%3B%20filename%2A%3DUTF-8%27%27PCMCD%2520Transparent%2520Logo2.png&response-content-type=image%2Fpng&Expires=2147483647&Signature=Ni9OmxYH8f4HbOA39gC5hcQ1zfJ84lI~TAUw8Zb0Y2LTz0W7H1z~BkJtGdWS9V4OfyZbpYtMXpm6G2j-9C0xL",,,Florida Arbovirus Reports - Pasco County Mosquito Control District,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_cab7ecda0f44,direct_target_official_fast_path_skips_source_identity,assessed,domain:pascomosquito_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.pascomosquito.org/florida-arbovirus-reports,False,False,True,False,possibly_relevant,not_assessed,Florida Arbovirus Reports - Pasco County Mosquito Control District,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/statistics-data/population-surveillance/arbovirus-surveillance,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"[Skip to Content](#primary)


County Health Departments

[Alachua County](https://alachua.floridahealth.gov)   [Baker County](https://baker.floridahealth.gov)   [Bay County](https://bay.floridahealth.gov)   [Bradford County](https://bradford.floridahealth.gov)   [Brevard County](https://brevard.floridahealth.gov)   [Broward County](https://broward.floridahealth.gov)   [Calhoun County](https://calhoun.floridahealth.gov)   [Charlotte County](https://charlotte.floridahealth.gov)   [Citrus County](https://citrus.floridahealth.gov)   [Clay County](https://clay.floridahealth.gov)   [Collier County](",,,Arbovirus Surveillance - Florida Department of Health,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,Florida Department of Health dengue arboviral surveillance report June 2025,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_f8170b43e1cb,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/statistics-data/population-surveillance/arbovirus-surveillance,False,False,True,False,possibly_relevant,not_assessed,Arbovirus Surveillance - Florida Department of Health,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
floridahealth.gov,high,floridahealth_gov,,2026-06-25T14:19:01+00:00,official_authority,https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-22-arbovirus-surveillance.pdf,primary_case_claim_support,,,live_search_result,not_assessed,floridahealth.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"1 Florida Arbovirus Surveillance Week 22: May 25-31, 2025 Arbovirus surveillance in Florida includes endemic mosquito-borne viruses such as West Nile virus (WNV), Eastern equine encephalitis virus (EEEV), and St. Louis encephalitis virus (SLEV), as well as exotic viruses such as dengue virus (DENV), chikungunya virus (CHIKV), Zika virus (ZIKV) and California encephalitis group viruses (CEV). Malaria, a parasitic mosquito-borne disease is also included. During the period of May 25-31, 2025, the following arboviral activity was recorded in Florida. WNV activity: No human cases of WNV infection w",,,[PDF] Florida Arbovirus Surveillance,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,CDC ArboNET dengue cases Florida 2025 surveillance data,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_6aa02e4e4389,direct_target_official_fast_path_skips_source_identity,assessed,publisher:floridahealth_gov,floridahealth.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],https://www.floridahealth.gov/wp-content/uploads/2025/07/2025-22-arbovirus-surveillance.pdf,False,False,True,False,possibly_relevant,not_assessed,[PDF] Florida Arbovirus Surveillance,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:19:01+00:00,official_authority,https://wwwnc.cdc.gov/eid/article/32/2/25-1217_article,primary_case_claim_support,,,live_search_result,not_assessed,wwwnc.cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Using Routine Surveillance Data to Assess Dengue Virus Transmission Risk in Travelers Returning to the United States - Volume 32, Number 2—February 2026 - Emerging Infectious Diseases journal - CDC""]","[Skip directly to site content](#content) [Skip directly to page options](#share-nav) [Skip directly to A-Z link](#az-large) [Skip directly to A-Z link](#az-medium) [Skip directly to A-Z link](#az-small)

[Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](https://www.cdc.gov)

[Emerging Infectious Disease journal ISSN: 1080-6059](/eid/)

##### Volume 32, Number 2—February 2026

##### *Research*

### Using Routine Surveillance Data to Assess Dengue Virus Transmission Risk in Travelers Returning to the United States

On This Page

[Methods](#) 

",Centers for Disease Control and Prevention,,"Using Routine Surveillance Data to Assess Dengue Virus Transmission Risk in Travelers Returning to the United States - Volume 32, Number 2—February 2026 - Emerging Infectious Diseases journal - CDC",True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Using Routine Surveillance Data to Assess Dengue Virus Transmission Risk in Travelers Returning to the United States - Volume 32, Number 2—February 2026 - Emerging Infectious Diseases journal - CDC""]",page_metadata_or_text,national_public_health_agency,CDC ArboNET dengue cases Florida 2025 surveillance data,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_526c2e2794af,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://wwwnc.cdc.gov/eid/article/32/2/25-1217_article,False,False,True,False,possibly_relevant,not_assessed,"Using Routine Surveillance Data to Assess Dengue Virus Transmission Risk in Travelers Returning to the United States - Volume 32, Number 2—February 2026 - Emerging Infectious Diseases journal - CDC",Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
