edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_53763309bf94,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_b833a635676e,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_f8170b43e1cb,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_cab7ecda0f44,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_19aff7ba1bc3,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_ce6ce02a80f2,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_84acc76573c8,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_1298a67f3fad,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_e1219da5b350,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_752899844c7d,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_0b6168dbc1ac,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_24c5b0ef4721,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_b1f2ac4b0ced,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_61d84b08b5f6,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_526c2e2794af,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_1b7b98980b61,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_10be9e5758bd,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_fbce10f4ecc0,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_1e7b9bff1f18,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_7c5388af6a44,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_1924f0a4657b,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_6aa02e4e4389,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_27e7d88d8c1f,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_5aec5f976eeb,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_ca32feb87a96,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_60f9228c083d,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_6cc03a0a2cfe,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_d0df6d007394,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_41068fc0d551,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_31cd9572c4dd,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_ff7b38a2792d,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_53763309bf94,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_b833a635676e,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_f8170b43e1cb,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_cab7ecda0f44,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_19aff7ba1bc3,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_ce6ce02a80f2,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_84acc76573c8,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_1298a67f3fad,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_e1219da5b350,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_752899844c7d,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_0b6168dbc1ac,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_24c5b0ef4721,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_b1f2ac4b0ced,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_61d84b08b5f6,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_526c2e2794af,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_1b7b98980b61,source,document:doc_047,document,
fetched_as,document.source_id links to source,source:src_search_10be9e5758bd,source,document:doc_048,document,
fetched_as,document.source_id links to source,source:src_search_fbce10f4ecc0,source,document:doc_049,document,
fetched_as,document.source_id links to source,source:src_search_1e7b9bff1f18,source,document:doc_050,document,
fetched_as,document.source_id links to source,source:src_search_7c5388af6a44,source,document:doc_051,document,
fetched_as,document.source_id links to source,source:src_search_1924f0a4657b,source,document:doc_052,document,
fetched_as,document.source_id links to source,source:src_search_6aa02e4e4389,source,document:doc_053,document,
fetched_as,document.source_id links to source,source:src_search_27e7d88d8c1f,source,document:doc_054,document,
fetched_as,document.source_id links to source,source:src_search_5aec5f976eeb,source,document:doc_055,document,
fetched_as,document.source_id links to source,source:src_search_ca32feb87a96,source,document:doc_056,document,
fetched_as,document.source_id links to source,source:src_search_60f9228c083d,source,document:doc_057,document,
fetched_as,document.source_id links to source,source:src_search_6cc03a0a2cfe,source,document:doc_058,document,
fetched_as,document.source_id links to source,source:src_search_d0df6d007394,source,document:doc_059,document,
fetched_as,document.source_id links to source,source:src_search_41068fc0d551,source,document:doc_060,document,
fetched_as,document.source_id links to source,source:src_search_31cd9572c4dd,source,document:doc_061,document,
fetched_as,document.source_id links to source,source:src_search_ff7b38a2792d,source,document:doc_062,document,
fetched_as,document.source_id links to source,source:src_search_74e6da22c7aa,source,document:doc_063,document,
fetched_as,document.source_id links to source,source:src_search_19e4b6b2e376,source,document:doc_064,document,
fetched_as,document.source_id links to source,source:src_search_538a1d433fd1,source,document:doc_065,document,
fetched_as,document.source_id links to source,source:src_search_302edcfa2635,source,document:doc_066,document,
fetched_as,document.source_id links to source,source:src_search_be4bdb98b361,source,document:doc_067,document,
fetched_as,document.source_id links to source,source:src_search_ba28ea669df7,source,document:doc_068,document,
fetched_as,document.source_id links to source,source:src_search_051cb6779b0a,source,document:doc_069,document,
fetched_as,document.source_id links to source,source:src_search_304300adfbfc,source,document:doc_070,document,
fetched_as,document.source_id links to source,source:src_search_fbcc657a07a3,source,document:doc_071,document,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_31cd9572c4dd_028,evidence_chunk,raw_record:rec_src_search_31cd9572c4dd_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_31cd9572c4dd_028,evidence_chunk,raw_record:rec_src_search_31cd9572c4dd_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_31cd9572c4dd_028,evidence_chunk,raw_record:rec_src_search_31cd9572c4dd_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_31cd9572c4dd_028,evidence_chunk,raw_record:rec_src_search_31cd9572c4dd_004,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_31cd9572c4dd_028,evidence_chunk,raw_record:rec_src_search_31cd9572c4dd_005,raw_record,
