actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,2025-04-04,481.0,,,,claim_rec_src_search_65e6340a3a24_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.85,cases_confirmed,case_count,,481.0,United States of America,high,0.8639,2025-04-04,2025-04-04,,live_search_result,Measles,Measles,,event_003,,2025-01-01,,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",llm_structured_output_extractor,Texas,,,False,True,False,False,False,False,event_003,,record reports confirmed case count,confirmed_case_record,,True,,DSHS Texas measles outbreak death February April 2025 press release site:dshs.texas.gov,extract_primary_case_claims,fetch_for_extraction,collection,"late January 2025 through April 4, 2025",False,tavily,src_search_65e6340a3a24,domain:dshs_texas_gov,rec_src_search_65e6340a3a24_001,collection,Texas announces second death in measles outbreak | Texas DSHS,official_public_health_agency,official_public_health_agency,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,cumulative,Texas,chunk_src_search_65e6340a3a24_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-04-04,,,,,claim_rec_src_search_65e6340a3a24_002_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,hospitalization_count,,56.0,United States of America,high,0.8639,2025-04-04,2025-04-04,,live_search_result,Measles,Measles,,event_003,,2025-01-01,,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",llm_structured_output_extractor,Texas,56.0,,False,False,False,False,False,False,event_003,,record reports hospitalization count,hospitalization_record,,True,,DSHS Texas measles outbreak death February April 2025 press release site:dshs.texas.gov,extract_primary_case_claims,fetch_for_extraction,collection,"late January 2025 through April 4, 2025",False,tavily,src_search_65e6340a3a24,domain:dshs_texas_gov,rec_src_search_65e6340a3a24_002,collection,Texas announces second death in measles outbreak | Texas DSHS,official_public_health_agency,official_public_health_agency,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,cumulative,Texas,chunk_src_search_65e6340a3a24_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-04-04,,,,,claim_rec_src_search_65e6340a3a24_003_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,2.0,United States of America,high,0.8639,2025-04-04,2025-04-04,2.0,live_search_result,Measles,Measles,,event_003,,2025-01-01,,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",llm_structured_output_extractor,Texas,,,False,False,True,False,False,False,event_003,,record reports death count,death_record,,True,,DSHS Texas measles outbreak death February April 2025 press release site:dshs.texas.gov,extract_primary_case_claims,fetch_for_extraction,collection,"late January 2025 through April 4, 2025",False,tavily,src_search_65e6340a3a24,domain:dshs_texas_gov,rec_src_search_65e6340a3a24_003,collection,Texas announces second death in measles outbreak | Texas DSHS,official_public_health_agency,official_public_health_agency,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,cumulative,Texas,chunk_src_search_65e6340a3a24_005,[],"[""filled_metric_period_from_source_reporting_period"", ""metric_row_rebound_from_llm_source_row_id"", ""ambiguous_metric_column_semantics""]"
,,2025-04-11,561.0,,,,claim_rec_src_search_8bf36d4bffb4_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.7,cases_confirmed,case_count,,561.0,United States of America,high,0.8431,2025-04-30,2025-04-30,,live_search_result,Measles,Measles,,event_005,,2025-01-01,,"At this time, 561 cases have been confirmed since late January. This is an increase of 20 since the April 11 update.",llm_structured_output_extractor,Texas,,,False,True,False,False,False,False,event_005,,record reports confirmed case count,confirmed_case_record,,True,,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,"late January 2025 through at least April 11, 2025",False,tavily,src_search_8bf36d4bffb4,domain:texaschildrens_org,rec_src_search_8bf36d4bffb4_001,collection,Measles | Texas Children's,official_public_health_agency,official_public_health_agency,https://www.texaschildrens.org/measles,cumulative,Texas,chunk_src_search_8bf36d4bffb4_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-04-11,,,,,claim_rec_src_search_8bf36d4bffb4_002_observation,active,primary_case_claim_support,public_health_observation,0.7,,case_count,,,United States of America,high,0.8431,2025-04-30,2025-04-30,,live_search_result,Measles,Measles,,event_009,,,,"Four percent, or fewer than 25 of the confirmed cases, are estimated to be actively infectious since their rash onset date was more than a week ago.",llm_structured_output_extractor,Texas,,,False,False,False,False,False,False,event_009,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,,False,,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,"late January 2025 through at least April 11, 2025",False,tavily,src_search_8bf36d4bffb4,domain:texaschildrens_org,rec_src_search_8bf36d4bffb4_002,collection,Measles | Texas Children's,official_public_health_agency,official_public_health_agency,https://www.texaschildrens.org/measles,subset,Texas,chunk_src_search_8bf36d4bffb4_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-12,762.0,,,,claim_rec_src_search_3e232b5b243d_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.7,cases_confirmed,case_count,,762.0,United States of America,high,0.8823,2025-08-12,2025-08-12,,live_search_result,Measles,Measles,,event_006,,2025-01-01,,"At this time, 762 cases have been confirmed since late January.",llm_structured_output_extractor,Texas,,,False,True,False,False,False,False,event_006,,record reports confirmed case count,confirmed_case_record,,True,,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,"Late January 2025 through August 12, 2025",False,tavily,src_search_3e232b5b243d,domain:dshs_texas_gov,rec_src_search_3e232b5b243d_001,collection,"Measles Outbreak – August 12, 2025 | Texas DSHS",official_public_health_agency,official_public_health_agency,https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025,cumulative,Texas,chunk_src_search_3e232b5b243d_006,[],"[""ambiguous_metric_column_semantics""]"
,,2025-08-12,,,,,claim_rec_src_search_3e232b5b243d_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,2.0,United States of America,high,0.8823,2025-08-12,2025-08-12,2.0,live_search_result,Measles,Measles,,event_004,,2025-01-01,,[DSHS News Release – Feb. 26 Texas Announces First Death in Measles Outbreak](/news-alerts/texas-announces-first-death-measles-outbreak),llm_structured_output_extractor,Texas,,,False,False,True,False,False,False,event_004,,record reports death count,death_record,,True,,Texas measles cases 2025 DSHS site:dshs.texas.gov OR site:gov,extract_primary_case_claims,fetch_for_extraction,collection,"Late January 2025 through April 6, 2025",False,tavily,src_search_3e232b5b243d,domain:dshs_texas_gov,rec_src_search_3e232b5b243d_002,collection,"Measles Outbreak – August 12, 2025 | Texas DSHS",official_public_health_agency,official_public_health_agency,https://www.dshs.texas.gov/news-alerts/measles-outbreak-2025,cumulative,Texas,chunk_src_search_3e232b5b243d_010,[],"[""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,,14503.0,,,,claim_rec_src_search_8242cbb785a1_001_cases_confirmed,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_confirmed,case_count,,14503.0,,high,0.8048,2025-04-30,2025-04-30,32.0,live_search_result,Measles,Measles,,event_001,2025-12-31,2025-01-01,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",llm_structured_output_extractor,Americas Region,,,False,True,False,False,False,False,event_001,,record reports confirmed case count,confirmed_case_record,,True,Pan American Health Organization,measles outbreak Texas 2025 cases deaths hospitalizations WHO PAHO situation report,extract_primary_case_claims,fetch_for_extraction,collection,2025 (full year),True,tavily,src_search_8242cbb785a1,publisher:pan_american_health_organization,rec_src_search_8242cbb785a1_001,collection,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,international_organization_report,international_public_health_agency,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,annual,,chunk_src_search_8242cbb785a1_006,[],"[""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,,14503.0,,,,claim_rec_src_search_8242cbb785a1_001_deaths,pending_review,primary_case_claim_support,public_health_observation,0.85,deaths,case_count,,32.0,,high,0.8048,2025-04-30,2025-04-30,32.0,live_search_result,Measles,Measles,,event_001,2025-12-31,2025-01-01,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",llm_structured_output_extractor,Americas Region,,,False,False,True,False,False,False,event_001,,record reports death count,death_record,,True,Pan American Health Organization,measles outbreak Texas 2025 cases deaths hospitalizations WHO PAHO situation report,extract_primary_case_claims,fetch_for_extraction,collection,2025 (full year),True,tavily,src_search_8242cbb785a1,publisher:pan_american_health_organization,rec_src_search_8242cbb785a1_001,collection,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,international_organization_report,international_public_health_agency,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,annual,,chunk_src_search_8242cbb785a1_006,[],"[""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,,,,,,claim_rec_src_search_8242cbb785a1_002_deaths,pending_review,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,32.0,,high,0.8048,2025-04-30,2025-04-30,32.0,live_search_result,Measles,Measles,,event_001,2025-12-31,2025-01-01,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",llm_structured_output_extractor,Americas Region,,,False,False,True,False,False,False,event_001,,record reports death count,death_record,,True,Pan American Health Organization,measles outbreak Texas 2025 cases deaths hospitalizations WHO PAHO situation report,extract_primary_case_claims,fetch_for_extraction,collection,2025 (full year),True,tavily,src_search_8242cbb785a1,publisher:pan_american_health_organization,rec_src_search_8242cbb785a1_002,collection,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,international_organization_report,international_public_health_agency,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,annual,,chunk_src_search_8242cbb785a1_006,[],"[""ambiguous_metric_column_semantics""]"
