actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2025-01-01-2025-04-30,Measles,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,Texas,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Texas announces second death in measles outbreak | Texas...,Texas announces second death in measles outbreak | Texas DSHS,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_65e6340a3a24_003_deaths; claim_rec_src_search_8bf36d4bffb4_002_observation; claim_rec_src_search_3e232b5b243d_001_cases_confirmed; claim_rec_src_search_3e232b5b243d_002_deaths; claim_rec_src_search_fede8be6ac1e_001_observation; claim_rec_src_search_fede8be6ac1e_004_deaths; claim_rec_src_search_4e73f2d0f38f_001_observation; claim_rec_src_search_4e73f2d0f38f_002_hospitalizations; claim_rec_src_search_4e73f2d0f38f_003_observation; claim_rec_src_search_4e73f2d0f38f_004_deaths; claim_rec_src_search_4e73f2d0f38f_005_observation; claim_rec_src_search_470222e3d9fc_001_cases_confirmed; claim_rec_src_search_65e6340a3a24_001_cases_confirmed; claim_rec_src_search_65e6340a3a24_002_hospitalizations; claim_rec_src_search_8bf36d4bffb4_001_cases_confirmed; claim_rec_src_search_fede8be6ac1e_002_cases_confirmed; claim_rec_src_search_bf53e3bb2a06_001_cases_unspecified; claim_rec_src_search_fede8be6ac1e_003_hospitalizations; src_search_65e6340a3a24; src_search_8bf36d4bffb4; src_search_3e232b5b243d; src_search_fede8be6ac1e; src_search_4e73f2d0f38f; src_search_470222e3d9fc; src_search_bf53e3bb2a06; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
Pan American Health Organization,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-01-01-2025-04-30,Measles,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",claim_corroboration_review,anomaly,Texas,P0_critical,2,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_007 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_8242cbb785a1; event_001; anom_007; val_result_008,anomaly,Claim-level support is unresolved or depends on a single source.
Pan American Health Organization,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-01-01-2025-04-30,Measles,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",claim_corroboration_review,anomaly,Texas,P0_critical,3,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_008 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_8242cbb785a1; event_001; anom_008; val_result_009,anomaly,Claim-level support is unresolved or depends on a single source.
Pan American Health Organization,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-01-01-2025-04-30,Measles,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",claim_corroboration_review,anomaly,Texas,P0_critical,4,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_009 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_6e578fc529e9; event_010; anom_009; val_result_010,anomaly,Claim-level support is unresolved or depends on a single source.
Pan American Health Organization,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-01-01-2025-04-30,Measles,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",claim_corroboration_review,anomaly,Texas,P0_critical,5,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_010 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Heal...,Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_6e578fc529e9; event_010; anom_010; val_result_011,anomaly,Claim-level support is unresolved or depends on a single source.
Centers for Disease Control and Prevention,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2025-01-01-2025-04-30,Measles,"##### [Return to your place in the text](#F1_up)**FIGURE 1**. **Reported number of confirmed\* measles cases, by state (N = 800) — United States, January 1–April 17, 2025**",claim_corroboration_review,anomaly,Texas,P0_critical,6,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,"claim corroboration review - review_anomaly_anom_011 - Measles Update — United States, January 1–April 17, 2025 | MMWR","Measles Update — United States, January 1–April 17, 2025  | MMWR",https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_3109afb35d90; event_011; anom_011; val_result_023,anomaly,Claim-level support is unresolved or depends on a single source.
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-04-30,Measles,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru. The highest number of confirmed cases in 2026 hav...",validation_conflict_review,duplicate_event_clustering,Texas,P1_high,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_001 - Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American H...,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_8242cbb785a1_001; rec_src_search_8242cbb785a1_002; event_001,record,This review item requires human inspection before it should affect downstream interpretation.
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-04-04,Measles,"As of April 4, 481 cases of measles have been confirmed in the outbreak since late January. Most of the cases are in children. Fifty-six people have been hospitalized over the course of the outbreak.",validation_conflict_review,duplicate_event_clustering,Texas,P1_high,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_003 - Texas announces second death in measles outbreak | Texas DSHS,Texas announces second death in measles outbreak | Texas DSHS,https://www.dshs.texas.gov/news-alerts/texas-announces-second-death-measles-outbreak,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_65e6340a3a24_001; rec_src_search_65e6340a3a24_002; rec_src_search_65e6340a3a24_003; event_003,record,This review item requires human inspection before it should affect downstream interpretation.
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2025-04-30,Measles,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026. Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region. The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664...",validation_conflict_review,duplicate_event_clustering,Texas,P1_high,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; validation_results; validation_source_compatibility_summary,validation conflict review - review_duplicate_event_010 - Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American H...,Situation Report #1: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-1-measles-americas-region,Inspect the linked artifacts and only then edit a decision file if needed.,"What decision, if any, should a human reviewer record?",rec_src_search_6e578fc529e9_001; rec_src_search_6e578fc529e9_002; event_010,record,This review item requires human inspection before it should affect downstream interpretation.
Pan American Health Organization,needs_more_evidence; defer_decision,2025-01-01-2025-04-30,Measles,Primary case claim has no independent corroborating source.,claim_corroboration_review,claim_corroboration_review,Texas,P1_high,10,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,claim corroboration review - review_claim_corroboration_review_corr_event_002 - Situation Report #2: Measles in the Americas Region - PAH...,Situation Report #2: Measles in the Americas Region - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,review_claim_corroboration,"Is the claim independently corroborated, conflicting, or only single-source evidence?",claim_rec_src_search_8242cbb785a1_001_cases_confirmed; claim_rec_src_search_8242cbb785a1_001_deaths; claim_rec_src_search_8242cbb785a1_002_deaths; claim_rec_src_search_6e578fc529e9_001_cases_confirmed; claim_rec_src_search_6e578fc529e9_001_deaths; claim_rec_src_search_6e578fc529e9_002_deaths; src_search_8242cbb785a1; src_search_6e578fc529e9; corr_event_002,claim,Claim-level support is unresolved or depends on a single source.
