actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
"[""World Health Organization""]",,"[""claim_rec_src_search_c86ca682ec75_001_cases_unspecified"", ""claim_rec_src_search_c86ca682ec75_002_cases_confirmed"", ""claim_rec_src_search_c86ca682ec75_003_cases_unspecified"", ""claim_rec_src_search_c86ca682ec75_003_deaths"", ""claim_rec_src_search_525c0a51cb88_003_cases_confirmed"", ""claim_rec_src_search_525c0a51cb88_006_cases_suspected"", ""claim_rec_src_search_525c0a51cb88_001_cases_suspected"", ""claim_rec_src_search_5d3071bb1dac_001_cases_unspecified"", ""claim_rec_src_search_525c0a51cb88_002_deaths"", ""claim_rec_src_search_5d3071bb1dac_002_deaths""]",corr_event_001,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,,laboratory positive specimen count,,2024-08-31,Mpox (Monkeypox),event_005,Comparable public-health claims conflict and require review.,3,,True,surveillance_summary,14,False,claim_rec_src_search_94cc3f59e20e_001_observation,"[""World Health Organization""]",8,"[""src_search_94cc3f59e20e"", ""src_search_c86ca682ec75"", ""src_search_525c0a51cb88"", ""src_search_1bd6a9f9e638"", ""src_search_5d3071bb1dac""]","[""publisher:world_health_organization"", ""domain:unicef_org"", ""domain:doctorswithoutborders_org""]","[""https://cdn.who.int/media/docs/default-source/documents/emergencies/20240928_mpox_external-sitrep_-38.pdf?sfvrsn=758b85b0_1"", ""https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON522"", ""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf"", ""https://cdn.who.int/media/docs/default-source/documents/emergencies/multi-country-outbreak-of-mpox--external-situation-report--57.pdf?sfvrsn=420b121c_4"", ""https://www.doctorswithoutborders.org/latest/mpox-outbreak-dr-congo-what-know""]",newly_reported,,"[""claim_rec_src_search_94cc3f59e20e_001_observation"", ""claim_rec_src_search_94cc3f59e20e_002_observation"", ""claim_rec_src_search_c86ca682ec75_004_observation"", ""claim_rec_src_search_c86ca682ec75_005_observation"", ""claim_rec_src_search_c86ca682ec75_006_observation"", ""claim_rec_src_search_c86ca682ec75_007_observation"", ""claim_rec_src_search_c86ca682ec75_008_observation"", ""claim_rec_src_search_525c0a51cb88_004_observation"", ""claim_rec_src_search_525c0a51cb88_005_observation"", ""claim_rec_src_search_1bd6a9f9e638_001_cases_confirmed"", ""claim_rec_src_search_1bd6a9f9e638_001_deaths"", ""claim_rec_src_search_1bd6a9f9e638_002_deaths""]",[],"[""conflicting_claims""]"
"[""Centers for Disease Control and Prevention""]",24873.0,[],corr_event_002,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,,2024-08-31,Mpox (Monkeypox),event_010,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_da73a01ad891_001_cases_unspecified,"[""Centers for Disease Control and Prevention""]",3,"[""src_search_da73a01ad891""]","[""domain:reliefweb_int""]","[""https://reliefweb.int/report/democratic-republic-congo/mpox-sequencing-africa""]",cumulative,,"[""claim_rec_src_search_da73a01ad891_001_cases_unspecified"", ""claim_rec_src_search_da73a01ad891_002_cases_confirmed"", ""claim_rec_src_search_da73a01ad891_003_deaths""]","[""claim_rec_src_search_da73a01ad891_001_cases_unspecified"", ""claim_rec_src_search_da73a01ad891_002_cases_confirmed"", ""claim_rec_src_search_da73a01ad891_003_deaths""]","[""single_source_unverified""]"
"[""World Health Organization""]",,[],corr_event_003,0.7,Claim group classified as insufficient_information.,insufficient_information,,newly_reported,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_021,,1,,False,outbreak_summary,1,False,claim_rec_src_search_c86ca682ec75_009_observation,"[""World Health Organization""]",0,"[""src_search_c86ca682ec75""]","[""publisher:world_health_organization""]","[""https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON522""]",newly_reported,Kinshasa - Nsele health zone,"[""claim_rec_src_search_c86ca682ec75_009_observation""]",[],[]
[],1025.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_023,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_525c0a51cb88_007_cases_unspecified,[],2,"[""src_search_525c0a51cb88""]","[""domain:unicef_org""]","[""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf""]",cumulative,Sankuru province,"[""claim_rec_src_search_525c0a51cb88_007_cases_unspecified"", ""claim_rec_src_search_525c0a51cb88_007_deaths""]","[""claim_rec_src_search_525c0a51cb88_007_cases_unspecified"", ""claim_rec_src_search_525c0a51cb88_007_deaths""]","[""single_source_unverified""]"
[],215.0,[],corr_event_005,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_008,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_525c0a51cb88_008_cases_unspecified,[],2,"[""src_search_525c0a51cb88""]","[""domain:unicef_org""]","[""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf""]",subset,South Kivu (health center not named in row 18),"[""claim_rec_src_search_525c0a51cb88_008_cases_unspecified"", ""claim_rec_src_search_525c0a51cb88_008_hospitalizations""]","[""claim_rec_src_search_525c0a51cb88_008_cases_unspecified"", ""claim_rec_src_search_525c0a51cb88_008_hospitalizations""]","[""single_source_unverified""]"
[],357.0,[],corr_event_006,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_suspected,case_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_007,Primary case claim has no independent corroborating source.,1,,True,suspected_case_record,0,False,claim_rec_src_search_525c0a51cb88_009_cases_suspected,[],1,"[""src_search_525c0a51cb88""]","[""domain:unicef_org""]","[""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf""]",subset,Nyangezi health center,"[""claim_rec_src_search_525c0a51cb88_009_cases_suspected""]","[""claim_rec_src_search_525c0a51cb88_009_cases_suspected""]","[""single_source_unverified""]"
[],253.0,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_006,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_525c0a51cb88_010_cases_unspecified,[],1,"[""src_search_525c0a51cb88""]","[""domain:unicef_org""]","[""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf""]",subset,"Miti-Murhesa health zone, Kavumu / Miti-Murhesa general referral hospital","[""claim_rec_src_search_525c0a51cb88_010_cases_unspecified""]","[""claim_rec_src_search_525c0a51cb88_010_cases_unspecified""]","[""single_source_unverified""]"
[],19.0,[],corr_event_008,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_009,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_525c0a51cb88_011_cases_unspecified,[],1,"[""src_search_525c0a51cb88""]","[""domain:unicef_org""]","[""https://www.unicef.org/media/161951/file/Democratic-Republic-of-the-Congo-Humanitarian-SitRep-No.-1-(Level-3-Mpox)-20-August-to-01-September-2024.pdf.pdf""]",subset,South Ubangi province,"[""claim_rec_src_search_525c0a51cb88_011_cases_unspecified""]","[""claim_rec_src_search_525c0a51cb88_011_cases_unspecified""]","[""single_source_unverified""]"
"[""National Center for Biotechnology Information""]",51.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,hospitalization_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_022,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,3,False,claim_rec_src_search_1255139db91f_001_cases_unspecified,"[""National Center for Biotechnology Information""]",0,"[""src_search_1255139db91f""]","[""publisher:national_center_for_biotechnology_information""]","[""https://pmc.ncbi.nlm.nih.gov/articles/PMC12001985""]",cumulative,"Kokolo health zone, Kinshasa","[""claim_rec_src_search_1255139db91f_001_cases_unspecified"", ""claim_rec_src_search_1255139db91f_001_hospitalizations"", ""claim_rec_src_search_1255139db91f_002_observation""]","[""claim_rec_src_search_1255139db91f_001_cases_unspecified"", ""claim_rec_src_search_1255139db91f_001_hospitalizations"", ""claim_rec_src_search_1255139db91f_002_observation""]","[""single_source_unverified""]"
"[""Centers for Disease Control and Prevention""]",,[],corr_event_010,0.7,Claim group classified as insufficient_information.,insufficient_information,,lab_test_count,Democratic Republic of the Congo,2024-08-31,Mpox (Monkeypox),event_012,,1,,False,outbreak_summary,0,False,claim_rec_src_search_255065bc24b2_001_observation,"[""Centers for Disease Control and Prevention""]",2,"[""src_search_255065bc24b2""]","[""domain:acaps_org""]","[""https://www.acaps.org/fileadmin/Data_Product/Main_media/20240920_ACAPS_DRC_-_Monkeypox_update.pdf""]",annual,,"[""claim_rec_src_search_255065bc24b2_001_observation"", ""claim_rec_src_search_255065bc24b2_002_observation""]",[],[]
"[""Centers for Disease Control and Prevention""]",,[],corr_event_011,0.7,Claim group classified as insufficient_information.,insufficient_information,,cumulative,Democratic Republic of the Congo,2024-08-07,Mpox (Monkeypox),event_001,,1,,False,outbreak_summary,1,False,claim_rec_src_search_bda3df613334_001_observation,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_bda3df613334""]","[""publisher:centers_for_disease_control_and_prevention""]","[""https://www.cdc.gov/han/2024/han00513.html""]",cumulative,,"[""claim_rec_src_search_bda3df613334_001_observation""]",[],[]
[],,[],corr_event_012,0.7,Claim group classified as insufficient_information.,insufficient_information,,outbreak_count,Democratic Republic of the Congo,2024-11-09,Mpox (Monkeypox),event_004,,1,,False,outbreak_summary,0,False,claim_rec_src_search_9befc0a97780_001_observation,[],1,"[""src_search_9befc0a97780""]","[""domain:reliefweb_int""]","[""https://reliefweb.int/report/democratic-republic-congo/multi-country-outbreak-mpox-external-situation-report-42-9-november-2024""]",cumulative,"South Kivu, North Kivu, Kinshasa, Kasai, Tshopo, Tanganyika","[""claim_rec_src_search_9befc0a97780_001_observation""]",[],[]
