edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_bda3df613334,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_c86ca682ec75,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_9befc0a97780,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_1bd6a9f9e638,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_5d3071bb1dac,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_b0d9edeca9ff,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_525c0a51cb88,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_1255139db91f,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_fe1a1f839d46,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_612c687e0be4,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_6d0aa2af1853,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_fca80a60fed0,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_5f5f052dfde8,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_24b596bdbb18,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_88f3866c9627,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_0a1fd0f7808b,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_46e96c569bac,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_350b26302501,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_80ad6c5bbfa5,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_c182f7c3ebb1,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_e6822a6db0e7,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_da73a01ad891,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_94cc3f59e20e,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_cd800c67453f,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_255065bc24b2,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_fa50642e386d,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_bda3df613334,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_c86ca682ec75,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_9befc0a97780,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_1bd6a9f9e638,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_5d3071bb1dac,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_b0d9edeca9ff,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_525c0a51cb88,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_1255139db91f,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_fe1a1f839d46,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_612c687e0be4,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_6d0aa2af1853,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_fca80a60fed0,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_5f5f052dfde8,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_24b596bdbb18,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_88f3866c9627,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_0a1fd0f7808b,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_46e96c569bac,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_350b26302501,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_80ad6c5bbfa5,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_c182f7c3ebb1,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_e6822a6db0e7,source,document:doc_047,document,
fetched_as,document.source_id links to source,source:src_search_da73a01ad891,source,document:doc_048,document,
fetched_as,document.source_id links to source,source:src_search_94cc3f59e20e,source,document:doc_049,document,
fetched_as,document.source_id links to source,source:src_search_cd800c67453f,source,document:doc_050,document,
fetched_as,document.source_id links to source,source:src_search_255065bc24b2,source,document:doc_051,document,
fetched_as,document.source_id links to source,source:src_search_fa50642e386d,source,document:doc_052,document,
fetched_as,document.source_id links to source,source:src_search_07a961e1c71b,source,document:doc_053,document,
fetched_as,document.source_id links to source,source:src_search_ea380d328268,source,document:doc_054,document,
fetched_as,document.source_id links to source,source:src_search_56e2081249ad,source,document:doc_055,document,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_94cc3f59e20e_024,evidence_chunk,raw_record:rec_src_search_94cc3f59e20e_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_94cc3f59e20e_024,evidence_chunk,raw_record:rec_src_search_94cc3f59e20e_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_da73a01ad891_003,evidence_chunk,raw_record:rec_src_search_da73a01ad891_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_da73a01ad891_003,evidence_chunk,raw_record:rec_src_search_da73a01ad891_002,raw_record,
