actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,150.0,claim_rec_src_search_6ec6e3fd8adc_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,150.0,United States of America,high,0.8434,2024-07-31,2024-07-31,,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_006,,,,# UPDATE – Ongoing *Salmonella* outbreaks linked to backyard poultry sickens 150 more people with over a quarter of cases in children under 5 years old,llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_006,,record reports unspecified case count,unspecified_case_record,SAL,True,Centers for Disease Control and Prevention,CDC Salmonella backyard poultry outbreak 2024 investigation cases hospitalizations deaths,extract_primary_case_claims,fetch_for_extraction,collection,2024-05-01 to 2024-07-31,False,tavily,src_search_6ec6e3fd8adc,publisher:centers_for_disease_control_and_prevention,rec_src_search_6ec6e3fd8adc_001,collection,Ongoing Salmonella outbreaks linked to backyard poultry sickens ...,official_public_health_agency,national_public_health_agency,https://www.cdc.gov/media/releases/2026/2026-update-ongoing-salmonella-outbreaks-linked-to-backyard-poultry-sickens-150-more-people-with-over.html,newly_reported,,chunk_src_search_6ec6e3fd8adc_003,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-11-26,,,,68.0,claim_rec_src_search_fe091021a27e_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,68.0,United States of America,high,0.8232,2024-11-26,2024-11-26,,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_008,,,,"As of November 26, 2024, there are 68 cases from 19 states including: Alaska, California, Colorado, Iowa, Illinois, Massachusetts, Montana, Nebraska, New Jersey, New York, Ohio, Oregon, Pennsylvania, South Dakota, Texas, Utah, Washington, Wisconsin, Wyoming.",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_008,,record reports unspecified case count,unspecified_case_record,NTS,True,Centers for Disease Control and Prevention,CDC Salmonella Africana Braenderup cucumbers 2024 outbreak cases hospitalizations deaths states investigation update,extract_primary_case_claims,fetch_for_extraction,collection,"As of November 26, 2024",False,tavily,src_search_fe091021a27e,publisher:doh_wa_gov,rec_src_search_fe091021a27e_001,collection,2024 Salmonella Multi-state Outbreak Linked to Cucumbers | Washington State Department of Health,official_public_health_agency,state_or_local_public_health_agency,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,cumulative,,chunk_src_search_fe091021a27e_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-11-26,,,,5.0,claim_rec_src_search_fe091021a27e_002_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,5.0,United States of America,high,0.8232,2024-11-26,2024-11-26,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_009,,,,"As of November 26, 2024, five Washington residents have been included in this outbreak. Cases reside in Cowlitz (1), Island (1), Skagit (1), Spokane (1), Whatcom (1) counties. None were hospitalized and none died.",llm_structured_output_extractor,Washington State,0.0,,False,True,False,False,False,False,event_009,,record reports unspecified case count,unspecified_case_record,NTS,True,Centers for Disease Control and Prevention,CDC Salmonella Africana Braenderup cucumbers 2024 outbreak cases hospitalizations deaths states investigation update,extract_primary_case_claims,fetch_for_extraction,collection,"As of November 26, 2024",False,tavily,src_search_fe091021a27e,publisher:doh_wa_gov,rec_src_search_fe091021a27e_002,collection,2024 Salmonella Multi-state Outbreak Linked to Cucumbers | Washington State Department of Health,official_public_health_agency,state_or_local_public_health_agency,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,cumulative,Washington,chunk_src_search_fe091021a27e_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-11-26,,,,5.0,claim_rec_src_search_fe091021a27e_002_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,case_count,,0.0,United States of America,high,0.8232,2024-11-26,2024-11-26,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_009,,,,"As of November 26, 2024, five Washington residents have been included in this outbreak. Cases reside in Cowlitz (1), Island (1), Skagit (1), Spokane (1), Whatcom (1) counties. None were hospitalized and none died.",llm_structured_output_extractor,Washington State,0.0,,False,False,True,False,False,False,event_009,,record reports death count,death_record,NTS,False,Centers for Disease Control and Prevention,CDC Salmonella Africana Braenderup cucumbers 2024 outbreak cases hospitalizations deaths states investigation update,extract_primary_case_claims,fetch_for_extraction,collection,"As of November 26, 2024",False,tavily,src_search_fe091021a27e,publisher:doh_wa_gov,rec_src_search_fe091021a27e_002,collection,2024 Salmonella Multi-state Outbreak Linked to Cucumbers | Washington State Department of Health,official_public_health_agency,state_or_local_public_health_agency,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,cumulative,Washington,chunk_src_search_fe091021a27e_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-11-26,,,,5.0,claim_rec_src_search_fe091021a27e_002_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,case_count,,0.0,United States of America,high,0.8232,2024-11-26,2024-11-26,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_009,,,,"As of November 26, 2024, five Washington residents have been included in this outbreak. Cases reside in Cowlitz (1), Island (1), Skagit (1), Spokane (1), Whatcom (1) counties. None were hospitalized and none died.",llm_structured_output_extractor,Washington State,0.0,,False,False,False,False,False,False,event_009,,record reports hospitalization count,hospitalization_record,NTS,False,Centers for Disease Control and Prevention,CDC Salmonella Africana Braenderup cucumbers 2024 outbreak cases hospitalizations deaths states investigation update,extract_primary_case_claims,fetch_for_extraction,collection,"As of November 26, 2024",False,tavily,src_search_fe091021a27e,publisher:doh_wa_gov,rec_src_search_fe091021a27e_002,collection,2024 Salmonella Multi-state Outbreak Linked to Cucumbers | Washington State Department of Health,official_public_health_agency,state_or_local_public_health_agency,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/foodborne-illness/outbreaks/2024-salmonella-multi-state-outbreak-linked-cucumbers,cumulative,Washington,chunk_src_search_fe091021a27e_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-07-01,,,,551.0,claim_rec_src_search_33733b13ba13_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,551.0,United States of America,high,0.8823,2024-07-31,2024-07-31,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_005,2024-07-26,,,Total Illnesses: 551,llm_structured_output_extractor,United States,155.0,,False,True,False,False,False,False,event_005,,record reports unspecified case count,unspecified_case_record,NTS,True,,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths United States May June July,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 1, 2024",False,tavily,src_search_33733b13ba13,domain:fda_gov,rec_src_search_33733b13ba13_001,collection,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,official_public_health_agency,official_public_health_agency,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,cumulative,,chunk_src_search_33733b13ba13_013,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-07-01,,,,551.0,claim_rec_src_search_33733b13ba13_001_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,case_count,,0.0,United States of America,high,0.8823,2024-07-31,2024-07-31,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_005,2024-07-26,,,Total Illnesses: 551,llm_structured_output_extractor,United States,155.0,,False,False,True,False,False,False,event_005,,record reports death count,death_record,NTS,False,,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths United States May June July,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 1, 2024",False,tavily,src_search_33733b13ba13,domain:fda_gov,rec_src_search_33733b13ba13_001,collection,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,official_public_health_agency,official_public_health_agency,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,cumulative,,chunk_src_search_33733b13ba13_013,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-07-01,,,,551.0,claim_rec_src_search_33733b13ba13_001_hospitalizations,active,primary_case_claim_support,public_health_observation,0.7,hospitalizations,case_count,,155.0,United States of America,high,0.8823,2024-07-31,2024-07-31,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_005,2024-07-26,,,Total Illnesses: 551,llm_structured_output_extractor,United States,155.0,,False,False,False,False,False,False,event_005,,record reports hospitalization count,hospitalization_record,NTS,True,,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths United States May June July,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 1, 2024",False,tavily,src_search_33733b13ba13,domain:fda_gov,rec_src_search_33733b13ba13_001,collection,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,official_public_health_agency,official_public_health_agency,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,cumulative,,chunk_src_search_33733b13ba13_013,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-07-01,,,,,claim_rec_src_search_33733b13ba13_002_hospitalizations,active,primary_case_claim_support,public_health_observation,0.7,hospitalizations,hospitalization_count,,155.0,United States of America,high,0.8823,2024-07-31,2024-07-31,,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_005,,,,Hospitalizations: 155,llm_structured_output_extractor,United States,155.0,,False,False,False,False,False,False,event_005,,record reports hospitalization count,hospitalization_record,NTS,True,,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths United States May June July,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 1, 2024",False,tavily,src_search_33733b13ba13,domain:fda_gov,rec_src_search_33733b13ba13_002,collection,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,official_public_health_agency,official_public_health_agency,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,cumulative,,chunk_src_search_33733b13ba13_014,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-07-01,,,,,claim_rec_src_search_33733b13ba13_003_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,0.0,United States of America,high,0.8823,2024-07-31,2024-07-31,0.0,live_search_result,Salmonellosis (non-typhoidal Salmonella),Salmonellosis (non-typhoidal Salmonella),,event_005,,,,Deaths: 0,llm_structured_output_extractor,United States,,,False,False,True,False,False,False,event_005,,record reports death count,death_record,NTS,False,,CDC Salmonella outbreak investigation 2024 cases hospitalizations deaths United States May June July,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 1, 2024",False,tavily,src_search_33733b13ba13,domain:fda_gov,rec_src_search_33733b13ba13_003,collection,Outbreak Investigation of Salmonella: Cucumbers (June 2024) - FDA,official_public_health_agency,official_public_health_agency,https://www.fda.gov/food/outbreaks-foodborne-illness/outbreak-investigation-salmonella-cucumbers-june-2024,cumulative,,chunk_src_search_33733b13ba13_015,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
