actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://westnile.ca.gov/download?download_id=5072,primary_case_claim_support,,,live_search_result,not_assessed,westnile.ca.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"California Arbovirus Surveillance Bulletin # 32

Week 46 Friday, Nov 15 , 202 4

# WEEKLY UPDATE 

Human s

West Nile virus 

A total of 2 new human cases of West Nile virus (WNV) disease were reported this week from 2 counties: 

Fresno (1) and Yolo (1 ). In 2024, 11 2 human cases of WNV disease were reported from 23 counties. 

Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the 

case -patients was 60 years and 71 (63%) of the case -patients were male. The dates of symptom onset 

ranged from May 28 to October 7. In addition to the 11 2 cases ",,,WEEKLY UPDATE - California West Nile Virus,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_b9348b953aaa,direct_target_official_fast_path_skips_source_identity,assessed,domain:westnile_ca_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://westnile.ca.gov/download?download_id=5072,False,False,True,False,possibly_relevant,not_assessed,WEEKLY UPDATE - California West Nile Virus,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://westnile.ca.gov/download?download_id=4980,primary_case_claim_support,,,live_search_result,not_assessed,westnile.ca.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"California Arbovirus Surveillance Bulletin # 7

Week 21 Friday , May 24 , 202 4

## WEEKLY UPDATE 

Human s

No human infections have been reported in 202 4.

Dead Birds 

No new West Nile virus (WNV) positive dead bird s were reported this week . In 202 4, 15 WNV positive 

dead bird s have been reported from 5 count ies . At this time last year, 10 WNV positive dead bird s

had been reported from 3 count ies. 

Mosquito Pools 

West Nile virus 

A total of 3 new WNV positive mosquito pools were reported from 2 counties: Fresno (1) and 

Riverside (2) . This is the first detection of WNV acti",,,WEEKLY UPDATE - California West Nile Virus,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_ccc444806280,direct_target_official_fast_path_skips_source_identity,assessed,domain:westnile_ca_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://westnile.ca.gov/download?download_id=4980,False,False,True,False,possibly_relevant,not_assessed,WEEKLY UPDATE - California West Nile Virus,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://westnile.ca.gov/download?download_id=5061,primary_case_claim_support,,,live_search_result,not_assessed,westnile.ca.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"California Arbovirus Surveillance Bulletin # 29

Week 43 Friday, October 25 , 202 4

# WEEKLY UPDATE 

Human s

West Nile virus 

A total of 9 new human cases of West Nile virus (WNV) disease were reported this week from 4 counties: 

Kern (4), Los Angeles (2), Sacramento (2), and Tulare (1). This is the first WNV positive human case 

from Tulare County this year. In 2024, 98 human cases of WNV disease were reported from 23 

counties. Of the 98 cases, 75 (77%) had neuroinvasive disease and 11 (11 %) were fatal. The median age 

of the case -patients was 59 years and 63 (64%) of the case -pat",,,WEEKLY UPDATE - California West Nile Virus,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_a39e4fa28013,direct_target_official_fast_path_skips_source_identity,assessed,domain:westnile_ca_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://westnile.ca.gov/download?download_id=5061,False,False,True,False,possibly_relevant,not_assessed,WEEKLY UPDATE - California West Nile Virus,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://westnile.ca.gov/resources.php,primary_case_claim_support,,,live_search_result,not_assessed,westnile.ca.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"[en Español](spanish.php)

West Nile virus (WNV) is a mosquito-borne virus that causes disease in humans, horses, and birds. WNV spreads to people through the bite of an infected mosquito, and it can make people sick and even cause death. WNV is common in the United States, especially in California, and is a problem that is here to stay. The best way to prevent WNV is to protect yourself from mosquito bites.

**Mosquitoes often get WNV from birds. Dead bird reports are one way of tracking where WNV could be spreading. You can help the California Department of Public Health (CDPH) track WNV in ",,,Westnile.ca.gov | California West Nile Virus Website,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_14d0fc5d0793,direct_target_official_fast_path_skips_source_identity,assessed,domain:westnile_ca_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://westnile.ca.gov/resources.php,False,False,True,False,possibly_relevant,not_assessed,Westnile.ca.gov | California West Nile Virus Website,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,social_media,https://www.facebook.com/KernValleySun/posts/via-the-california-department-of-public-health-cdph-confirms-first-human-west-ni/1407441495972223,insufficient_information,,,live_search_result,not_assessed,facebook.com,[],not_assessed,medium,non_authority,False,False,,,False,source_identity_publisher_credibility_v1,,report,[],"## Kern Valley Sun's Post

---

### [**Kern Valley Sun**](https://www.facebook.com/KernValleySun?__cft__[0]=AZbR0rUlHafo04eLKDD-g0JXuw09D7YA7Ci3lCrbvWF_Tnw66_f04F8kijGS-zcqFlwX5gbqIyngjNQxztxV34cASxLQgRZgJLZqwFf9InYopwF6paCMO9328RiUmorwpILqng9oMtnPP66p7qvQqF3zB8ZtJExnrCCDUbUJIYfdjQ&__tn__=-UC%2CP-R)

[September 1, 2017](https://www.facebook.com/KernValleySun/posts/pfbid0UUjGy7FFVicM7AKshMj1aDYLYSNqoYT7pMxztFq7HEKYnLehTLwQFvwKJKc462PLl?__cft__[0]=AZbR0rUlHafo04eLKDD-g0JXuw09D7YA7Ci3lCrbvWF_Tnw66_f04F8kijGS-zcqFlwX5gbqIyngjNQxztxV34cASxLQgRZgJLZqwFf9InYopwF6paCMO9328RiUmorwpILqng9oMtnPP66p7qvQqF",,,CDPH Confirms First Human West Nile Virus Deaths ...,True,low,social,[],[],,social_media,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,5,Tavily,,src_search_53b59cfa3d96,direct_target_official_fast_path_skips_source_identity,assessed,domain:facebook_com,,low,high,"[""domain""]",social_media,,[],https://www.facebook.com/KernValleySun/posts/via-the-california-department-of-public-health-cdph-confirms-first-human-west-ni/1407441495972223,True,False,False,False,possibly_relevant,not_assessed,CDPH Confirms First Human West Nile Virus Deaths ...,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://westnile.ca.gov,primary_case_claim_support,,,live_search_result,not_assessed,westnile.ca.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"[en Español](spanish.php)

West Nile virus (WNV) is a mosquito-borne virus that causes disease in humans, horses, and birds. WNV spreads to people through the bite of an infected mosquito, and it can make people sick and even cause death. WNV is common in the United States, especially in California, and is a problem that is here to stay. The best way to prevent WNV is to protect yourself from mosquito bites.

**Mosquitoes often get WNV from birds. Dead bird reports are one way of tracking where WNV could be spreading. You can help the California Department of Public Health (CDPH) track WNV in ",,,Westnile.ca.gov | California West Nile Virus Website,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,6,Tavily,,src_search_fc3322f3069f,direct_target_official_fast_path_skips_source_identity,assessed,domain:westnile_ca_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://westnile.ca.gov,False,False,True,False,possibly_relevant,not_assessed,Westnile.ca.gov | California West Nile Virus Website,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
publichealth.lacounty.gov,high,publichealth_lacounty_gov,,2026-06-25T14:58:20+00:00,official_authority,http://publichealth.lacounty.gov/acd/WNVData.htm,primary_case_claim_support,,,live_search_result,not_assessed,publichealth.lacounty.gov,[],not_assessed,medium,subnational,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"|  |
| --- |
| [Translate](#)  A-Z Index  [A](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=A)[B](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=B)[C](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=C)[D](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=D)[E](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=E)[F](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=F)[G](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=G)[H](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=H)[I](/phcommon/public/AtoZTopics/AtoZpubDisplayAll.cfm?alpha=I)",,,Acute Communicable Disease Control,True,low,primary_or_authoritative,"[""domain""]",[],domain,state_or_local_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_3e81a7046115,direct_target_official_fast_path_skips_source_identity,assessed,publisher:publichealth_lacounty_gov,publichealth.lacounty.gov,high,high,"[""domain""]",state_or_local_public_health_agency,,[],http://publichealth.lacounty.gov/acd/WNVData.htm,False,False,True,False,possibly_relevant,not_assessed,Acute Communicable Disease Control,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T14:58:20+00:00,official_authority,https://beaconbio.org/en/report?reportid=9e6a7973-dc07-49f2-bfb1-53a2a13e20c6&eventid=06189783-12d9-4850-a702-3ccc4b256e5f,primary_case_claim_support,,,live_search_result,not_assessed,beaconbio.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,report,[],"Track biological threats, share vital information, and collaborate on solutions for community protection and preparedness.
BEACON",,,BEACON,True,low,primary_or_authoritative,[],[],,official_public_health_agency,California West Nile virus cases deaths 2024 CDPH surveillance weekly report August,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_20cc0cc9d540,direct_target_official_fast_path_skips_source_identity,assessed,domain:beaconbio_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://beaconbio.org/en/report?reportid=9e6a7973-dc07-49f2-bfb1-53a2a13e20c6&eventid=06189783-12d9-4850-a702-3ccc4b256e5f,False,False,True,False,possibly_relevant,not_assessed,"2025 declared West Nile virus (WNV) ""outbreak year""",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
National Center for Biotechnology Information,high,national_center_for_biotechnology_information,,2026-06-25T14:58:20+00:00,structured_database,https://pmc.ncbi.nlm.nih.gov/articles/PMC12696598,primary_case_claim_support,,,live_search_result,not_assessed,pmc.ncbi.nlm.nih.gov,[],not_assessed,medium,government_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to main content](https://pmc.ncbi.nlm.nih.gov/articles/PMC12696598#main-content)

![Image 1](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/us_flag.svg)

An official website of the United States government

Here's how you know

Here's how you know

![Image 2](https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/a2b04810/var/data/static/img/icon-dot-gov.svg)

**Official websites use .gov**

 A **.gov** website belongs to an official government organization in the United States.

![Image 3](https://cdn.ncbi.nlm.nih.go",,,Risk Factors for West Nile Neuroinvasive Disease and Mortality in ...,True,low,primary_or_authoritative,"[""domain""]",[],domain,structured_database,CDC ArboNET West Nile virus California 2024 cases neuroinvasive fever deaths statistics,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_1ae425b278e3,direct_target_official_fast_path_skips_source_identity,assessed,publisher:national_center_for_biotechnology_information,National Center for Biotechnology Information,high,medium,"[""domain""]",structured_database,,[],https://pmc.ncbi.nlm.nih.gov/articles/PMC12696598,False,False,True,False,possibly_relevant,not_assessed,Risk Factors for West Nile Neuroinvasive Disease and Mortality in ...,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
Centers for Disease Control and Prevention,high,centers_for_disease_control_and_prevention,,2026-06-25T14:58:20+00:00,official_authority,https://www.cdc.gov/west-nile-virus/data-maps/historic-data.html,primary_case_claim_support,,,live_search_result,not_assessed,cdc.gov,[],not_assessed,medium,national,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,"[""Historic Data (1999-2025) | West Nile Virus | CDC""]","![](/TemplatePackage/5.0/img/uswds/us_flag_small.png)
![](/TemplatePackage/5.0/img/uswds/icon-dot-gov.svg)

A **.gov** website belongs to an official government organization in the United States.

![](/TemplatePackage/5.0/img/uswds/icon-https.svg)

A **lock** (  ) or **https://** means you've safely connected to the .gov website. Share sensitive information only on official, secure websites.

![Centers for Disease Control and Prevention. CDC twenty four seven. Saving Lives, Protecting People](/TemplatePackage/5.0/img/logo/logo-notext.svg)

**Related Topics:**

![Centers for Disease Control and",Centers for Disease Control and Prevention,,Historic Data (1999-2025) | West Nile Virus | CDC,True,high,primary_or_authoritative,"[""domain"", ""page_title""]","[""Historic Data (1999-2025) | West Nile Virus | CDC""]",page_metadata_or_text,national_public_health_agency,CDC ArboNET West Nile virus California 2024 cases neuroinvasive fever deaths statistics,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_d879ecf59b5b,direct_target_official_fast_path_skips_source_identity,assessed,publisher:centers_for_disease_control_and_prevention,Centers for Disease Control and Prevention,high,high,"[""domain""]",national_public_health_agency,,[],https://www.cdc.gov/west-nile-virus/data-maps/historic-data.html,False,False,True,False,possibly_relevant,not_assessed,Historic Data (1999-2025) | West Nile Virus | CDC,Official domain pattern,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""direct_target_official_fast_path_skips_source_identity""]"
