actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,,claim_rec_src_search_90be6a027c41_001_observation,active,primary_case_claim_support,public_health_observation,0.7,,unspecified,,,United States of America,excluded,0.6639,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_013,,2025-08,,### Stay informed on the recent August 2025 Legionnaires' Disease outbreak in Central Harlem.,llm_structured_output_extractor,"Central Harlem, Manhattan, New York City",,,False,False,False,False,False,False,event_013,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,LEG,False,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,August 2025,False,tavily,src_search_90be6a027c41,domain:manhattanbp_nyc_gov,rec_src_search_90be6a027c41_001,excluded,Public Health Alert: Legionnaires' Disease Outbreak | Manhattan Borough President,official_public_health_agency,official_public_health_agency,https://www.manhattanbp.nyc.gov/initiatives/public-health-alert-legionnaires-disease-outbreak,,"Central Harlem, Manhattan, New York City",chunk_src_search_90be6a027c41_003,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,101.0,claim_rec_src_search_743df961a25b_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,101.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_022,,2025-07-25,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,True,False,False,False,False,event_022,,record reports unspecified case count,unspecified_case_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_001,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,101.0,claim_rec_src_search_743df961a25b_001_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,case_count,,4.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_022,,2025-07-25,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,False,True,False,False,False,event_022,,record reports death count,death_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_001,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_743df961a25b_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,4.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_022,,2025-07-25,,"# NYC Legionnaires’ Outbreak: Fourth Death Confirmed, 101 Sickened",llm_structured_output_extractor,"Central Harlem, New York City",,,False,False,True,False,False,False,event_022,,record reports death count,death_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_002,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,111.0,,,,claim_rec_src_search_8e86f33ccf00_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.85,cases_confirmed,case_count,,111.0,United States of America,excluded,0.6639,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,,,"There are now six deaths, 111 confirmed cases, and seven are currently hospitalized.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,True,False,False,False,False,event_005,,record reports confirmed case count,confirmed_case_record,LD,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_8e86f33ccf00,domain:abc7ny_com,rec_src_search_8e86f33ccf00_001,excluded,Legionnaires' disease outbreak: Sixth person dies in Legionnaires' disease outbreak in Harlem as cases rise to 111 - ABC7 New York,official_public_health_agency,official_public_health_agency,https://abc7ny.com/post/legionnaires-disease-outbreak-sixth-person-dies-harlem-cases-rise-111/17607821,cumulative,"New York City, New York",chunk_src_search_8e86f33ccf00_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_8e86f33ccf00_002_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,6.0,United States of America,excluded,0.6639,2025-08-31,2025-08-31,6.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,,,"There are now six deaths, 111 confirmed cases, and seven are currently hospitalized.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,False,True,False,False,False,event_005,,record reports death count,death_record,LD,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_8e86f33ccf00,domain:abc7ny_com,rec_src_search_8e86f33ccf00_002,excluded,Legionnaires' disease outbreak: Sixth person dies in Legionnaires' disease outbreak in Harlem as cases rise to 111 - ABC7 New York,official_public_health_agency,official_public_health_agency,https://abc7ny.com/post/legionnaires-disease-outbreak-sixth-person-dies-harlem-cases-rise-111/17607821,cumulative,"New York City, New York",chunk_src_search_8e86f33ccf00_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_8e86f33ccf00_003_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,hospitalization_count,,7.0,United States of America,excluded,0.6639,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_006,,,,"There are now six deaths, 111 confirmed cases, and seven are currently hospitalized.",llm_structured_output_extractor,"Central Harlem, New York City",7.0,,False,False,False,False,False,False,event_006,,record reports hospitalization count,hospitalization_record,LD,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_8e86f33ccf00,domain:abc7ny_com,rec_src_search_8e86f33ccf00_003,excluded,Legionnaires' disease outbreak: Sixth person dies in Legionnaires' disease outbreak in Harlem as cases rise to 111 - ABC7 New York,official_public_health_agency,official_public_health_agency,https://abc7ny.com/post/legionnaires-disease-outbreak-sixth-person-dies-harlem-cases-rise-111/17607821,unknown,"New York City, New York",chunk_src_search_8e86f33ccf00_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-26,113.0,,,,claim_rec_src_search_b74bccc017c5_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.85,cases_confirmed,case_count,,113.0,United States of America,high,0.6823,2025-08-26,2025-08-26,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_001,,,,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",llm_structured_output_extractor,New York City,,,False,True,False,False,False,False,event_001,,record reports confirmed case count,confirmed_case_record,,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,"as of August 26, 2025",False,tavily,src_search_b74bccc017c5,domain:goldbergsegalla_com,rec_src_search_b74bccc017c5_001,collection,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,official_public_health_agency,official_public_health_agency,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,cumulative,New York City,chunk_src_search_b74bccc017c5_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-26,,,,,claim_rec_src_search_b74bccc017c5_002_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,6.0,United States of America,high,0.6823,2025-08-26,2025-08-26,6.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_001,,,,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",llm_structured_output_extractor,New York City,,,False,False,True,False,False,False,event_001,,record reports death count,death_record,,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,"as of August 26, 2025",False,tavily,src_search_b74bccc017c5,domain:goldbergsegalla_com,rec_src_search_b74bccc017c5_002,collection,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,official_public_health_agency,official_public_health_agency,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,cumulative,New York City,chunk_src_search_b74bccc017c5_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-26,,,,,claim_rec_src_search_b74bccc017c5_003_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,hospitalization_count,,7.0,United States of America,high,0.6823,2025-08-26,2025-08-26,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_002,,,,"### On August 26, the DOH reported more than 113 confirmed cases of the disease, with six deaths and seven people currently hospitalized",llm_structured_output_extractor,New York City,7.0,,False,False,False,False,False,False,event_002,,record reports hospitalization count,hospitalization_record,,True,,Legionnaires disease New York City August 2025 cases outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,"as of August 26, 2025",False,tavily,src_search_b74bccc017c5,domain:goldbergsegalla_com,rec_src_search_b74bccc017c5_003,collection,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,official_public_health_agency,official_public_health_agency,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,subset,New York City,chunk_src_search_b74bccc017c5_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
