edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_c6833da45d7d,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_f72980cd3634,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_b74bccc017c5,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_fd4c39b5e976,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_1596aec16d67,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_950d652e6d2a,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_a9306f6e1687,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_5b7e6dfb326c,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_90be6a027c41,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_b4917c664acb,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_743df961a25b,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_8e86f33ccf00,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_b5fd4616caee,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_72af26a33522,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_8ca119dddbda,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_caf9b786a60e,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_74ae67b4e657,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_2d165d3a4d7e,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_acc7a5476d26,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_e32cd9e88818,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_d8125dd1590d,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_73e3075a7ac3,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_ee903f91c827,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_5ec597ef7ab0,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_372f68735b3d,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_9af2d47673f3,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_1646de60acf0,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_c6833da45d7d,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_f72980cd3634,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_b74bccc017c5,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_fd4c39b5e976,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_1596aec16d67,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_950d652e6d2a,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_a9306f6e1687,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_5b7e6dfb326c,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_90be6a027c41,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_b4917c664acb,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_743df961a25b,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_8e86f33ccf00,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_b5fd4616caee,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_72af26a33522,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_8ca119dddbda,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_caf9b786a60e,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_74ae67b4e657,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_2d165d3a4d7e,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_acc7a5476d26,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_e32cd9e88818,source,document:doc_047,document,
fetched_as,document.source_id links to source,source:src_search_d8125dd1590d,source,document:doc_048,document,
fetched_as,document.source_id links to source,source:src_search_73e3075a7ac3,source,document:doc_049,document,
fetched_as,document.source_id links to source,source:src_search_ee903f91c827,source,document:doc_050,document,
fetched_as,document.source_id links to source,source:src_search_5ec597ef7ab0,source,document:doc_051,document,
fetched_as,document.source_id links to source,source:src_search_372f68735b3d,source,document:doc_052,document,
fetched_as,document.source_id links to source,source:src_search_9af2d47673f3,source,document:doc_053,document,
fetched_as,document.source_id links to source,source:src_search_1646de60acf0,source,document:doc_054,document,
fetched_as,document.source_id links to source,source:src_search_8572f55d7887,source,document:doc_055,document,
fetched_as,document.source_id links to source,source:src_search_259ad39d29b4,source,document:doc_056,document,
fetched_as,document.source_id links to source,source:src_search_58e8d27d8c67,source,document:doc_057,document,
fetched_as,document.source_id links to source,source:src_search_d7abef8536a2,source,document:doc_058,document,
fetched_as,document.source_id links to source,source:src_search_f4d05ea78792,source,document:doc_059,document,
fetched_as,document.source_id links to source,source:src_search_ee3c4e1dc1cd,source,document:doc_060,document,
fetched_as,document.source_id links to source,source:src_search_a939cc062696,source,document:doc_061,document,
fetched_as,document.source_id links to source,source:src_search_82f83b77a6d8,source,document:doc_062,document,
fetched_as,document.source_id links to source,source:src_search_f1f4266d2f42,source,document:doc_063,document,
fetched_as,document.source_id links to source,source:src_search_2db27965c0f8,source,document:doc_064,document,
fetched_as,document.source_id links to source,source:src_search_3a310a531aa5,source,document:doc_065,document,
fetched_as,document.source_id links to source,source:src_search_d3c242f1bd62,source,document:doc_066,document,
fetched_as,document.source_id links to source,source:src_search_55902341c014,source,document:doc_067,document,
fetched_as,document.source_id links to source,source:src_search_f479da1d3f17,source,document:doc_068,document,
fetched_as,document.source_id links to source,source:src_search_2a116853cc42,source,document:doc_069,document,
fetched_as,document.source_id links to source,source:src_search_b3a8cb483c3f,source,document:doc_070,document,
fetched_as,document.source_id links to source,source:src_search_fec52be8f139,source,document:doc_071,document,
fetched_as,document.source_id links to source,source:src_search_77673ee49a41,source,document:doc_072,document,
