edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_10ccb06f620d,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_29acec08996b,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_d978f9d93b3b,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_341f243cf7df,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_3b86862864f7,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_c8cadc78e2a8,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_a5bc6c5400a7,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_e0c58bcf769a,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_57e9dfd2a4f6,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_3faf6631782d,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_057e55c5d693,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_85d5f7f41e48,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_33733b13ba13,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_5bda1b341f55,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_5851bdcbd35f,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_051378e10a24,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_23155caef955,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_fdcb0a062e7e,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_8207a084046e,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_31b14f5b949d,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_1aa919b25056,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_420c4a0f3bfd,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_230f50d16406,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_69331015856f,source,document:doc_024,document,
