anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,deaths_without_case_reference,record,deaths,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,"Two more people have died, in New Jersey, from West Nile virus, bringing the total number of U.S. deaths in 2024 to five—*Newsweek* maps show the extent of the outbreak.",,[],,United States,False,5.0,deaths present but no comparable case count is available,human_review,rec_src_search_29301bcfe202_001,[],low,src_search_29301bcfe202,"[""src_search_29301bcfe202""]","[""https://www.newsweek.com/west-nile-virus-maps-show-cases-us-this-year-1947235""]",,,"[""insufficient_case_reference""]"
anom_002,open,deaths_without_case_reference,record,deaths,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,"Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the",,[],,California,False,11.0,deaths present but no comparable case count is available,human_review,rec_src_search_b9348b953aaa_006,[],low,src_search_b9348b953aaa,"[""src_search_b9348b953aaa""]","[""https://westnile.ca.gov/download?download_id=5072""]",,,"[""insufficient_case_reference""]"
anom_003,open,deaths_without_case_reference,record,deaths,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,"counties. Of the 98 cases, 75 (77%) had neuroinvasive disease and 11 (11 %) were fatal. The median age",,[],,California,False,11.0,deaths present but no comparable case count is available,human_review,rec_src_search_a39e4fa28013_008,[],low,src_search_a39e4fa28013,"[""src_search_a39e4fa28013""]","[""https://westnile.ca.gov/download?download_id=5061""]",,,"[""insufficient_case_reference""]"
anom_004,open,abrupt_spike_simple_threshold,record,case_count,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,"| **Human cases (fatal)** | 3 (0) | 791 (32) | 880 (21) | 278 (9) | 382 (22) | 446 (15) | 112 (5) | 112 (6) | 159 (9) | 480 (23) | 387 (19) | 842 (34) | 800 (55) | 461 (21) | 556 (44) | 217 (11) | 225 (6) | 214 (15) | 129 (12) | 209 (15) | 433 (20) | 132 (12) | 116 (11) | 0 (0) | 8,364 (417) |",324.0,[],case count is a simple-threshold spike over prior comparable records,California,True,8364.0,case count is a simple-threshold spike over prior comparable records,review_possible_spike_or_count_semantics,rec_src_search_fc3322f3069f_001,[],medium,src_search_fc3322f3069f,"[""src_search_fc3322f3069f""]","[""https://westnile.ca.gov""]",10.0,,[]
anom_005,open,deaths_without_case_reference,record,deaths,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,1** WNV-related fatalities have been reported to CDPH this year from 1 jurisdictions: Tulare (1),,[],,"Tulare County, California",False,1.0,deaths present but no comparable case count is available,human_review,rec_src_search_14d0fc5d0793_002,[],low,src_search_14d0fc5d0793,"[""src_search_14d0fc5d0793""]","[""https://westnile.ca.gov/resources.php""]",,,"[""insufficient_case_reference""]"
anom_006,open,deaths_without_case_reference,record,deaths,2024-08-31,deterministic_anomaly_detection,West Nile Virus Disease,,"the 27 cases, 21 (78%) had neuroinvasive disease and 3 ( 11 %) were fatal. The median age of the",,[],,California,False,3.0,deaths present but no comparable case count is available,human_review,rec_src_search_1901d64d67f4_004,[],low,src_search_1901d64d67f4,"[""src_search_1901d64d67f4""]","[""https://westnile.ca.gov/download?download_id=5027""]",,,"[""insufficient_case_reference""]"
anom_007,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,West Nile Virus Disease,event_008,"Two more people have died, in New Jersey, from West Nile virus, bringing the total number of U.S. deaths in 2024 to five—*Newsweek* maps show the extent of the outbreak.","{""disease"": ""West Nile virus"", ""location"": ""California"", ""time_window"": [2024, 2024]}",[],Stage 10 validation marked record outside requested scope: outside_geography,United States,True,"{""disease"": ""West Nile Virus Disease"", ""location"": ""United States"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_29301bcfe202""]","[""https://www.newsweek.com/west-nile-virus-maps-show-cases-us-this-year-1947235""]",,val_result_003,"[""outside_geography""]"
anom_008,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,West Nile Virus Disease,event_008,"A total of 289 cases of the disease have been detected so far, according to the U.S. Centers for Disease Control and Prevention ([CDC](https://www.newsweek.com/topic/cdc)), across 33 different states, but what is West Nile virus, and who is most at risk?","{""disease"": ""West Nile virus"", ""location"": ""California"", ""time_window"": [2024, 2024]}",[],Stage 10 validation marked record outside requested scope: outside_geography,United States,True,"{""disease"": ""West Nile Virus Disease"", ""location"": ""United States"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_29301bcfe202""]","[""https://www.newsweek.com/west-nile-virus-maps-show-cases-us-this-year-1947235""]",,val_result_004,"[""outside_geography""]"
anom_009,open,out_of_scope_count_bearing_record,validation_result,task_scope,2023 year-to-date (through equivalent week 32),deterministic_anomaly_detection,West Nile Virus Disease,event_012,No. Human Cases 324 112,"{""disease"": ""West Nile virus"", ""location"": ""California"", ""time_window"": [2024, 2024]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,California,True,"{""disease"": ""West Nile Virus Disease"", ""location"": ""California"", ""date_or_period"": ""2023 year-to-date (through equivalent week 32)""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_b9348b953aaa""]","[""https://westnile.ca.gov/download?download_id=5072""]",,val_result_016,"[""outside_time_window""]"
anom_010,open,out_of_scope_count_bearing_record,validation_result,task_scope,prior year cumulative through 2023 season to date (prior year comparator at same bulletin week),deterministic_anomaly_detection,West Nile Virus Disease,event_016,No. Human Cases 286 98,"{""disease"": ""West Nile virus"", ""location"": ""California"", ""time_window"": [2024, 2024]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,California,True,"{""disease"": ""West Nile Virus Disease"", ""location"": ""California"", ""date_or_period"": ""prior year cumulative through 2023 season to date (prior year comparator at same bulletin week)""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_a39e4fa28013""]","[""https://westnile.ca.gov/download?download_id=5061""]",,val_result_027,"[""outside_time_window""]"
anom_011,open,out_of_scope_count_bearing_record,validation_result,task_scope,Since 2003,deterministic_anomaly_detection,West Nile Virus Disease,event_010,"West Nile virus is the most common and serious vector-borne disease in California. There have been more than 7,500 human cases and over 300 deaths reported in California since 2003. The mosquitoes that spread WNV are found throughout the state.","{""disease"": ""West Nile virus"", ""location"": ""California"", ""time_window"": [2024, 2024]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,California,True,"{""disease"": ""West Nile Virus Disease"", ""location"": ""California"", ""date_or_period"": ""Since 2003""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_14d0fc5d0793""]","[""https://westnile.ca.gov/resources.php""]",,val_result_034,"[""outside_time_window""]"
