actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,0.0,claim_rec_src_search_67a72fbb98c5_002_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,0.0,United States of America,medium,0.5768,2024-08-31,2024-08-31,0.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_027,,,,| Human Cases/Fatal Cases | 0/0 | 0/0 |,llm_structured_output_extractor,California,,,False,False,False,False,True,False,event_027,,evidence states no confirmed or reported cases,zero_case_statement,West Nile virus,False,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-08-31,True,tavily,src_search_67a72fbb98c5,domain:placermosquito_org,rec_src_search_67a72fbb98c5_002,collection,West Nile Virus Information - Placer Mosquito Vector Control District,official_public_health_agency,official_public_health_agency,https://placermosquito.org/west-nile-information,unknown,California,chunk_src_search_67a72fbb98c5_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,0.0,claim_rec_src_search_67a72fbb98c5_002_deaths,pending_review,primary_case_claim_support,public_health_observation,0.85,deaths,case_count,,0.0,United States of America,medium,0.5768,2024-08-31,2024-08-31,0.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_027,,,,| Human Cases/Fatal Cases | 0/0 | 0/0 |,llm_structured_output_extractor,California,,,False,False,True,False,False,False,event_027,,record reports death count,death_record,West Nile virus,False,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-08-31,True,tavily,src_search_67a72fbb98c5,domain:placermosquito_org,rec_src_search_67a72fbb98c5_002,collection,West Nile Virus Information - Placer Mosquito Vector Control District,official_public_health_agency,official_public_health_agency,https://placermosquito.org/west-nile-information,unknown,California,chunk_src_search_67a72fbb98c5_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_29301bcfe202_001_deaths,active,insufficient_information,public_health_observation,0.85,deaths,death_count,,5.0,United States of America,high,0.5048,2024-08-31,2024-08-31,5.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_008,,2024-01-01,,"Two more people have died, in New Jersey, from West Nile virus, bringing the total number of U.S. deaths in 2024 to five—*Newsweek* maps show the extent of the outbreak.",llm_structured_output_extractor,United States,,,False,False,True,False,False,False,event_008,,record reports death count,death_record,West Nile virus,True,Centers for Disease Control and Prevention,CDC West Nile virus 2024 current season statistics cases deaths by state California,needs_human_review,fetch_only_after_review,needs_human_review,2024,False,tavily,src_search_29301bcfe202,domain:newsweek_com,rec_src_search_29301bcfe202_001,collection,West Nile Virus Maps Show Cases in US This Year - Newsweek,structured_database,unknown,https://www.newsweek.com/west-nile-virus-maps-show-cases-us-this-year-1947235,cumulative,,chunk_src_search_29301bcfe202_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,289.0,claim_rec_src_search_29301bcfe202_002_cases_unspecified,pending_review,insufficient_information,public_health_observation,0.85,cases_unspecified,case_count,,289.0,United States of America,high,0.5048,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_008,,2024-01-01,,"A total of 289 cases of the disease have been detected so far, according to the U.S. Centers for Disease Control and Prevention ([CDC](https://www.newsweek.com/topic/cdc)), across 33 different states, but what is West Nile virus, and who is most at risk?",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_008,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,Centers for Disease Control and Prevention,CDC West Nile virus 2024 current season statistics cases deaths by state California,needs_human_review,fetch_only_after_review,needs_human_review,2024,True,tavily,src_search_29301bcfe202,domain:newsweek_com,rec_src_search_29301bcfe202_002,collection,West Nile Virus Maps Show Cases in US This Year - Newsweek,structured_database,unknown,https://www.newsweek.com/west-nile-virus-maps-show-cases-us-this-year-1947235,cumulative,,chunk_src_search_29301bcfe202_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,13.0,claim_rec_src_search_c0d70a141aca_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,13.0,United States of America,excluded,0.5768,2024-08-31,2024-08-31,0.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_029,,,,"Kern County: At least 13 human cases, no deaths.",llm_structured_output_extractor,"Kern County, California",,,False,True,False,False,False,False,event_029,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,California West Nile virus arbobulletin week 33 34 35 2024 human cases deaths,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-08-31,False,tavily,src_search_c0d70a141aca,domain:theintersectionreports_org,rec_src_search_c0d70a141aca_001,excluded,"West Nile virus, spread by mosquitoes, claims a third life in the San ...",official_public_health_agency,official_public_health_agency,https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley,cumulative,"Kern County, California",chunk_src_search_c0d70a141aca_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,13.0,claim_rec_src_search_c0d70a141aca_002_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,13.0,United States of America,excluded,0.5768,2024-08-31,2024-08-31,1.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_035,,,,"Tulare County: At least 13 human cases, including one death.",llm_structured_output_extractor,"Tulare County, California",,,False,True,False,False,False,False,event_035,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,California West Nile virus arbobulletin week 33 34 35 2024 human cases deaths,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-08-31,True,tavily,src_search_c0d70a141aca,domain:theintersectionreports_org,rec_src_search_c0d70a141aca_002,excluded,"West Nile virus, spread by mosquitoes, claims a third life in the San ...",official_public_health_agency,official_public_health_agency,https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley,cumulative,"Tulare County, California",chunk_src_search_c0d70a141aca_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,2.0,claim_rec_src_search_b9348b953aaa_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,2.0,United States of America,excluded,0.5192,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_021,,,,A total of 2 new human cases of West Nile virus (WNV) disease were reported this week from 2 counties:,llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_021,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,"current week (week 32, 2024)",False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_001,excluded,Arbobulletin_2024_32.pdf,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,newly_reported,California,chunk_src_search_b9348b953aaa_005,[],"[""filled_metric_period_from_source_reporting_period""]"
,,2024,,,,112.0,claim_rec_src_search_b9348b953aaa_004_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,cumulative,,112.0,United States of America,excluded,0.5192,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_017,,,,"Fresno (1) and Yolo (1 ). In 2024, 11 2 human cases of WNV disease were reported from 23 counties.",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_017,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,Season-to-date through 2024 season to date,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_004,excluded,Arbobulletin_2024_32.pdf,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_006,[],"[""filled_metric_period_from_source_reporting_period"", ""inferred_cumulative_metric_from_column_label""]"
,,2024,,,,86.0,claim_rec_src_search_b9348b953aaa_005_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,cumulative,,86.0,United States of America,excluded,0.5192,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_001,,,,"Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_001,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,Season-to-date through 2024 season to date,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_005,excluded,Arbobulletin_2024_32.pdf,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_007,[],"[""filled_metric_period_from_source_reporting_period"", ""inferred_cumulative_metric_from_column_label""]"
,,2024,,,,,claim_rec_src_search_b9348b953aaa_006_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,cumulative,,11.0,United States of America,excluded,0.5192,2024-08-31,2024-08-31,11.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_017,,,,"Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the",llm_structured_output_extractor,California,,,False,False,True,False,False,False,event_017,,record reports death count,death_record,West Nile virus,True,,West Nile virus California August 2024 human cases neuroinvasive deaths county surveillance,extract_primary_case_claims,fetch_for_extraction,collection,Season-to-date through 2024 season to date,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_006,excluded,Arbobulletin_2024_32.pdf,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_007,[],"[""filled_metric_period_from_source_reporting_period"", ""inferred_cumulative_metric_from_column_label""]"
