actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_b15c469d896c_001_observation,active,primary_case_claim_support,public_health_observation,0.7,,outbreak_count,,,United States of America,high,0.8679,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_009,,,,"Each year, there are about 2,500 reported norovirus outbreaks in the United States. Norovirus outbreaks occur throughout the year but are most common from November to April.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_009,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,Centers for Disease Control and Prevention,CDC NORS National Outbreak Reporting System norovirus 2024 2025 outbreak data hospitalizations deaths setting,extract_primary_case_claims,fetch_for_extraction,collection,annual (approximate),False,tavily,src_search_b15c469d896c,publisher:centers_for_disease_control_and_prevention,rec_src_search_b15c469d896c_001,collection,Norovirus Outbreaks - CDC,structured_database,national_public_health_agency,https://www.cdc.gov/norovirus/outbreak-basics/index.html,annual,,chunk_src_search_b15c469d896c_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_8d7dfb3aeace_001_observation,active,primary_case_claim_support,public_health_observation,0.85,,outbreak_count,,,United States of America,high,0.8706,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_016,,,,"From August 1, 2024, through December 11, 2024, there were 495 norovirus outbreaks reported by the Norovirus Sentinel Testing and Tracking(NoroSTAT)-participating states, according to statistics from the CDC's current norovirus season webpage.1",llm_structured_output_extractor,United States (NoroSTAT-participating states),,,False,False,False,False,False,False,event_016,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,Centers for Disease Control and Prevention,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-12-11,False,tavily,src_search_8d7dfb3aeace,domain:contemporarypediatrics_com,rec_src_search_8d7dfb3aeace_001,collection,CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics,official_public_health_agency,official_public_health_agency,https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,cumulative,NoroSTAT-participating states,chunk_src_search_8d7dfb3aeace_010,[],"[""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_8d7dfb3aeace_002_observation,active,primary_case_claim_support,public_health_observation,0.85,,lab_positivity_percent,,,United States of America,high,0.8706,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_001,,,,"According to CaliciNet—a network of public health laboratories—the dominant strain of norovirus is currently GII.17, which made up 69.7% of the genotype distribution among norovirus outbreaks from September 1, 2024 to December 31, 2024.5,6",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_001,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,Centers for Disease Control and Prevention,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,2024-09-01 to 2024-12-31,False,tavily,src_search_8d7dfb3aeace,domain:contemporarypediatrics_com,rec_src_search_8d7dfb3aeace_002,collection,CDC: 2024-2025 seasonal norovirus outbreaks up from previous years | Contemporary Pediatrics,official_public_health_agency,official_public_health_agency,https://www.contemporarypediatrics.com/view/cdc-2025-seasonal-norovirus-outbreaks-up-previous-years,cumulative,,chunk_src_search_8d7dfb3aeace_014,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_e6c676751454_001_observation,active,primary_case_claim_support,public_health_observation,0.6,,outbreak_count,,,United States of America,high,0.8706,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_010,,,,"Each year, about 2,500 norovirus outbreaks are reported in the U.S., per the CDC. These can occur throughout the year but are most common between November and April.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_010,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,annual average,False,tavily,src_search_e6c676751454,domain:today_com,rec_src_search_e6c676751454_001,collection,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,official_public_health_agency,official_public_health_agency,https://www.today.com/health/disease/norovirus-2025-rcna185976,annual,,chunk_src_search_e6c676751454_024,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_e6c676751454_002_observation,active,primary_case_claim_support,public_health_observation,0.6,,cumulative,,,United States of America,high,0.8706,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_012,,,,"“The total number of outbreaks reported during this 2024–2025 season is above those reported during the same period during 2012–2020 and 2021-2024,” the CDC spokesperson says.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_012,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,2024-2025 season,False,tavily,src_search_e6c676751454,domain:today_com,rec_src_search_e6c676751454_002,collection,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,official_public_health_agency,official_public_health_agency,https://www.today.com/health/disease/norovirus-2025-rcna185976,cumulative,,chunk_src_search_e6c676751454_025,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_e6c676751454_003_observation,active,primary_case_claim_support,public_health_observation,0.6,,unknown,,,United States of America,high,0.8706,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_015,,,,"In fact, norovirus outbreaks in the U.S. in early January reached the highest level for this time of year since 2012, CDC data show.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_015,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,extract_primary_case_claims,fetch_for_extraction,collection,early January 2025,False,tavily,src_search_e6c676751454,domain:today_com,rec_src_search_e6c676751454_003,collection,Norovirus 2025: How To Stay Safe As Outbreaks Surge In US,official_public_health_agency,official_public_health_agency,https://www.today.com/health/disease/norovirus-2025-rcna185976,unknown,,chunk_src_search_e6c676751454_022,[],"[""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,890.0,claim_rec_src_search_c8f6e152147e_001_cases_unspecified,active,insufficient_information,public_health_observation,0.85,cases_unspecified,outbreak_count,,890.0,United States of America,high,0.8434,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_005,2024-12-31,2024-12-01,,"[Data](https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html) released earlier this week by the CDC show that 16 cruise ship norovirus outbreaks were reported in 2024, including 5 in December that sickened 890 passengers and crew members.",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_005,,record reports unspecified case count,unspecified_case_record,Norovirus,True,Centers for Disease Control and Prevention,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,needs_human_review,fetch_only_after_review,needs_human_review,December 2024,False,tavily,src_search_c8f6e152147e,publisher:cidrap,rec_src_search_c8f6e152147e_001,collection,"US norovirus outbreaks are up, CDC data show - CIDRAP",official_public_health_agency,academic_or_peer_reviewed_source,https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,subset,,chunk_src_search_c8f6e152147e_009,[],[]
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_c8f6e152147e_002_observation,active,insufficient_information,public_health_observation,0.85,,outbreak_count,,,United States of America,high,0.8434,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_002,2024-12-31,2024-01-01,,"[Data](https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html) released earlier this week by the CDC show that 16 cruise ship norovirus outbreaks were reported in 2024, including 5 in December that sickened 890 passengers and crew members.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_002,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,Centers for Disease Control and Prevention,CDC NoroSTAT norovirus surveillance 2024 2025 season United States cases outbreaks,needs_human_review,fetch_only_after_review,needs_human_review,2024,False,tavily,src_search_c8f6e152147e,publisher:cidrap,rec_src_search_c8f6e152147e_002,collection,"US norovirus outbreaks are up, CDC data show - CIDRAP",official_public_health_agency,academic_or_peer_reviewed_source,https://www.cidrap.umn.edu/norovirus/us-norovirus-outbreaks-are-cdc-data-show,annual,,chunk_src_search_c8f6e152147e_009,[],[]
,,2024-12,,,,,claim_rec_src_search_f0d04211eb5c_001_observation,active,insufficient_information,public_health_observation,0.6,,lab_positivity_percent,,,United States of America,high,0.8159,2025-02-28,2025-02-28,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_014,,,,"Recent CDC data shows a significant increase in norovirus cases across the US, with over 22% of tests returning positive as of December 2024.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_014,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,,CDC NORS norovirus outbreak reports United States December 2024 January February 2025 cases hospitalizations deaths,needs_human_review,fetch_only_after_review,needs_human_review,as of December 2024,False,tavily,src_search_f0d04211eb5c,domain:contagionlive_com,rec_src_search_f0d04211eb5c_001,collection,Entering Peak Norovirus Season as Cases Rise Across the US,structured_database,unknown,https://www.contagionlive.com/view/entering-peak-norovirus-season-as-cases-rise-across-the-us,unknown,,chunk_src_search_f0d04211eb5c_133,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_2acdad71566e_001_observation,active,insufficient_information,public_health_observation,0.6,,outbreak_count,,,United States of America,high,0.7951,2024-12-30,2024-12-30,,live_search_result,Norovirus Gastroenteritis,Norovirus Gastroenteritis,,event_006,2024-12-11,2024-12-05,,"There were [91 outbreaks](https://www.cdc.gov/norovirus/php/reporting/norostat-data-table.html) reported by state health departments during the week of Dec. 5, up from 69 in the last week of November, according to the CDC.",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_006,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Norovirus,False,Centers for Disease Control and Prevention,CDC NORS National Outbreak Reporting System norovirus 2024 2025 outbreak data hospitalizations deaths setting,needs_human_review,fetch_only_after_review,needs_human_review,"week of Dec. 5, 2024",False,tavily,src_search_2acdad71566e,domain:thehill_com,rec_src_search_2acdad71566e_001,collection,Norovirus outbreaks surging across the US: CDC data - The Hill,structured_database,unknown,https://thehill.com/policy/healthcare/5059834-norovirus-outbreaks-cdc,newly_reported,,chunk_src_search_2acdad71566e_009,[],"[""ambiguous_metric_column_semantics""]"
