edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_db2c83f622cd,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_8d7dfb3aeace,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_e6c676751454,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_c8beec2f9d8e,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_5b6be7bf0ee0,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_b9228859aa70,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_c8f6e152147e,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_0e2fe8a988c2,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_4b269588163c,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_ef797e11ce78,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_ec17d33f4f1d,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_55c0da96c417,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_b15c469d896c,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_6be93b583ffe,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_f0d04211eb5c,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_a299322dc6e3,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_2acdad71566e,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_111e84f03641,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_36288934cc79,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_24eac4e3a15f,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_fb7ff50094aa,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_9007d7feb130,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_c6fef11e96d5,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_c26402b49d76,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_d8b6d95ad369,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_1c70f6d6649a,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_c50a48405352,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_24d95efdd1f8,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_4674b69bd355,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_1f728543018e,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_8392b02e6a62,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_aedb884f5617,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_15ede2bf436b,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_e700d6d1adfc,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_1d3abbf4b356,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_db6dbac06000,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_a071e9cc22ac,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_db2c83f622cd,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_8d7dfb3aeace,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_e6c676751454,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_c8beec2f9d8e,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_5b6be7bf0ee0,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_b9228859aa70,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_c8f6e152147e,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_0e2fe8a988c2,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_4b269588163c,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_ef797e11ce78,source,document:doc_047,document,
fetched_as,document.source_id links to source,source:src_search_ec17d33f4f1d,source,document:doc_048,document,
fetched_as,document.source_id links to source,source:src_search_55c0da96c417,source,document:doc_049,document,
fetched_as,document.source_id links to source,source:src_search_b15c469d896c,source,document:doc_050,document,
fetched_as,document.source_id links to source,source:src_search_6be93b583ffe,source,document:doc_051,document,
fetched_as,document.source_id links to source,source:src_search_f0d04211eb5c,source,document:doc_052,document,
fetched_as,document.source_id links to source,source:src_search_a299322dc6e3,source,document:doc_053,document,
fetched_as,document.source_id links to source,source:src_search_2acdad71566e,source,document:doc_054,document,
fetched_as,document.source_id links to source,source:src_search_111e84f03641,source,document:doc_055,document,
fetched_as,document.source_id links to source,source:src_search_36288934cc79,source,document:doc_056,document,
fetched_as,document.source_id links to source,source:src_search_24eac4e3a15f,source,document:doc_057,document,
fetched_as,document.source_id links to source,source:src_search_fb7ff50094aa,source,document:doc_058,document,
fetched_as,document.source_id links to source,source:src_search_9007d7feb130,source,document:doc_059,document,
fetched_as,document.source_id links to source,source:src_search_c6fef11e96d5,source,document:doc_060,document,
fetched_as,document.source_id links to source,source:src_search_c26402b49d76,source,document:doc_061,document,
fetched_as,document.source_id links to source,source:src_search_d8b6d95ad369,source,document:doc_062,document,
fetched_as,document.source_id links to source,source:src_search_1c70f6d6649a,source,document:doc_063,document,
fetched_as,document.source_id links to source,source:src_search_c50a48405352,source,document:doc_064,document,
fetched_as,document.source_id links to source,source:src_search_24d95efdd1f8,source,document:doc_065,document,
fetched_as,document.source_id links to source,source:src_search_4674b69bd355,source,document:doc_066,document,
fetched_as,document.source_id links to source,source:src_search_1f728543018e,source,document:doc_067,document,
fetched_as,document.source_id links to source,source:src_search_8392b02e6a62,source,document:doc_068,document,
fetched_as,document.source_id links to source,source:src_search_aedb884f5617,source,document:doc_069,document,
fetched_as,document.source_id links to source,source:src_search_15ede2bf436b,source,document:doc_070,document,
fetched_as,document.source_id links to source,source:src_search_e700d6d1adfc,source,document:doc_071,document,
fetched_as,document.source_id links to source,source:src_search_1d3abbf4b356,source,document:doc_072,document,
fetched_as,document.source_id links to source,source:src_search_db6dbac06000,source,document:doc_073,document,
fetched_as,document.source_id links to source,source:src_search_a071e9cc22ac,source,document:doc_074,document,
fetched_as,document.source_id links to source,source:src_search_20774518b571,source,document:doc_075,document,
fetched_as,document.source_id links to source,source:src_search_e119c616592e,source,document:doc_076,document,
fetched_as,document.source_id links to source,source:src_search_3b4e2043d3a5,source,document:doc_077,document,
fetched_as,document.source_id links to source,source:src_search_926b43baa66c,source,document:doc_078,document,
fetched_as,document.source_id links to source,source:src_search_40830ab6aa00,source,document:doc_079,document,
fetched_as,document.source_id links to source,source:src_search_1508618df96d,source,document:doc_080,document,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_b15c469d896c_005,evidence_chunk,raw_record:rec_src_search_b15c469d896c_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_8d7dfb3aeace_010,evidence_chunk,raw_record:rec_src_search_8d7dfb3aeace_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_8d7dfb3aeace_014,evidence_chunk,raw_record:rec_src_search_8d7dfb3aeace_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_024,evidence_chunk,raw_record:rec_src_search_e6c676751454_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_025,evidence_chunk,raw_record:rec_src_search_e6c676751454_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_022,evidence_chunk,raw_record:rec_src_search_e6c676751454_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_c8f6e152147e_009,evidence_chunk,raw_record:rec_src_search_c8f6e152147e_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_c8f6e152147e_009,evidence_chunk,raw_record:rec_src_search_c8f6e152147e_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_f0d04211eb5c_133,evidence_chunk,raw_record:rec_src_search_f0d04211eb5c_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_009,evidence_chunk,raw_record:rec_src_search_2acdad71566e_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_009,evidence_chunk,raw_record:rec_src_search_2acdad71566e_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_010,evidence_chunk,raw_record:rec_src_search_2acdad71566e_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_012,evidence_chunk,raw_record:rec_src_search_2acdad71566e_004,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_fb7ff50094aa_021,evidence_chunk,raw_record:rec_src_search_fb7ff50094aa_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_fb7ff50094aa_021,evidence_chunk,raw_record:rec_src_search_fb7ff50094aa_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_fb7ff50094aa_021,evidence_chunk,raw_record:rec_src_search_fb7ff50094aa_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_9007d7feb130_008,evidence_chunk,raw_record:rec_src_search_9007d7feb130_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_b15c469d896c_005,evidence_chunk,validated_record:rec_src_search_b15c469d896c_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_8d7dfb3aeace_010,evidence_chunk,validated_record:rec_src_search_8d7dfb3aeace_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_8d7dfb3aeace_014,evidence_chunk,validated_record:rec_src_search_8d7dfb3aeace_002,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_024,evidence_chunk,validated_record:rec_src_search_e6c676751454_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_025,evidence_chunk,validated_record:rec_src_search_e6c676751454_002,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_e6c676751454_022,evidence_chunk,validated_record:rec_src_search_e6c676751454_003,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_c8f6e152147e_009,evidence_chunk,validated_record:rec_src_search_c8f6e152147e_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_c8f6e152147e_009,evidence_chunk,validated_record:rec_src_search_c8f6e152147e_002,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_f0d04211eb5c_133,evidence_chunk,validated_record:rec_src_search_f0d04211eb5c_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_009,evidence_chunk,validated_record:rec_src_search_2acdad71566e_001,validated_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_2acdad71566e_009,evidence_chunk,validated_record:rec_src_search_2acdad71566e_002,validated_record,
