actual_publisher,actual_publisher_confidence,actual_publisher_normalized,aggregation_or_syndication_reason,assessed_at,authority_bucket,canonical_url,claim_support_role,credibility_level_llm,credibility_rationale,discovery_method,disease_relevance_assessment,domain,errors,geography_relevance_assessment,independence_confidence,jurisdiction_scope,likely_contains_extractable_data,likely_syndicated_or_aggregated,llm_model,llm_provider,llm_used,method,page_author_or_org_candidate,page_function,page_identity_evidence,page_identity_excerpt,page_publisher_candidate,page_site_name_candidate,page_title,post_fetch_identity_assessed,post_fetch_identity_confidence,primary_vs_secondary,publisher_evidence_fields,publisher_evidence_quotes,publisher_source,publisher_type,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,search_provider,search_provider_result_source,search_rank,search_result_source_raw,snippet,source_id,source_identity_llm_skipped_reason,source_identity_status,source_independence_group,source_owner,source_owner_confidence,source_type_confidence,source_type_evidence,source_type_final,source_type_llm,source_type_warning_flags,source_url,supports_context_only,supports_exposure_monitoring_claims,supports_primary_case_claims,supports_zero_case_claims,task_relevance_assessment,time_relevance_assessment,title,trust_basis,upstream_source_mentions,warnings
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/legionnaires-disease-new-york-city-2025,primary_case_claim_support,,,live_search_result,not_assessed,respiratory-therapy.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[![Respiratory Therapy](https://respiratory-therapy.com/wp-content/uploads/2023/11/resp-therapy-logo.png)](https://respiratory-therapy.com/) 

* [Disorders & Diseases](https://respiratory-therapy.com/disorders-diseases/)
  + [Chronic Pulmonary Disorders](https://respiratory-therapy.com/disorders-diseases/chronic-pulmonary-disorders/)
  + [Infectious Diseases](https://respiratory-therapy.com/disorders-diseases/infectious-diseases/)
  + [Critical Care](https://respiratory-therapy.com/disorders-diseases/critical-care/)
  + [Cardiopulmonary & Thoracic](https://respiratory-therapy.com/disorders-dis",,,Legionnaires' Disease Outbreak in New York City | RT,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,1,Tavily,,src_search_c6833da45d7d,direct_target_official_fast_path_skips_source_identity,assessed,domain:respiratory_therapy_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/legionnaires-disease-new-york-city-2025,False,False,True,False,possibly_relevant,not_assessed,Legionnaires' Disease Outbreak in New York City | RT,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,primary_case_claim_support,,,live_search_result,not_assessed,goldbergsegalla.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to content](#main) 

![Goldberg Segalla logo](https://www.goldbergsegalla.com/app/uploads/2026/04/GS-Anniversary-Tagline-Horizonal-Logo-gray-and-red-1-1.svg)

![](https://www.goldbergsegalla.com/app/uploads/2023/07/NewsKnowledge_HEAD.jpg) 

# News & Knowledge

2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation

[Home](/) News & Knowledge

Knowledge

# 2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation

August 27, 2025

[Andrew J. Scholz](https://www.goldbergsegalla.com/our-team/andrew-j-scholz",,,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,2,Tavily,,src_search_b74bccc017c5,direct_target_official_fast_path_skips_source_identity,assessed,domain:goldbergsegalla_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.goldbergsegalla.com/news-and-knowledge/knowledge/2025-legionnaires-disease-community-cluster-in-new-york-city-ongoing-public-health-investigation,False,False,True,False,possibly_relevant,not_assessed,2025 Legionnaires’ Disease Community Cluster in New York City: Ongoing Public Health Investigation - Goldberg Segalla,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease,primary_case_claim_support,,,live_search_result,not_assessed,infectiousdiseaseadvisor.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![infectiousdiseaseadvisor logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/logos/infectiousdiseaseadvisor.svg)
![HMN logo](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/HMN-logo-1line.svg)

# Three Deaths, 67 People in NYC Diagnosed With Legionnaires’ Disease

![](https://www.infectiousdiseaseadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/key-point_icon.svg)

HealthDay News — A Legionnaires’ disease outbreak in New York City has infected 67 people and caused three deaths, health officials say.

The",,,"Three Deaths, 67 People in NYC Diagnosed With Legionnaires' Disease - Infectious Disease Advisor",True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,3,Tavily,,src_search_ee3c4e1dc1cd,direct_target_official_fast_path_skips_source_identity,assessed,domain:infectiousdiseaseadvisor_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease,False,False,True,False,possibly_relevant,not_assessed,"Three Deaths, 67 People in NYC Diagnosed With Legionnaires' Disease - Infectious Disease Advisor",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,primary_case_claim_support,,,live_search_result,not_assessed,powershealth.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"[Skip to Main Content](#mainContent)

* [Home](https://www.powershealth.org/)
* [About Us](https://www.powershealth.org/about-us)
* [Newsroom](https://www.powershealth.org/about-us/newsroom)
* [Health Library](https://www.powershealth.org/about-us/newsroom/health-library)
* News Article

[Doctors](https://www.powershealth.org/find-a-doctor)   [Locations](https://www.powershealth.org/locations)

Share

# NYC Legionnaires' Outbreak: 6 Deaths, 112 Cases

News Article

8/25/2025

![](/-/media/images/import/health day/image_olb9cd4q.ashx?h=801&w=1200&la=en&hash=F312C283006554B0695AA731A91301EE) 

A",,,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,4,Tavily,,src_search_9d8411eba09d,direct_target_official_fast_path_skips_source_identity,assessed,domain:powershealth_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,False,False,True,False,possibly_relevant,not_assessed,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.nyshcp.org/ny-state-ep-alert-8-15-25-legionnaires-disease-update,primary_case_claim_support,,,live_search_result,not_assessed,nyshcp.org,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,official_alert,[],"![](https://nyshcp.org/wp-content/uploads/2024/04/facebook.png)
![](https://nyshcp.org/wp-content/uploads/2024/04/twitter.png)
![](https://nyshcp.org/wp-content/uploads/2024/04/linkedin.png)
![](https://nyshcp.org/wp-content/uploads/2024/04/HCP-400px.png ""HCP-400px"")

Search …


Search

Close

![](https://nyshcp.org/wp-content/uploads/2024/04/search.png ""search"")

# NY State EP Alert 8.15.25 | Legionnaires’ Disease Update

by [Dena Collins](https://www.nyshcp.org/author/hcpdena/ ""Posts by Dena Collins"") | Aug 15, 2025 | [EP Alerts](https://www.nyshcp.org/category/ep-alerts/)

### NY State EP A",,,NY State EP Alert 8.15.25 | Legionnaires' Disease Update | NYS Health Care Providers,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,5,Tavily,,src_search_b4917c664acb,direct_target_official_fast_path_skips_source_identity,assessed,domain:nyshcp_org,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.nyshcp.org/ny-state-ep-alert-8-15-25-legionnaires-disease-update,False,False,True,False,possibly_relevant,not_assessed,NY State EP Alert 8.15.25 | Legionnaires' Disease Update | NYS Health Care Providers,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,social_media,https://www.instagram.com/reel/DNi2PIaPBLm?hl=en,insufficient_information,,,live_search_result,not_assessed,instagram.com,[],not_assessed,medium,non_authority,False,False,,,False,source_identity_publisher_credibility_v1,,social_post,[],"[Log In](/accounts/login/?next=%2Freel%2FDNi2PIaPBLm%3Fhl%3Den&source=desktop_nav)

[Sign Up](/accounts/emailsignup/)

![abcnews's profile picture](https://scontent.cdninstagram.com/v/t51.2885-19/321385570_208837874852003_5056393912052296230_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=1&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy40MDAuQzMifQ%3D%3D&_nc_ohc=VBstf3Om1CoQ7kNvwHt0VAl&_nc_oc=AdoVKLLfBNbFdPkbpTVmMcNgizkuL2ec909QexXo1d8JzOalx8KSZU8HagoX6UqF8eY&_nc_zt=24&_nc_ht=scontent.cdninstagram.com&_nc_ss=7ea8c&oh=00_Af8Daks-DQnQwu_WmtvCeebxLrFr9Ur5dZLcPrEOgWQY0w&oe=6A422DF3)
",,,Instagram,True,low,social,[],[],,social_media,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,needs_human_review,fetch_only_after_review,needs_human_review,tavily,Tavily,6,Tavily,,src_search_842f34417a13,direct_target_official_fast_path_skips_source_identity,assessed,domain:instagram_com,,low,high,"[""domain""]",social_media,,[],https://www.instagram.com/reel/DNi2PIaPBLm?hl=en,True,False,False,False,possibly_relevant,not_assessed,Instagram,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,primary_case_claim_support,,,live_search_result,not_assessed,vaccineadvisor.com,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![vaccineadvisor logo](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/logos/vaccineadvisor.svg)
![HMN logo](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/HMN-logo-1line.svg)
![facebook share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/facebook-social-share.svg)
![twitter share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/twitter-social-share-x.svg)
![linkedin share](https://www.vaccineadvisor.com/wp-content/themes/hm-advisor-child/assets/svg/linkedin-social-share.svg)",,,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened - Vaccine Advisor",True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,7,Tavily,,src_search_743df961a25b,direct_target_official_fast_path_skips_source_identity,assessed,domain:vaccineadvisor_com,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,False,False,True,False,possibly_relevant,not_assessed,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened - Vaccine Advisor",Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,,2026-06-25T20:02:47+00:00,official_authority,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-third-legionnaires-cluster-update.page,primary_case_claim_support,,,live_search_result,not_assessed,nyc.gov,[],not_assessed,medium,official_unspecified,True,False,,,False,source_identity_publisher_credibility_v1,,unknown,[],"![NYC](/assets/home/images/global/nyc_white.png)
![](/assets/home/images/global/upper-header-divider.gif)
![](/assets/home/images/global/upper-header-divider.gif)
![NYC Health](/assets/doh/images/content/header/logo.png)
![Language](/assets/home/images/global/language.gif)

## Promoting and Protecting the City's Health

![Print icon](/assets/home/images/global/print.png)

# New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease in Central Harlem

*Ninety-two cases have been identified in the area; three deaths have occurred*

Twelve cooling towers have te",,,New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease - NYC Health,True,low,primary_or_authoritative,[],[],,official_public_health_agency,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,tavily,Tavily,8,Tavily,,src_search_5b7e6dfb326c,direct_target_official_fast_path_skips_source_identity,assessed,domain:nyc_gov,,low,low,"[""source_type""]",official_public_health_agency,,[],https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-third-legionnaires-cluster-update.page,False,False,True,False,possibly_relevant,not_assessed,New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease - NYC Health,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,News or aggregator source may summarize upstream official reporting,2026-06-25T20:02:47+00:00,secondary_media,https://www.healthbeat.org/newyork/2025/08/29/legionnaires-disease-outbreak-source,corroboration_support,,,live_search_result,not_assessed,healthbeat.org,[],not_assessed,medium,non_authority,True,True,,,False,source_identity_publisher_credibility_v1,,secondary_report,[],,,,,False,,secondary,[],[],,news_media,Legionnaires disease NYC outbreak August 2025 cooling tower cases hospitalizations,extract_public_health_observations,fetch_for_extraction,collection_support,tavily,Tavily,1,Tavily,,src_search_8ca119dddbda,direct_target_official_fast_path_skips_source_identity,assessed,domain:healthbeat_org,,low,medium,"[""source_type""]",news_media,,[],https://www.healthbeat.org/newyork/2025/08/29/legionnaires-disease-outbreak-source,False,False,False,False,possibly_relevant,not_assessed,Two NYC buildings were sources of Legionnaires’ disease outbreak in Harlem - Healthbeat,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
,low,,News or aggregator source may summarize upstream official reporting,2026-06-25T20:02:47+00:00,secondary_media,https://www.theguardian.com/us-news/2025/aug/30/new-york-city-harlem-legionnaires-disease-outbreak-over,corroboration_support,,,live_search_result,not_assessed,theguardian.com,[],not_assessed,medium,non_authority,True,True,,,False,source_identity_publisher_credibility_v1,,secondary_report,[],,,,,False,,secondary,[],[],,news_media,Legionnaires disease NYC outbreak August 2025 cooling tower cases hospitalizations,extract_public_health_observations,fetch_for_extraction,collection_support,tavily,Tavily,2,Tavily,,src_search_c480a6694da2,direct_target_official_fast_path_skips_source_identity,assessed,domain:theguardian_com,,low,medium,"[""source_type""]",news_media,,[],https://www.theguardian.com/us-news/2025/aug/30/new-york-city-harlem-legionnaires-disease-outbreak-over,False,False,False,False,possibly_relevant,not_assessed,New York City declares Harlem legionnaire's disease outbreak over,Search metadata only,[],"[""search_provider_not_publisher"", ""publisher_from_search_metadata_unverified"", ""actual_publisher_unknown"", ""direct_target_official_fast_path_skips_source_identity""]"
