actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,2025-08-25,,,,112.0,claim_rec_src_search_9d8411eba09d_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,112.0,United States of America,high,0.8823,2025-08-25,2025-08-25,6.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,,,"MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed.",llm_structured_output_extractor,"Harlem, New York City",,,False,True,False,False,False,False,event_005,,record reports unspecified case count,unspecified_case_record,LD,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,as of 2025-08-25,False,tavily,src_search_9d8411eba09d,domain:powershealth_org,rec_src_search_9d8411eba09d_001,collection,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,official_public_health_agency,official_public_health_agency,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,cumulative,"New York City, New York",chunk_src_search_9d8411eba09d_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-25,,,,112.0,claim_rec_src_search_9d8411eba09d_001_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,case_count,,6.0,United States of America,high,0.8823,2025-08-25,2025-08-25,6.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,,,"MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed.",llm_structured_output_extractor,"Harlem, New York City",,,False,False,True,False,False,False,event_005,,record reports death count,death_record,LD,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,as of 2025-08-25,False,tavily,src_search_9d8411eba09d,domain:powershealth_org,rec_src_search_9d8411eba09d_001,collection,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,official_public_health_agency,official_public_health_agency,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,cumulative,"New York City, New York",chunk_src_search_9d8411eba09d_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-08-25,,,,,claim_rec_src_search_9d8411eba09d_002_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,6.0,United States of America,high,0.8823,2025-08-25,2025-08-25,6.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,,,"MONDAY, Aug. 25, 2025 (HealthDay News) — New York City health officials confirmed a sixth death linked to a Legionnaires’ disease outbreak in Harlem where 112 people have now been diagnosed.",llm_structured_output_extractor,"Harlem, New York City",,,False,False,True,False,False,False,event_005,,record reports death count,death_record,LD,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,as of 2025-08-25,False,tavily,src_search_9d8411eba09d,domain:powershealth_org,rec_src_search_9d8411eba09d_002,collection,NYC Legionnaires Outbreak 6 Deaths 112 Cases - Powers Health,official_public_health_agency,official_public_health_agency,https://www.powershealth.org/about-us/newsroom/health-library/2025/08/25/nyc-legionnaires-outbreak-6-deaths-112-cases,cumulative,"New York City, New York",chunk_src_search_9d8411eba09d_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,67.0,claim_rec_src_search_ee3c4e1dc1cd_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,67.0,United States of America,high,0.8639,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_015,,,,"HealthDay News — A Legionnaires’ disease outbreak in New York City has infected 67 people and caused three deaths, health officials say.",llm_structured_output_extractor,New York City,,,False,True,False,False,False,False,event_015,,record reports unspecified case count,unspecified_case_record,LEG,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_ee3c4e1dc1cd,domain:infectiousdiseaseadvisor_com,rec_src_search_ee3c4e1dc1cd_001,collection,"Three Deaths, 67 People in NYC Diagnosed With Legionnaires' Disease - Infectious Disease Advisor",official_public_health_agency,official_public_health_agency,https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease,cumulative,New York City,chunk_src_search_ee3c4e1dc1cd_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_ee3c4e1dc1cd_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,3.0,United States of America,high,0.8639,2025-08-31,2025-08-31,3.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_015,,,,"HealthDay News — A Legionnaires’ disease outbreak in New York City has infected 67 people and caused three deaths, health officials say.",llm_structured_output_extractor,New York City,,,False,False,True,False,False,False,event_015,,record reports death count,death_record,LEG,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_ee3c4e1dc1cd,domain:infectiousdiseaseadvisor_com,rec_src_search_ee3c4e1dc1cd_002,collection,"Three Deaths, 67 People in NYC Diagnosed With Legionnaires' Disease - Infectious Disease Advisor",official_public_health_agency,official_public_health_agency,https://www.infectiousdiseaseadvisor.com/news/three-deaths-67-people-in-nyc-diagnosed-with-legionnaires-disease,cumulative,New York City,chunk_src_search_ee3c4e1dc1cd_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_5b7e6dfb326c_001_observation,active,primary_case_claim_support,public_health_observation,0.65,,environmental_positive_count,,,United States of America,high,0.6823,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_007,,,,Eleven of the twelve cooling towers have been remediated; the final tower is required to be completed by August 15,llm_structured_output_extractor,New York City,,,False,False,False,False,False,False,event_007,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Legionella bacteria,False,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_5b7e6dfb326c,domain:nyc_gov,rec_src_search_5b7e6dfb326c_001,collection,New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease - NYC Health,official_public_health_agency,official_public_health_agency,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-third-legionnaires-cluster-update.page,cumulative,New York City,chunk_src_search_5b7e6dfb326c_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_5b7e6dfb326c_002_observation,active,primary_case_claim_support,public_health_observation,0.65,,other,,,United States of America,high,0.6823,2025-08-31,2025-08-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_007,,,,Eleven of the twelve cooling towers have been remediated; the final tower is required to be completed by August 15,llm_structured_output_extractor,New York City,,,False,False,False,False,False,False,event_007,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,Legionella bacteria,False,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_5b7e6dfb326c,domain:nyc_gov,rec_src_search_5b7e6dfb326c_002,collection,New York City Health Department Provides Update on Community Cluster of Legionnaires' Disease - NYC Health,official_public_health_agency,official_public_health_agency,https://www.nyc.gov/site/doh/about/press/pr2025/nyc-health-provides-third-legionnaires-cluster-update.page,cumulative,New York City,chunk_src_search_5b7e6dfb326c_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,101.0,claim_rec_src_search_743df961a25b_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,101.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_014,,2025-07-25,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,True,False,False,False,False,event_014,,record reports unspecified case count,unspecified_case_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_001,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened - Vaccine Advisor",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,101.0,claim_rec_src_search_743df961a25b_001_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,case_count,,4.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_014,,2025-07-25,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,False,True,False,False,False,event_014,,record reports death count,death_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_001,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened - Vaccine Advisor",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_743df961a25b_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,4.0,United States of America,high,0.6639,2025-08-31,2025-08-31,4.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_014,,2025-07-25,,"HealthDay News — A Legionnaires’ disease outbreak in Central Harlem has now caused four deaths and sickened 101 people, New York City health officials confirmed.",llm_structured_output_extractor,"Central Harlem, New York City",,,False,False,True,False,False,False,event_014,,record reports death count,death_record,Legionella pneumophila,True,,Legionnaires disease New York City August 2025 cases deaths outbreak DOHMH,extract_primary_case_claims,fetch_for_extraction,collection,2025-08-01 to 2025-08-31,False,tavily,src_search_743df961a25b,domain:vaccineadvisor_com,rec_src_search_743df961a25b_002,collection,"NYC Legionnaires' Outbreak: Fourth Death Confirmed, 101 Sickened - Vaccine Advisor",official_public_health_agency,official_public_health_agency,https://www.vaccineadvisor.com/news/nyc-legionnaires-outbreak-fourth-death-confirmed-101-sickened,cumulative,New York City,chunk_src_search_743df961a25b_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
