actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,0.0,claim_rec_src_search_ccc444806280_001_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,0.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_021,,,,Week 0 0 0,llm_structured_output_extractor,California,,,False,False,False,False,True,False,event_021,,evidence states no confirmed or reported cases,zero_case_statement,West Nile virus,False,,California Department of Public Health West Nile virus 2024 cases deaths surveillance report,extract_primary_case_claims,fetch_for_extraction,collection,week,True,tavily,src_search_ccc444806280,domain:westnile_ca_gov,rec_src_search_ccc444806280_001,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=4980,newly_reported,California,chunk_src_search_ccc444806280_015,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,0.0,claim_rec_src_search_ccc444806280_002_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,0.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_016,,,,YTD 0 0 0,llm_structured_output_extractor,California,,,False,False,False,False,True,False,event_016,,evidence states no confirmed or reported cases,zero_case_statement,West Nile virus,False,,California Department of Public Health West Nile virus 2024 cases deaths surveillance report,extract_primary_case_claims,fetch_for_extraction,collection,year-to-date,True,tavily,src_search_ccc444806280,domain:westnile_ca_gov,rec_src_search_ccc444806280_002,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=4980,cumulative,California,chunk_src_search_ccc444806280_016,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,2.0,claim_rec_src_search_b9348b953aaa_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,2.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_018,,,,A total of 2 new human cases of West Nile virus (WNV) disease were reported this week from 2 counties:,llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_018,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,current week,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_001,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,newly_reported,California,chunk_src_search_b9348b953aaa_005,[],"[""filled_metric_period_from_source_reporting_period""]"
,,,,,,1.0,claim_rec_src_search_b9348b953aaa_002_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,1.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_024,,,,"Fresno (1) and Yolo (1 ). In 2024, 11 2 human cases of WNV disease were reported from 23 counties.",llm_structured_output_extractor,"Fresno County, California",,,False,True,False,False,False,False,event_024,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,current week,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_002,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,newly_reported,"Fresno, California",chunk_src_search_b9348b953aaa_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,1.0,claim_rec_src_search_b9348b953aaa_003_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,1.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_028,,,,"Fresno (1) and Yolo (1 ). In 2024, 11 2 human cases of WNV disease were reported from 23 counties.",llm_structured_output_extractor,"Yolo County, California",,,False,True,False,False,False,False,event_028,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,current week,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_003,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,newly_reported,"Yolo, California",chunk_src_search_b9348b953aaa_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,112.0,claim_rec_src_search_b9348b953aaa_004_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,112.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_013,,,,"Fresno (1) and Yolo (1 ). In 2024, 11 2 human cases of WNV disease were reported from 23 counties.",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_013,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_004,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,86.0,claim_rec_src_search_b9348b953aaa_005_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,86.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_001,,,,"Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_001,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_005,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,subset,California,chunk_src_search_b9348b953aaa_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_b9348b953aaa_006_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,11.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,11.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_022,,,,"Of the 112 cases, 86 (77%) had neuroinvasive disease and 11 (10%) were fatal. The median age of the",llm_structured_output_extractor,California,,,False,False,True,False,False,False,event_022,,record reports death count,death_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_006,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,subset,California,chunk_src_search_b9348b953aaa_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,16.0,claim_rec_src_search_b9348b953aaa_007_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,16.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_013,,,,"ranged from May 28 to October 7. In addition to the 11 2 cases of WNV disease, 16 asymptomatic WNV -",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_013,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_007,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_009,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,324.0,claim_rec_src_search_b9348b953aaa_008_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.2,cases_unspecified,case_count,,324.0,United States of America,excluded,0.5719,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_012,,,,No. Human Cases 324 112,llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_012,,record reports unspecified case count,unspecified_case_record,WNV,True,,westnile.ca.gov 2024 weekly update reports August human cases deaths California,extract_primary_case_claims,fetch_for_extraction,collection,2024-08-01 to 2024-08-31,False,tavily,src_search_b9348b953aaa,domain:westnile_ca_gov,rec_src_search_b9348b953aaa_008,excluded,[PDF] WEEKLY UPDATE - California West Nile Virus,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/download?download_id=5072,cumulative,California,chunk_src_search_b9348b953aaa_023,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
