actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2024-01-01-2024-03-31,Dengue,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,Brazil,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_001 - Brazil Tries New Vaccine As 'Exponential' Rise In Dengue...,Brazil Tries New Vaccine As 'Exponential' Rise In Dengue Cases Plagues The Americas - Health Policy Watch,https://healthpolicy-watch.news/brazil-tries-new-vaccine-as-exponential-rise-in-dengue-cases-plagues-the-americas,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_5fd7d33501e8_001_cases_suspected; claim_rec_src_search_5fd7d33501e8_001_deaths; claim_rec_src_search_5fd7d33501e8_003_observation; claim_rec_src_search_6dae7aeadbda_002_deaths; claim_rec_src_search_df7c57966665_001_cases_unspecified; claim_rec_src_search_5fd7d33501e8_002_cases_unspecified; claim_rec_src_search_6dae7aeadbda_001_cases_probable; claim_rec_src_search_6dae7aeadbda_003_cases_unspecified; src_search_df7c57966665; src_search_5fd7d33501e8; src_search_6dae7aeadbda; corr_event_001,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"Monit oramento dos casos de dengue até a Semana # Epidemiológica 52 de 2024 no Distrito Federal ## Apresentação Este Boletim Epidemiológico é produzido semanalmente pela Gerência de Vigilância das Doenças Transmissíveis (GVDT), da Diretoria de Vigilância E pidemiológica (DIVEP), da Subsecretaria de Vigilância à Saúde (SVS), da Secretaria de Estado de Saúde do Distrito Federal (SES -DF) – GVDT/DIVEP/SVS/SES - DF. As informações sobre dengue apresentadas neste Boletim são referentes às notificações no Distrito Fe deral (DF), ocorridas no ano de 2023 e até Semana Epidemiológica (SE) 51 de 2024 (31/12/2023 a 28/12 /2024 ), disponíveis no Sistema de Informação de Agravos de Notificação - SINAN Online. Todos os dados deste Boletim são parciais e provisórios, sujeitos à a lteração , podendo oc...",possible_primary_case_evidence,duplicate_event_clustering,Distrito Federal,P0_critical,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_009 - [PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,[PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_9baddae323c5_004; event_009,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"Monit oramento dos casos de dengue até a Semana # Epidemiológica 52 de 2024 no Distrito Federal ## Apresentação Este Boletim Epidemiológico é produzido semanalmente pela Gerência de Vigilância das Doenças Transmissíveis (GVDT), da Diretoria de Vigilância E pidemiológica (DIVEP), da Subsecretaria de Vigilância à Saúde (SVS), da Secretaria de Estado de Saúde do Distrito Federal (SES -DF) – GVDT/DIVEP/SVS/SES - DF. As informações sobre dengue apresentadas neste Boletim são referentes às notificações no Distrito Fe deral (DF), ocorridas no ano de 2023 e até Semana Epidemiológica (SE) 51 de 2024 (31/12/2023 a 28/12 /2024 ), disponíveis no Sistema de Informação de Agravos de Notificação - SINAN Online. Todos os dados deste Boletim são parciais e provisórios, sujeitos à a lteração , podendo oc...",possible_primary_case_evidence,duplicate_event_clustering,Distrito Federal,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_010 - [PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,[PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_9baddae323c5_001; rec_src_search_9baddae323c5_002; event_010,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"Monit oramento dos casos de dengue até a Semana # Epidemiológica 52 de 2024 no Distrito Federal ## Apresentação Este Boletim Epidemiológico é produzido semanalmente pela Gerência de Vigilância das Doenças Transmissíveis (GVDT), da Diretoria de Vigilância E pidemiológica (DIVEP), da Subsecretaria de Vigilância à Saúde (SVS), da Secretaria de Estado de Saúde do Distrito Federal (SES -DF) – GVDT/DIVEP/SVS/SES - DF. As informações sobre dengue apresentadas neste Boletim são referentes às notificações no Distrito Fe deral (DF), ocorridas no ano de 2023 e até Semana Epidemiológica (SE) 51 de 2024 (31/12/2023 a 28/12 /2024 ), disponíveis no Sistema de Informação de Agravos de Notificação - SINAN Online. Todos os dados deste Boletim são parciais e provisórios, sujeitos à a lteração , podendo oc...",possible_primary_case_evidence,duplicate_event_clustering,Distrito Federal,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_011 - [PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,[PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_9baddae323c5_003; event_011,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"![](https://www.scielo.br/media/images/rsbmt_logo.png) # Open-access The greatest Dengue epidemic in Brazil: Surveillance, Prevention, and Control ![Open-access](https://ds.scielo.org/img/logo-open-access.svg) ## ABSTRACT In this review, we discuss dengue surveillance, prevention, and control measures in Brazil. Data on dengue epidemics between 2000 and 2024 indicates an increase in the number of dengue cases and deaths. Global climate change is a key driver of this growth. Over the past 25 years, nearly 18 million Brazilians have been infected with the dengue virus, and the highest number of dengue cases in Brazil's history is projected to reach 2024. Dengue mortality in Brazil increased geographically over time. As of June, there were approximately 6 million probable cases and 4,000 c...",validation_conflict_review,anomaly,Brazil,P0_critical,5,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,"validation conflict review - review_anomaly_anom_013 - Brasil - The greatest Dengue epidemic in Brazil: Surveillance, Prevention, and Con...","Brasil - The greatest Dengue epidemic in Brazil: Surveillance, Prevention, and Control The greatest Dengue epidemic in Brazil: Surveillance, Prevention, and Control",https://www.scielo.br/j/rsbmt/a/gTT8ZZVR8g4Xx9xQPyp4GBz?format=html&lang=en,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_6dae7aeadbda; event_004; anom_013; val_result_022,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"Monit oramento dos casos de dengue até a Semana # Epidemiológica 52 de 2024 no Distrito Federal ## Apresentação Este Boletim Epidemiológico é produzido semanalmente pela Gerência de Vigilância das Doenças Transmissíveis (GVDT), da Diretoria de Vigilância E pidemiológica (DIVEP), da Subsecretaria de Vigilância à Saúde (SVS), da Secretaria de Estado de Saúde do Distrito Federal (SES -DF) – GVDT/DIVEP/SVS/SES - DF. As informações sobre dengue apresentadas neste Boletim são referentes às notificações no Distrito Fe deral (DF), ocorridas no ano de 2023 e até Semana Epidemiológica (SE) 51 de 2024 (31/12/2023 a 28/12 /2024 ), disponíveis no Sistema de Informação de Agravos de Notificação - SINAN Online. Todos os dados deste Boletim são parciais e provisórios, sujeitos à a lteração , podendo oc...",validation_conflict_review,anomaly,Brazil,P0_critical,6,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,validation conflict review - review_anomaly_anom_014 - [PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,[PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_9baddae323c5; event_010; anom_014; val_result_029,anomaly,This review item requires human inspection before it should affect downstream interpretation.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"![](https://www.apm.org.br/wp-content/uploads/logo-apm-95-anos.png) ##### Pesquisa # Ministério da Saúde divulga novos dados da dengue e demais arboviroses Boletim Epidemiológico demonstra que impactos do El Niño contribuíram para alta no número de casos ![](https://www.apm.org.br/wp-content/uploads/aedes-3.jpg) A nova publicação do [Boletim Epidemiológico](https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2024/boletim-epidemiologico-volume-55-no-11.pdf/view) da Secretaria de Vigilância em Saúde e Ambiente – órgão parte do Ministério da Saúde – traz informações sobre os casos de dengue, Chikungunya e Zika registrados entre 2023 e 2024. Segundo o documento, os impactos climáticos ocasionados pelo El Niño contribuíram para o aumento no número...",claim_corroboration_review,anomaly,Brazil,P0_critical,7,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_007 - Ministério da Saúde divulga novos dados da dengue e demais arboviroses - APM,Ministério da Saúde divulga novos dados da dengue e demais arboviroses - APM,https://www.apm.org.br/ministerio-da-saude-divulga-novos-dados-da-dengue-e-demais-arboviroses,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_5fd7d33501e8; event_005; anom_007; val_result_003,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"Monit oramento dos casos de dengue até a Semana # Epidemiológica 52 de 2024 no Distrito Federal ## Apresentação Este Boletim Epidemiológico é produzido semanalmente pela Gerência de Vigilância das Doenças Transmissíveis (GVDT), da Diretoria de Vigilância E pidemiológica (DIVEP), da Subsecretaria de Vigilância à Saúde (SVS), da Secretaria de Estado de Saúde do Distrito Federal (SES -DF) – GVDT/DIVEP/SVS/SES - DF. As informações sobre dengue apresentadas neste Boletim são referentes às notificações no Distrito Fe deral (DF), ocorridas no ano de 2023 e até Semana Epidemiológica (SE) 51 de 2024 (31/12/2023 a 28/12 /2024 ), disponíveis no Sistema de Informação de Agravos de Notificação - SINAN Online. Todos os dados deste Boletim são parciais e provisórios, sujeitos à a lteração , podendo oc...",claim_corroboration_review,anomaly,Brazil,P0_critical,8,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_008 - [PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,[PDF] Boletim Epidemiológico - Secretaria de Saúde do Distrito Federal,https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_9baddae323c5; event_009; anom_008; val_result_009,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"INFORME EPIDEMIOLÓGICO DENGUE, CHIKUNGUNYA E ZIKA NÚCLEO HOSPITALAR DE EPIDEMIOLOGIA/HNSC-HCC 1 INTRODUÇÃO A Dengue, Chikungunya e Zika são arboviroses urbanas transmitidas pelo mosquito Aedes aegypti. A dengue é a arbovirose com maior relevância pela possibilidade de causar surtos, podendo acometer muitos indivíduos e criar uma grande demanda de atendimentos nos serviços de saúde. No Rio Grande do Sul até 03/07/2025 foram notificados 117.678 casos suspeitos de dengue, 35.143 foram confirmados (28.905 autóctones, 27.511 em investigação). Houve 44 óbitos por dengue no estado. Em Porto Alegre, até a semana epidemiológica 26 (29/12/2024 a 28/06/2025), foram notificados 54.473 casos suspeitos de dengue, 15.999 foram confirmados. Houve 20 óbitos por dengue. DEFINIÇÃO DE CASO DENGUE Indivíduo...",claim_corroboration_review,anomaly,Brazil,P0_critical,9,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,"claim corroboration review - review_anomaly_anom_009 - [PDF] Informe Epidemiológico DENGUE, CHIKUNGUNYA E ZIKA - GHC","[PDF] Informe Epidemiológico DENGUE, CHIKUNGUNYA E ZIKA - GHC",https://www.ghc.com.br/files/DENGUE_SE26.pdf,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_2eb1c67db46f; event_013; anom_009; val_result_010,anomaly,Claim-level support is unresolved or depends on a single source.
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"![Health Policy Watch](https://i0.wp.com/healthpolicy-watch.news/wp-content/uploads/2020/08/HPW-Logo-Full.png?fit=1099%2C206&ssl=1) ![](https://healthpolicy-watch.news/wp-content/themes/hpw2018/images/header-twitter.svg) ![](https://healthpolicy-watch.news/wp-content/themes/hpw2018/images/header-facebook.svg) ![](https://healthpolicy-watch.news/wp-content/themes/hpw2018/images/header-twitter.svg) ![](https://healthpolicy-watch.news/wp-content/themes/hpw2018/images/header-facebook.svg) ### Share this: ![Checking for standing water](https://healthpolicy-watch.news/wp-content/uploads/2024/02/Dengue-PAHO-1024x683.webp) In 2023, the Americas saw the highest recorded number of dengue cases of all time, with a total of 4,565,911 cases and 2,340 deaths, said the Pan American Health Organization...",claim_corroboration_review,anomaly,Brazil,P0_critical,10,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events; anomaly_results,claim corroboration review - review_anomaly_anom_010 - Brazil Tries New Vaccine As 'Exponential' Rise In Dengue Cases Plagues The America...,Brazil Tries New Vaccine As 'Exponential' Rise In Dengue Cases Plagues The Americas - Health Policy Watch,https://healthpolicy-watch.news/brazil-tries-new-vaccine-as-exponential-rise-in-dengue-cases-plagues-the-americas,confirm_scope_or_reject_record,"Is the claim independently corroborated, conflicting, or only single-source evidence?",src_search_df7c57966665; event_001; anom_010; val_result_014,anomaly,Claim-level support is unresolved or depends on a single source.
