edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_9f1bffa1139f,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_4e6c9d96071d,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_5fd7d33501e8,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_17249087cee3,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_042037d6ca22,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_066d8ce49c2c,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_387675deae44,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_4520d2861241,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_1e3a74a1fa2c,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_9baddae323c5,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_9056ec86ef3d,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_2eb1c67db46f,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_86d6f702e073,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_9c7738debb9e,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_e6a611dc2382,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_df7c57966665,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_6dae7aeadbda,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_fe4e8f3af932,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_c19140f0ec24,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_f4f555107be5,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_29507a107a69,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_4680c60f7257,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_90b5fc59aef2,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_60f9228c083d,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_d67b1bd84e67,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_bda921ee5182,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_1a6203f794f1,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_1e36efa321f9,source,document:doc_028,document,
