actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,25.0,claim_rec_src_search_8918c0ff9fe6_002_cases_unspecified,active,context_only,public_health_observation,0.85,cases_unspecified,case_count,,25.0,Canada,high,0.2842,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_018,,,,[![](https://www.healthunit.com/wp-content/uploads/2025/11/media-releases.png)](https://www.healthunit.com/news/middlesex-london-health-unit-redeclares-legionnaires-disease-outbreak-following-25-new-cases-likely-source-identified/),llm_structured_output_extractor,Middlesex-London,,,False,True,False,False,False,False,event_018,,record reports unspecified case count,unspecified_case_record,LEG,True,,Middlesex-London Health Unit Legionnaires disease outbreak update July 2025,extract_context_only,fetch_for_context,context,2025-07-01 to 2025-07-31,False,tavily,src_search_8918c0ff9fe6,domain:healthunit_com,rec_src_search_8918c0ff9fe6_002,collection,News - Middlesex-London Health Unit,official_public_health_agency,official_public_health_agency,https://www.healthunit.com/news/search?q=%2Ftag%2Flegionella,newly_reported,Ontario,chunk_src_search_8918c0ff9fe6_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,376.0,claim_rec_src_search_610d6ac3f5c7_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,376.0,Canada,high,0.8063,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_007,,,,"• In 2025, case counts in June were higher than usual largely because of a large outbreak in Middlesex-London Health Unit.5 The outbreak occurred over the summer and fall and accounted for 28.5% (107/376) of all legionellosis cases reported in Ontario in 2025.",llm_structured_output_extractor,Ontario,,,False,True,False,False,False,False,event_007,,record reports unspecified case count,unspecified_case_record,LEG,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,2025,False,tavily,src_search_610d6ac3f5c7,domain:publichealthontario_ca,rec_src_search_610d6ac3f5c7_001,collection,"[PDF] Legionellosis in Ontario: January 1, 2025 to December 31, 2025",official_public_health_agency,official_public_health_agency,https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2025.pdf?rev=e539cfbc1f50416da450caf421a46490&sc_lang=en&hash=2FD54DAE46293218306D10C5DA069834,annual,Ontario,chunk_src_search_610d6ac3f5c7_014,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,107.0,claim_rec_src_search_610d6ac3f5c7_002_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,107.0,Canada,high,0.8063,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_008,,,,"• In 2025, case counts in June were higher than usual largely because of a large outbreak in Middlesex-London Health Unit.5 The outbreak occurred over the summer and fall and accounted for 28.5% (107/376) of all legionellosis cases reported in Ontario in 2025.",llm_structured_output_extractor,"Middlesex-London Health Unit, Ontario",,,False,True,False,False,False,False,event_008,,record reports unspecified case count,unspecified_case_record,LEG,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,Summer and fall 2025,False,tavily,src_search_610d6ac3f5c7,domain:publichealthontario_ca,rec_src_search_610d6ac3f5c7_002,collection,"[PDF] Legionellosis in Ontario: January 1, 2025 to December 31, 2025",official_public_health_agency,official_public_health_agency,https://www.publichealthontario.ca/-/media/Documents/L/25/surveillance-report-legionellosis-ontario-2025.pdf?rev=e539cfbc1f50416da450caf421a46490&sc_lang=en&hash=2FD54DAE46293218306D10C5DA069834,subset,Ontario,chunk_src_search_610d6ac3f5c7_014,[],"[""ambiguous_metric_column_semantics""]"
,,2025-07-29,70.0,,,,claim_rec_src_search_c49cc412423d_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.7,cases_confirmed,case_count,,70.0,Canada,excluded,0.5928,2025-07-29,2025-07-29,2.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_009,,,,"Ontario’s Middlesex-London region is experiencing an outbreak of Legionnaires’ disease, with 70 confirmed cases and two deaths as of July 29, 2025.",llm_structured_output_extractor,"Middlesex-London region, Ontario",,,False,True,False,False,False,False,event_009,,record reports confirmed case count,confirmed_case_record,LD,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 29, 2025",False,tavily,src_search_c49cc412423d,domain:crisis24_com,rec_src_search_c49cc412423d_001,excluded,Canada: Confirmed Legionnaires' Disease Cases Reported in the ...,official_public_health_agency,official_public_health_agency,https://www.crisis24.com/articles/canada-confirmed-legionnaires-disease-cases-reported-in-the-middlesex-london-region-in-july-outbreak-source-remains-unknown,cumulative,Ontario,chunk_src_search_c49cc412423d_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-07-29,70.0,,,,claim_rec_src_search_c49cc412423d_001_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,case_count,,2.0,Canada,excluded,0.5928,2025-07-29,2025-07-29,2.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_009,,,,"Ontario’s Middlesex-London region is experiencing an outbreak of Legionnaires’ disease, with 70 confirmed cases and two deaths as of July 29, 2025.",llm_structured_output_extractor,"Middlesex-London region, Ontario",,,False,False,True,False,False,False,event_009,,record reports death count,death_record,LD,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 29, 2025",False,tavily,src_search_c49cc412423d,domain:crisis24_com,rec_src_search_c49cc412423d_001,excluded,Canada: Confirmed Legionnaires' Disease Cases Reported in the ...,official_public_health_agency,official_public_health_agency,https://www.crisis24.com/articles/canada-confirmed-legionnaires-disease-cases-reported-in-the-middlesex-london-region-in-july-outbreak-source-remains-unknown,cumulative,Ontario,chunk_src_search_c49cc412423d_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-07-29,,,,,claim_rec_src_search_c49cc412423d_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,2.0,Canada,excluded,0.5928,2025-07-29,2025-07-29,2.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_009,,,,"Ontario’s Middlesex-London region is experiencing an outbreak of Legionnaires’ disease, with 70 confirmed cases and two deaths as of July 29, 2025.",llm_structured_output_extractor,"Middlesex-London region, Ontario",,,False,False,True,False,False,False,event_009,,record reports death count,death_record,LD,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,"as of July 29, 2025",False,tavily,src_search_c49cc412423d,domain:crisis24_com,rec_src_search_c49cc412423d_002,excluded,Canada: Confirmed Legionnaires' Disease Cases Reported in the ...,official_public_health_agency,official_public_health_agency,https://www.crisis24.com/articles/canada-confirmed-legionnaires-disease-cases-reported-in-the-middlesex-london-region-in-july-outbreak-source-remains-unknown,cumulative,Ontario,chunk_src_search_c49cc412423d_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,40.0,claim_rec_src_search_95d26b86ff72_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,40.0,Canada,high,0.5768,2025-07-31,2025-07-31,1.0,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_001,,,,"1 dead, over 40 sick as legionnaires' outbreak spreads in southeast London, Ont.",llm_structured_output_extractor,"London, Ontario",,,False,True,False,False,False,False,event_001,,record reports unspecified case count,unspecified_case_record,LD,True,,Legionnaires disease Ontario July 2025 cases outbreak public health,extract_primary_case_claims,fetch_for_extraction,collection,2025-07-01 to 2025-07-31,False,tavily,src_search_95d26b86ff72,domain:cbc_ca,rec_src_search_95d26b86ff72_001,collection,What to know about legionnaires' disease amid recent outbreaks in ...,official_public_health_agency,official_public_health_agency,https://www.cbc.ca/news/health/legionnaires-disease-explainer-1.7580254,cumulative,Ontario,chunk_src_search_95d26b86ff72_015,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,25.0,claim_rec_src_search_602d7af72b1a_001_cases_unspecified,active,context_only,public_health_observation,0.85,cases_unspecified,case_count,,25.0,Canada,high,0.3026,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_010,,,,[![](https://www.healthunit.com/wp-content/uploads/2025/11/media-releases.png)](https://www.healthunit.com/news/middlesex-london-health-unit-redeclares-legionnaires-disease-outbreak-following-25-new-cases-likely-source-identified/),llm_structured_output_extractor,Middlesex-London,,,False,True,False,False,False,False,event_010,,record reports unspecified case count,unspecified_case_record,LEG,True,,Middlesex-London Health Unit Legionnaires disease outbreak update July 2025,extract_context_only,fetch_for_context,context,2025-07-01 to 2025-07-31,False,tavily,src_search_602d7af72b1a,domain:healthunit_com,rec_src_search_602d7af72b1a_001,collection,News - Middlesex-London Health Unit,official_public_health_agency,official_public_health_agency,https://www.healthunit.com/news/search?q=%2F2025%2F08%2F,newly_reported,Ontario,chunk_src_search_602d7af72b1a_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,319.0,claim_rec_src_search_e7d83ba11768_001_cases_unspecified,active,insufficient_information,public_health_observation,0.85,cases_unspecified,case_count,,319.0,Canada,high,0.8343,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_005,,2025-01-01,,# Ontario Reports 319 Legionellosis Cases in 2025,llm_structured_output_extractor,Ontario,,,False,True,False,False,False,False,event_005,,record reports unspecified case count,unspecified_case_record,LEG,True,,Public Health Ontario Legionellosis reportable disease surveillance 2025,needs_human_review,fetch_only_after_review,needs_human_review,2025,False,tavily,src_search_e7d83ba11768,domain:linkedin_com,rec_src_search_e7d83ba11768_001,collection,Ontario Reports 319 Legionellosis Cases in 2025 | ERIS posted on ...,structured_database,unknown,https://www.linkedin.com/posts/environmental-risk-information-services_legionellosis-erisinfo-erisinsider-activity-7401252553109401600-Gd2G,cumulative,Ontario,chunk_src_search_e7d83ba11768_026,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,319.0,,,,claim_rec_src_search_e7d83ba11768_002_cases_confirmed,active,insufficient_information,public_health_observation,0.85,cases_confirmed,case_count,,319.0,Canada,high,0.8343,2025-07-31,2025-07-31,,live_search_result,Legionnaires' disease,Legionnaires' disease,,event_004,,2025-01-01,,"🇨🇦 Public Health Ontario (PHO) reported 319 laboratory-confirmed [#Legionellosis](https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2Fhashtag%2Flegionellosis&trk=public_post-text) cases in 2025, similar to 2020–2024 totals. Infection occurs by inhaling contaminated water droplets, primarily affecting older or health-impaired individuals. The report reminds building and water system operators to maintain and monitor their systems. Read more: [https://lnkd.in/gQ5537jS](https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Flnkd%2Ein%2FgQ5537jS&urlhash=q_rH&trk=public_post-text)[#ERISInfo](https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2Fhashtag%2Ferisinfo&trk=public_post-text)[#ERISInsider](https://www.linkedin.com/signup/cold-join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2Fhashtag%2Ferisinsider&trk=public_post-text)[Public Health Ontario](https://ca.linkedin.com/company/public-health-ontario?trk=public_post-text)[Public Health Agency of Canada | Agence de la santé publique du Canada](https://ca.linkedin.com/company/public-health-agency-of-canada?trk=public_post-text)",llm_structured_output_extractor,Ontario,,,False,True,False,False,False,False,event_004,,record reports confirmed case count,confirmed_case_record,LD,True,,Public Health Ontario Legionellosis reportable disease surveillance 2025,needs_human_review,fetch_only_after_review,needs_human_review,2025 (year-to-date as of report date),False,tavily,src_search_e7d83ba11768,domain:linkedin_com,rec_src_search_e7d83ba11768_002,collection,Ontario Reports 319 Legionellosis Cases in 2025 | ERIS posted on ...,structured_database,unknown,https://www.linkedin.com/posts/environmental-risk-information-services_legionellosis-erisinfo-erisinsider-activity-7401252553109401600-Gd2G,cumulative,Ontario,chunk_src_search_e7d83ba11768_027,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
