edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_610d6ac3f5c7,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_219b6b429550,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_46a7561fccd4,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_a828b4a066a7,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_c49cc412423d,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_a07f1791e64f,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_95d26b86ff72,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_39e5b4e8aa9a,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_7f4a1fa9b25c,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_d780ac567d3d,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_be076f02faa9,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_6321a50ee67f,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_602d7af72b1a,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_8918c0ff9fe6,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_fed061e9489b,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_e7d83ba11768,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_1094c38124ed,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_a22d5d58de73,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_b19fa2456b72,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_9b99a2fc64df,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_9c275dbf6b30,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_e78ed28655c4,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_610d6ac3f5c7,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_219b6b429550,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_46a7561fccd4,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_a828b4a066a7,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_c49cc412423d,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_a07f1791e64f,source,document:doc_028,document,
