actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,217000.0,,,claim_rec_src_search_2ac70c766155_001_cases_probable,active,corroboration_support,public_health_observation,0.85,cases_probable,case_count,,217000.0,Brazil,medium,0.771,2024-03-31,2024-03-31,,live_search_result,Dengue,Dengue,,event_010,,,,# Brazil reports 217K probable dengue cases during the first weeks of 2024,llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_010,,record reports probable case count,probable_case_record,DEN,True,,InfoDengue SINAN dengue Brazil 2024 cases data epidemiological weeks 1-13 subnational states,extract_public_health_observations,fetch_for_extraction,collection_support,first weeks of 2024,False,tavily,src_search_2ac70c766155,domain:outbreaknewstoday_substack_com,rec_src_search_2ac70c766155_001,collection,Brazil reports 217K probable dengue cases during the first weeks of ...,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue,cumulative,,chunk_src_search_2ac70c766155_003,[],"[""ambiguous_metric_column_semantics""]"
,,,,120874.0,,,claim_rec_src_search_2ac70c766155_002_cases_probable,active,corroboration_support,public_health_observation,0.85,cases_probable,case_count,,120874.0,Brazil,medium,0.771,2024-03-31,2024-03-31,,live_search_result,Dengue,Dengue,,event_011,,,,"The number of cases are a 80 percent increase over the 120,874 probable cases of the disease reported last week.",llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_011,,record reports probable case count,probable_case_record,DEN,True,,InfoDengue SINAN dengue Brazil 2024 cases data epidemiological weeks 1-13 subnational states,extract_public_health_observations,fetch_for_extraction,collection_support,prior week (week before 217K report),False,tavily,src_search_2ac70c766155,domain:outbreaknewstoday_substack_com,rec_src_search_2ac70c766155_002,collection,Brazil reports 217K probable dengue cases during the first weeks of ...,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue,cumulative,,chunk_src_search_2ac70c766155_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,3.0,,,,claim_rec_src_search_2ac70c766155_003_cases_confirmed,active,corroboration_support,public_health_observation,0.85,cases_confirmed,death_count,,3.0,Brazil,medium,0.771,2024-03-31,2024-03-31,3.0,live_search_result,Dengue,Dengue,,event_010,,,,[Share](https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue?utm_source=substack&utm_medium=email&utm_content=share&action=share),llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_010,,record reports confirmed case count,confirmed_case_record,DEN,True,,InfoDengue SINAN dengue Brazil 2024 cases data epidemiological weeks 1-13 subnational states,extract_public_health_observations,fetch_for_extraction,collection_support,first weeks of 2024,False,tavily,src_search_2ac70c766155,domain:outbreaknewstoday_substack_com,rec_src_search_2ac70c766155_003,collection,Brazil reports 217K probable dengue cases during the first weeks of ...,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue,cumulative,,chunk_src_search_2ac70c766155_007,[],"[""ambiguous_metric_column_semantics""]"
,,,3.0,,,,claim_rec_src_search_2ac70c766155_003_deaths,active,corroboration_support,public_health_observation,0.85,deaths,death_count,,3.0,Brazil,medium,0.771,2024-03-31,2024-03-31,3.0,live_search_result,Dengue,Dengue,,event_010,,,,[Share](https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue?utm_source=substack&utm_medium=email&utm_content=share&action=share),llm_structured_output_extractor,Brazil,,,False,False,True,False,False,True,event_010,,record reports death count,death_record,DEN,True,,InfoDengue SINAN dengue Brazil 2024 cases data epidemiological weeks 1-13 subnational states,extract_public_health_observations,fetch_for_extraction,collection_support,first weeks of 2024,False,tavily,src_search_2ac70c766155,domain:outbreaknewstoday_substack_com,rec_src_search_2ac70c766155_003,collection,Brazil reports 217K probable dengue cases during the first weeks of ...,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-reports-217k-probable-dengue,cumulative,,chunk_src_search_2ac70c766155_007,[],"[""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,2024-03-26,,,,3500000.0,claim_rec_src_search_c19140f0ec24_001_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,over 3.5 million; minimum bound,,3500000.0,,medium,0.6072,2024-03-28,2024-03-28,,live_search_result,Dengue,Dengue,,event_008,,,,"Washington, DC, March 28, 2024 (PAHO)- The Pan American Health Organization (PAHO) today warned about the surge in dengue cases in the Americas. As of March 26, 2024, over 3.5 million cases and more than 1,000 deaths have been reported in the region.",llm_structured_output_extractor,Americas,,,False,True,False,False,False,False,event_008,,record reports unspecified case count,unspecified_case_record,DEN,True,Pan American Health Organization,PAHO OPAS dengue Brazil 2024 situation report cases deaths outbreak January February March,extract_primary_case_claims,fetch_for_extraction,collection,"as of March 26, 2024",True,tavily,src_search_c19140f0ec24,publisher:pan_american_health_organization,rec_src_search_c19140f0ec24_001,collection,PAHO calls for collective action in response to record increase in ...,international_organization_report,international_public_health_agency,https://www.paho.org/en/news/28-3-2024-paho-calls-collective-action-response-record-increase-dengue-cases-americas,cumulative,,chunk_src_search_c19140f0ec24_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,2024-03-26,,,,,claim_rec_src_search_c19140f0ec24_002_deaths,pending_review,primary_case_claim_support,public_health_observation,0.85,deaths,"more than 1,000; minimum bound",,1000.0,,medium,0.6072,2024-03-28,2024-03-28,1000.0,live_search_result,Dengue,Dengue,,event_008,,,,"Washington, DC, March 28, 2024 (PAHO)- The Pan American Health Organization (PAHO) today warned about the surge in dengue cases in the Americas. As of March 26, 2024, over 3.5 million cases and more than 1,000 deaths have been reported in the region.",llm_structured_output_extractor,Americas,,,False,False,True,False,False,False,event_008,,record reports death count,death_record,DEN,True,Pan American Health Organization,PAHO OPAS dengue Brazil 2024 situation report cases deaths outbreak January February March,extract_primary_case_claims,fetch_for_extraction,collection,"as of March 26, 2024",True,tavily,src_search_c19140f0ec24,publisher:pan_american_health_organization,rec_src_search_c19140f0ec24_002,collection,PAHO calls for collective action in response to record increase in ...,international_organization_report,international_public_health_agency,https://www.paho.org/en/news/28-3-2024-paho-calls-collective-action-response-record-increase-dengue-cases-americas,cumulative,,chunk_src_search_c19140f0ec24_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-10-07,,6500000.0,,,claim_rec_src_search_0cb54d17a3e3_001_cases_probable,active,context_only,public_health_observation,0.85,cases_probable,case_count,,6500000.0,Brazil,high,0.6658,2024-10-18,2024-10-18,5536.0,live_search_result,Dengue,Dengue,,event_003,2024-10-07,2024-01-01,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",llm_structured_output_extractor,Brazil,,,False,True,False,False,False,False,event_003,,record reports probable case count,probable_case_record,DEN,True,,dengue boletim epidemiológico 2024 Ministério da Saúde SVS casos óbitos semana epidemiológica janeiro fevereiro março,extract_context_only,fetch_for_context,context,"2024 up to October 7, 2024",False,tavily,src_search_0cb54d17a3e3,domain:cofen_gov_br,rec_src_search_0cb54d17a3e3_001,collection,Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado - Cofen,official_public_health_agency,official_public_health_agency,https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado,cumulative,,chunk_src_search_0cb54d17a3e3_001,[],"[""ambiguous_metric_column_semantics""]"
,,2024-10-07,,6500000.0,,,claim_rec_src_search_0cb54d17a3e3_001_deaths,active,context_only,public_health_observation,0.85,deaths,case_count,,5536.0,Brazil,high,0.6658,2024-10-18,2024-10-18,5536.0,live_search_result,Dengue,Dengue,,event_003,2024-10-07,2024-01-01,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,False,event_003,,record reports death count,death_record,DEN,True,,dengue boletim epidemiológico 2024 Ministério da Saúde SVS casos óbitos semana epidemiológica janeiro fevereiro março,extract_context_only,fetch_for_context,context,"2024 up to October 7, 2024",False,tavily,src_search_0cb54d17a3e3,domain:cofen_gov_br,rec_src_search_0cb54d17a3e3_001,collection,Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado - Cofen,official_public_health_agency,official_public_health_agency,https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado,cumulative,,chunk_src_search_0cb54d17a3e3_001,[],"[""ambiguous_metric_column_semantics""]"
,,2024-10-07,,,,,claim_rec_src_search_0cb54d17a3e3_002_deaths,active,context_only,public_health_observation,0.85,deaths,death_count,,5536.0,Brazil,high,0.6658,2024-10-18,2024-10-18,5536.0,live_search_result,Dengue,Dengue,,event_003,2024-10-07,2024-01-01,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,False,event_003,,record reports death count,death_record,DEN,True,,dengue boletim epidemiológico 2024 Ministério da Saúde SVS casos óbitos semana epidemiológica janeiro fevereiro março,extract_context_only,fetch_for_context,context,"2024 up to October 7, 2024",False,tavily,src_search_0cb54d17a3e3,domain:cofen_gov_br,rec_src_search_0cb54d17a3e3_002,collection,Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado - Cofen,official_public_health_agency,official_public_health_agency,https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado,cumulative,,chunk_src_search_0cb54d17a3e3_001,[],"[""ambiguous_metric_column_semantics""]"
,,2024-10-07,,,,,claim_rec_src_search_0cb54d17a3e3_003_deaths,active,context_only,public_health_observation,0.85,deaths,death_count,,1591.0,Brazil,high,0.6658,2024-10-18,2024-10-18,1591.0,live_search_result,Dengue,Dengue,,event_003,2024-10-07,2024-01-01,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,False,event_003,,record reports death count,death_record,DEN,True,,dengue boletim epidemiológico 2024 Ministério da Saúde SVS casos óbitos semana epidemiológica janeiro fevereiro março,extract_context_only,fetch_for_context,context,"2024 up to October 7, 2024",False,tavily,src_search_0cb54d17a3e3,domain:cofen_gov_br,rec_src_search_0cb54d17a3e3_003,collection,Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado - Cofen,official_public_health_agency,official_public_health_agency,https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado,cumulative,,chunk_src_search_0cb54d17a3e3_001,[],"[""ambiguous_metric_column_semantics""]"
