actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,2025-03-04,,,,159.0,claim_rec_src_search_87bd434eacdf_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,159.0,United States of America,high,0.6658,2025-03-04,2025-03-04,,live_search_result,Measles,Measles,,event_028,,,,# Texas measles cases hit 159 cases in nine counties as Gaines County cases surpass 100,llm_structured_output_extractor,Texas,,,False,True,False,False,False,False,event_028,,record reports unspecified case count,unspecified_case_record,,True,,Texas DSHS measles outbreak 2025 confirmed cases Gaines County Lubbock deaths January February March,extract_primary_case_claims,fetch_for_extraction,collection,"as of March 4, 2025",False,tavily,src_search_87bd434eacdf,domain:lubbockonline_com,rec_src_search_87bd434eacdf_001,collection,"Texas measles in Gaines County surpass 100 cases, officials urge ...",official_public_health_agency,official_public_health_agency,https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007,cumulative,Texas,chunk_src_search_87bd434eacdf_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-03-04,,,,,claim_rec_src_search_87bd434eacdf_003_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,hospitalization_count,,22.0,United States of America,high,0.6658,2025-03-04,2025-03-04,,live_search_result,Measles,Measles,,event_028,,,,"DSHS reports that 22 patients have been hospitalized, and reports of the 59 cases, 80 people where not vaccinated, 74 vaccine statuses are unknown and five individuals had at least one dose of the MMR vaccine.",llm_structured_output_extractor,Texas,22.0,,False,False,False,False,False,False,event_028,,record reports hospitalization count,hospitalization_record,,True,,Texas DSHS measles outbreak 2025 confirmed cases Gaines County Lubbock deaths January February March,extract_primary_case_claims,fetch_for_extraction,collection,"as of March 4, 2025",False,tavily,src_search_87bd434eacdf,domain:lubbockonline_com,rec_src_search_87bd434eacdf_003,collection,"Texas measles in Gaines County surpass 100 cases, officials urge ...",official_public_health_agency,official_public_health_agency,https://www.lubbockonline.com/story/news/local/2025/03/04/texas-measles-in-gaines-county-surpass-100-cases-officials-urge-caution-as-state-hits-159-cases/81218510007,cumulative,Texas,chunk_src_search_87bd434eacdf_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,2000.0,claim_rec_src_search_3f4cf9d46ec9_001_cases_unspecified,active,insufficient_information,public_health_observation,0.85,cases_unspecified,case_count,,2000.0,United States of America,high,0.8594,2025-03-31,2025-03-31,,live_search_result,Measles,Measles,,event_003,,2025-01-01,,"CHICAGO -- The United States reported more than 2,000 measles cases in 2025, federal data shows, a higher annual total than the country has seen in decades.",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_003,,record reports unspecified case count,unspecified_case_record,,True,,WHO PAHO measles United States 2025 cases situation report outbreak news,needs_human_review,fetch_only_after_review,needs_human_review,2025,False,tavily,src_search_3f4cf9d46ec9,domain:abc7news_com,rec_src_search_3f4cf9d46ec9_001,collection,Over 2K measles cases reported in US in 2025 as ongoing ...,international_organization_report,unknown,https://abc7news.com/post/2k-measles-cases-reported-us-2025-ongoing-outbreaks-threaten-elimination-status/18339323,cumulative,,chunk_src_search_3f4cf9d46ec9_007,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-04-08,,,,500.0,claim_rec_src_search_da86b7826545_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,500.0,United States of America,high,0.6474,2025-03-31,2025-03-31,2.0,live_search_result,Measles,Measles,,event_029,,,,# Texas measles outbreak tops 500 cases across 10 counties,llm_structured_output_extractor,Texas,57.0,,False,True,False,False,False,False,event_029,,record reports unspecified case count,unspecified_case_record,,True,,Texas DSHS measles outbreak 2025 confirmed cases Gaines County Lubbock deaths January February March,extract_primary_case_claims,fetch_for_extraction,collection,as of Tuesday (approximately early April 2025),False,tavily,src_search_da86b7826545,domain:pbs_org,rec_src_search_da86b7826545_001,collection,Texas measles outbreak tops 500 cases across 10 counties | PBS News,official_public_health_agency,official_public_health_agency,https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties,cumulative,Texas,chunk_src_search_da86b7826545_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2025-04-08,,,,500.0,claim_rec_src_search_da86b7826545_001_hospitalizations,active,primary_case_claim_support,public_health_observation,0.85,hospitalizations,case_count,,57.0,United States of America,high,0.6474,2025-03-31,2025-03-31,2.0,live_search_result,Measles,Measles,,event_029,,,,# Texas measles outbreak tops 500 cases across 10 counties,llm_structured_output_extractor,Texas,57.0,,False,False,False,False,False,False,event_029,,record reports hospitalization count,hospitalization_record,,True,,Texas DSHS measles outbreak 2025 confirmed cases Gaines County Lubbock deaths January February March,extract_primary_case_claims,fetch_for_extraction,collection,as of Tuesday (approximately early April 2025),False,tavily,src_search_da86b7826545,domain:pbs_org,rec_src_search_da86b7826545_001,collection,Texas measles outbreak tops 500 cases across 10 counties | PBS News,official_public_health_agency,official_public_health_agency,https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties,cumulative,Texas,chunk_src_search_da86b7826545_006,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,81.0,claim_rec_src_search_da86b7826545_005_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,81.0,United States of America,high,0.6474,2025-03-31,2025-03-31,,live_search_result,Measles,Measles,,event_030,,,,"Case count and hospitalization numbers in Texas have climbed steadily since the outbreak began, and spiked by 81 cases from March 28 to April 4.",llm_structured_output_extractor,Texas,,,False,True,False,False,False,False,event_030,,record reports unspecified case count,unspecified_case_record,,True,,Texas DSHS measles outbreak 2025 confirmed cases Gaines County Lubbock deaths January February March,extract_primary_case_claims,fetch_for_extraction,collection,"March 28 to April 4, 2025",False,tavily,src_search_da86b7826545,domain:pbs_org,rec_src_search_da86b7826545_005,collection,Texas measles outbreak tops 500 cases across 10 counties | PBS News,official_public_health_agency,official_public_health_agency,https://www.pbs.org/newshour/health/texas-measles-outbreak-tops-500-cases-across-10-counties,newly_reported,Texas,chunk_src_search_da86b7826545_007,[],"[""ambiguous_metric_column_semantics""]"
Pan American Health Organization,pan_american_health_organization,,1792.0,,,,claim_rec_src_search_8242cbb785a1_001_cases_confirmed,active,primary_case_claim_support,public_health_observation,0.85,cases_confirmed,case_count,,1792.0,United States of America,high,0.8048,2025-03-31,2025-03-31,,live_search_result,Measles,Measles,,event_014,,,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_014,,record reports confirmed case count,confirmed_case_record,,True,Pan American Health Organization,WHO PAHO measles United States 2025 cases situation report outbreak news,extract_primary_case_claims,fetch_for_extraction,collection,EW1–EW16 of 2026,False,tavily,src_search_8242cbb785a1,publisher:pan_american_health_organization,rec_src_search_8242cbb785a1_001,collection,Situation Report #2: Measles in the Americas Region - PAHO/WHO,international_organization_report,international_public_health_agency,https://www.paho.org/en/documents/situation-report-2-measles-americas-region,cumulative,,chunk_src_search_8242cbb785a1_006,[],"[""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,2255.0,,,,claim_rec_src_search_cd5fb2750261_001_cases_confirmed,active,insufficient_information,public_health_observation,0.85,cases_confirmed,case_count,,2255.0,United States of America,high,0.8,2025-03-31,2025-03-31,,live_search_result,Measles,Measles,,event_009,,,,"The CDC confirmed 588 cases in the U.S. as of Jan. 29, meaning there are nearly 26% of last year's total cases (2,255) after just one month in 2026.",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_009,,record reports confirmed case count,confirmed_case_record,,True,Centers for Disease Control and Prevention,WHO PAHO measles United States 2025 cases situation report outbreak news,needs_human_review,fetch_only_after_review,needs_human_review,2025,False,tavily,src_search_cd5fb2750261,domain:forbes_com,rec_src_search_cd5fb2750261_001,collection,Measles Cases This Year Are Outpacing 2025 - Forbes,international_organization_report,unknown,https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record,annual,,chunk_src_search_cd5fb2750261_008,[],"[""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,115.0,,,,claim_rec_src_search_cd5fb2750261_002_cases_confirmed,active,insufficient_information,public_health_observation,0.85,cases_confirmed,case_count,,115.0,United States of America,high,0.8,2025-03-30,2025-03-30,,live_search_result,Measles,Measles,,event_004,,,,"Cases reached as high as 254 during the week of Jan. 11, according to the CDC, a stark difference between the highest number of cases recorded in a single week last year, when 115 cases were confirmed the week of March 30.",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_004,,record reports confirmed case count,confirmed_case_record,,True,Centers for Disease Control and Prevention,WHO PAHO measles United States 2025 cases situation report outbreak news,needs_human_review,fetch_only_after_review,needs_human_review,"week of March 30, 2025",False,tavily,src_search_cd5fb2750261,domain:forbes_com,rec_src_search_cd5fb2750261_002,collection,Measles Cases This Year Are Outpacing 2025 - Forbes,international_organization_report,unknown,https://www.forbes.com/sites/antoniopequenoiv/2026/01/30/measles-cases-this-year-are-outpacing-2025---the-worst-recent-year-on-record,subset,,chunk_src_search_cd5fb2750261_009,[],"[""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,1500.0,claim_rec_src_search_d1d6036be2f6_001_cases_unspecified,active,insufficient_information,public_health_observation,0.85,cases_unspecified,case_count,,1500.0,United States of America,high,0.8943,2025-03-31,2025-03-31,,live_search_result,Measles,Measles,,event_012,,,,"# CDC confirms 23 more US measles cases as 2025 total tops 1,500",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_012,,record reports unspecified case count,unspecified_case_record,,True,Centers for Disease Control and Prevention,CDC measles cases United States 2025 outbreak surveillance confirmed,needs_human_review,fetch_only_after_review,needs_human_review,2025,False,tavily,src_search_d1d6036be2f6,publisher:cidrap,rec_src_search_d1d6036be2f6_001,collection,"CDC confirms 23 more US measles cases as 2025 total tops 1,500 | CIDRAP",official_public_health_agency,academic_or_peer_reviewed_source,https://www.cidrap.umn.edu/measles/cdc-confirms-23-more-us-measles-cases-2025-total-tops-1500,cumulative,,chunk_src_search_d1d6036be2f6_014,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
