actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,,,,claim_rec_src_search_5c954f0581ec_001_deaths,pending_review,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,1.0,United States of America,high,0.5768,2024-08-31,2024-08-31,1.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_008,,,,# First West Nile Virus Death of 2024 Reported in LA County - Public Health Urges Residents to Take Action to Prevent the Spread of Mosquito-Borne Diseases,llm_structured_output_extractor,Los Angeles County,,,False,False,True,False,False,False,event_008,,record reports death count,death_record,West Nile virus,True,,West Nile virus California county August 2024 cases confirmed deaths public health department,extract_primary_case_claims,fetch_for_extraction,collection,2024,True,tavily,src_search_5c954f0581ec,domain:ph_lacounty_gov,rec_src_search_5c954f0581ec_001,collection,LISTING OF DEPARTMENT OF PUBLIC HEALTH PRESS RELEASES,official_public_health_agency,official_public_health_agency,http://ph.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=4833,cumulative,"Los Angeles County, California",chunk_src_search_5c954f0581ec_005,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,289.0,claim_rec_src_search_0d4e7ec87258_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,289.0,United States of America,high,0.7928,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_001,,,,"There have been 289 human West Nile virus disease cases in 2024, according to the [CDC](https://www.cdc.gov/west-nile-virus/data-maps/current-year-data.html).",llm_structured_output_extractor,United States,,,False,True,False,False,False,False,event_001,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California county August 2024 cases confirmed deaths public health department,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_0d4e7ec87258,domain:abcnews_com,rec_src_search_0d4e7ec87258_001,collection,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,official_public_health_agency,official_public_health_agency,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,cumulative,,chunk_src_search_0d4e7ec87258_011,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_0d4e7ec87258_002_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,1.0,United States of America,high,0.7928,2024-08-31,2024-08-31,1.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_007,,2024-08-01,,"Earlier this week, health officials in Illinois announced the first death in the state from West Nile virus after a Lake County resident in their 80s had an onset of symptoms in mid-August and died soon after.",llm_structured_output_extractor,Illinois,,,False,False,True,False,False,False,event_007,,record reports death count,death_record,West Nile virus,True,,West Nile virus California county August 2024 cases confirmed deaths public health department,extract_primary_case_claims,fetch_for_extraction,collection,2024,False,tavily,src_search_0d4e7ec87258,domain:abcnews_com,rec_src_search_0d4e7ec87258_002,collection,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,official_public_health_agency,official_public_health_agency,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,newly_reported,Illinois,chunk_src_search_0d4e7ec87258_009,[],"[""filled_metric_period_from_source_reporting_period""]"
,,,,,,,claim_rec_src_search_0d4e7ec87258_003_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,6.0,United States of America,high,0.7928,2024-08-31,2024-08-31,6.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_006,2023-12-31,2023-01-01,,There were six West Nile virus deaths recorded in Illinois in 2023.,llm_structured_output_extractor,Illinois,,,False,False,True,False,False,False,event_006,,record reports death count,death_record,West Nile virus,True,,West Nile virus California county August 2024 cases confirmed deaths public health department,extract_primary_case_claims,fetch_for_extraction,collection,2023,False,tavily,src_search_0d4e7ec87258,domain:abcnews_com,rec_src_search_0d4e7ec87258_003,collection,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,official_public_health_agency,official_public_health_agency,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,annual,Illinois,chunk_src_search_0d4e7ec87258_010,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,18.0,claim_rec_src_search_0d4e7ec87258_004_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,18.0,United States of America,high,0.7928,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_011,,,,"An average of 18 cases of illness from West Nile virus are reported in Wisconsin every year, according to DHS officials.",llm_structured_output_extractor,Wisconsin,,,False,True,False,False,False,False,event_011,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California county August 2024 cases confirmed deaths public health department,extract_primary_case_claims,fetch_for_extraction,collection,annual average,False,tavily,src_search_0d4e7ec87258,domain:abcnews_com,rec_src_search_0d4e7ec87258_004,collection,Health officials report 3 West Nile virus deaths; warn of mosquito-spread illnesses - ABC News,official_public_health_agency,official_public_health_agency,https://abcnews.com/US/health-officials-report-3-west-nile-virus-deaths/story?id=113256243,annual,Wisconsin,chunk_src_search_0d4e7ec87258_008,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,,,,,801.0,claim_rec_src_search_ba887a60c89b_001_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,801.0,United States of America,excluded,0.6479,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_002,2014-12-31,2014-01-01,,"California had the second-highest number of human cases of West Nile virus (WNV) in 2014 since the virus first invaded California in 2003. In 2014, California recorded 801 cases of the potentially fatal disease. In 2005, CDPH detected 880 cases of WNV.",llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_002,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,California Department of Public Health West Nile virus 2024 cases deaths statistics site:cdph.ca.gov,extract_primary_case_claims,fetch_for_extraction,collection,2014,False,tavily,src_search_ba887a60c89b,domain:cdph_ca_gov,rec_src_search_ba887a60c89b_001,excluded,California Sets Record for West Nile Virus Activity - CDPH,official_public_health_agency,official_public_health_agency,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,annual,California,chunk_src_search_ba887a60c89b_077,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,263.0,claim_rec_src_search_ba887a60c89b_002_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,263.0,United States of America,excluded,0.6479,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_009,2014-12-31,2014-01-01,,"The highest number of cases was in Orange County (263 cases) and the highest incidence occurred in Glenn County (35.3 cases per 100,000 population).",llm_structured_output_extractor,"Orange County, California",,,False,True,False,False,False,False,event_009,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,California Department of Public Health West Nile virus 2024 cases deaths statistics site:cdph.ca.gov,extract_primary_case_claims,fetch_for_extraction,collection,2014,True,tavily,src_search_ba887a60c89b,domain:cdph_ca_gov,rec_src_search_ba887a60c89b_002,excluded,California Sets Record for West Nile Virus Activity - CDPH,official_public_health_agency,official_public_health_agency,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,annual,"Orange County, California",chunk_src_search_ba887a60c89b_078,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_ba887a60c89b_003_observation,pending_review,primary_case_claim_support,public_health_observation,0.7,,hospitalization_rate,,,United States of America,excluded,0.6479,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_005,2014-12-31,2014-01-01,,"The highest number of cases was in Orange County (263 cases) and the highest incidence occurred in Glenn County (35.3 cases per 100,000 population).",llm_structured_output_extractor,"Glenn County, California",,,False,False,False,False,False,False,event_005,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,West Nile virus,False,,California Department of Public Health West Nile virus 2024 cases deaths statistics site:cdph.ca.gov,extract_primary_case_claims,fetch_for_extraction,collection,2014,True,tavily,src_search_ba887a60c89b,domain:cdph_ca_gov,rec_src_search_ba887a60c89b_003,excluded,California Sets Record for West Nile Virus Activity - CDPH,official_public_health_agency,official_public_health_agency,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,annual,"Glenn County, California",chunk_src_search_ba887a60c89b_078,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,,claim_rec_src_search_ba887a60c89b_004_deaths,active,primary_case_claim_support,public_health_observation,0.7,deaths,death_count,,31.0,United States of America,excluded,0.6479,2024-08-31,2024-08-31,31.0,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_002,2014-12-31,2014-01-01,,"The number of fatal WNV cases, 31, exceeded all previous years.",llm_structured_output_extractor,California,,,False,False,True,False,False,False,event_002,,record reports death count,death_record,West Nile virus,True,,California Department of Public Health West Nile virus 2024 cases deaths statistics site:cdph.ca.gov,extract_primary_case_claims,fetch_for_extraction,collection,2014,False,tavily,src_search_ba887a60c89b,domain:cdph_ca_gov,rec_src_search_ba887a60c89b_004,excluded,California Sets Record for West Nile Virus Activity - CDPH,official_public_health_agency,official_public_health_agency,https://www.cdph.ca.gov/Programs/OPA/Pages/NR15-027.aspx,annual,California,chunk_src_search_ba887a60c89b_079,[],"[""ambiguous_metric_column_semantics""]"
,,,,,,5.0,claim_rec_src_search_14d0fc5d0793_001_cases_unspecified,pending_review,primary_case_claim_support,public_health_observation,0.7,cases_unspecified,case_count,,5.0,United States of America,excluded,0.6479,2024-08-31,2024-08-31,,live_search_result,West Nile Virus Disease,West Nile Virus Disease,,event_003,,,,##### Human Cases **Year-to-date:** 5 **Counties:** 3,llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_003,,record reports unspecified case count,unspecified_case_record,West Nile virus,True,,West Nile virus California 2024 weekly statistics cases deaths site:westnile.ca.gov,extract_primary_case_claims,fetch_for_extraction,collection,Year-to-date,True,tavily,src_search_14d0fc5d0793,domain:westnile_ca_gov,rec_src_search_14d0fc5d0793_001,excluded,Westnile.ca.gov | California West Nile Virus Website,official_public_health_agency,official_public_health_agency,https://westnile.ca.gov/resources.php,cumulative,California,chunk_src_search_14d0fc5d0793_010,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
