edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_be9523f722c4,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_bc22a2200088,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_ba887a60c89b,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_14d0fc5d0793,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_0b5d8dbbd871,source,document:doc_005,document,
fetched_as,document.source_id links to source,source:src_search_880439788e37,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_40e1767f9183,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_4c3e4b64e0ff,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_605afafe9104,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_0297991a455b,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_ade4b3df439a,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_e4be88982e7e,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_7f4a3e46c1d4,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_c95b5eedc56a,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_071605a69e2e,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_0a4aa71e9362,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_d25517dc4216,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_d879ecf59b5b,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_33137ddb1958,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_d2d74c964ac6,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_3b0cf6d737fc,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_8ff31ebb8264,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_65b7f3632065,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_cb36ac8997e4,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_e48597594966,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_0d4e7ec87258,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_4f8e542dc010,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_3bebe5502dfd,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_fc3322f3069f,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_2e488c45a73e,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_e5ba83f1bd09,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_5d796f40b9b1,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_6e4f8ca1b1cc,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_5ecab69111e7,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_5c954f0581ec,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_75f2c3795fd4,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_be9523f722c4,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_bc22a2200088,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_ba887a60c89b,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_14d0fc5d0793,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_0b5d8dbbd871,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_880439788e37,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_40e1767f9183,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_4c3e4b64e0ff,source,document:doc_045,document,
fetched_as,document.source_id links to source,source:src_search_605afafe9104,source,document:doc_046,document,
fetched_as,document.source_id links to source,source:src_search_0297991a455b,source,document:doc_047,document,
