anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"Since the beginning of 2024, over 7.5 million dengue cases and over 3 000 dengue-related deaths have been reported from 73 countries/territories. Most cases globally have been reported from the WHO PAHO region, with Brazil reporting most cases.",,[],case count exceeds configured simple anomaly threshold,Global (73 countries/territories),True,7500000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_619f95867581_001,[],high,src_search_619f95867581,"[""src_search_619f95867581""]","[""https://www.ecdc.europa.eu/en/publications-data/countriesterritories-reporting-dengue-cases-march-2023-and-april-2024""]",1000000.0,,[]
anom_002,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"In the state rankings, São Paulo reported the highest number of probable cases (2,181,519), while the Federal District leads in disease incidence, with 9,905.2 cases per 100,000 inhabitants.",,[],case count exceeds configured simple anomaly threshold,São Paulo,True,2181519.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_c543063343d0_001,[],high,src_search_c543063343d0,"[""src_search_c543063343d0""]","[""https://outbreaknewstoday.substack.com/p/brazil-moh-dengue-cases-in-2024""]",1000000.0,,[]
anom_003,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",,[],case count exceeds configured simple anomaly threshold,Brazil,True,6007048.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_89d26cc955fb_001,[],high,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",1000000.0,,[]
anom_004,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",,[],,Brazil,False,3999.0,deaths present but no comparable case count is available,human_review,rec_src_search_89d26cc955fb_002,[],low,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",,,"[""insufficient_case_reference""]"
anom_005,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,More than 4.2 million cases are classified as confirmed.,,[],case count exceeds configured simple anomaly threshold,Brazil,True,4200000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_89d26cc955fb_003,[],high,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",1000000.0,,[]
anom_006,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"Sao Paulo state and Minas Gerais state have seen the most cases with 1,829,439 and 1,620,083 cases, respectively.",,[],case count exceeds configured simple anomaly threshold,São Paulo,True,1829439.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_89d26cc955fb_004,[],medium,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",1000000.0,,[]
anom_007,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"Sao Paulo state and Minas Gerais state have seen the most cases with 1,829,439 and 1,620,083 cases, respectively.",,[],case count exceeds configured simple anomaly threshold,Minas Gerais,True,1620083.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_89d26cc955fb_005,[],medium,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",1000000.0,,[]
anom_008,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"The above states also lead in dengue deaths with 1,172 in Sao Paulo and 692 in Minas Gerais.",,[],,São Paulo,False,1172.0,deaths present but no comparable case count is available,human_review,rec_src_search_89d26cc955fb_006,[],low,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",,,"[""insufficient_case_reference""]"
anom_009,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"The above states also lead in dengue deaths with 1,172 in Sao Paulo and 692 in Minas Gerais.",,[],,Minas Gerais,False,692.0,deaths present but no comparable case count is available,human_review,rec_src_search_89d26cc955fb_007,[],low,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",,,"[""insufficient_case_reference""]"
anom_010,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"Throughout the Americas, the Pan American Health Organization (PAHO) has reported 9,386,082 cases of dengue; this number is twice as high as the number of cases recorded throughout 2023, 4,617,108 cases.",,[],case count exceeds configured simple anomaly threshold,Americas,True,9386082.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_89d26cc955fb_009,[],high,src_search_89d26cc955fb,"[""src_search_89d26cc955fb""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million""]",1000000.0,,[]
anom_011,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",,[],case count exceeds configured simple anomaly threshold,Brazil,True,6490000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_9cacbefd56b5_001,[],high,src_search_9cacbefd56b5,"[""src_search_9cacbefd56b5""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three""]",1000000.0,,[]
anom_012,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",,[],,Brazil,False,5972.0,deaths present but no comparable case count is available,human_review,rec_src_search_9cacbefd56b5_002,[],low,src_search_9cacbefd56b5,"[""src_search_9cacbefd56b5""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three""]",,,"[""insufficient_case_reference""]"
anom_013,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than three times compared to the same period in 2023 in the Region of the Americas. |",,[],case count exceeds configured simple anomaly threshold,Region of the Americas,True,3578414.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_f4f555107be5_001,[],high,src_search_f4f555107be5,"[""src_search_f4f555107be5""]","[""https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024""]",1000000.0,,[]
