actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
,,,,2181519.0,,,claim_rec_src_search_c543063343d0_001_cases_probable,active,corroboration_support,public_health_observation,0.85,cases_probable,case_count,,2181519.0,Brazil,medium,0.7777,2024-03-31,2024-03-31,,live_search_result,Dengue,Dengue,,event_014,,,,"In the state rankings, São Paulo reported the highest number of probable cases (2,181,519), while the Federal District leads in disease incidence, with 9,905.2 cases per 100,000 inhabitants.",llm_structured_output_extractor,São Paulo state,,,False,True,False,False,False,True,event_014,,record reports probable case count,probable_case_record,DEN,True,,dengue Brazil 2024 outbreak cases deaths ProMED HealthMap ECDC surveillance report January March,extract_public_health_observations,fetch_for_extraction,collection_support,2024,False,tavily,src_search_c543063343d0,domain:outbreaknewstoday_substack_com,rec_src_search_c543063343d0_001,collection,Brazil MOH: Dengue cases in 2024 - by Robert Herriman,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-moh-dengue-cases-in-2024,cumulative,São Paulo,chunk_src_search_c543063343d0_004,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
,,2024-06-19,,,,6007048.0,claim_rec_src_search_89d26cc955fb_001_cases_unspecified,active,corroboration_support,public_health_observation,0.85,cases_unspecified,cumulative,,6007048.0,Brazil,high,0.841,2024-03-31,2024-03-31,3999.0,live_search_result,Dengue,Dengue,,event_008,,,,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_008,,record reports unspecified case count,unspecified_case_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_001,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,,chunk_src_search_89d26cc955fb_005,[],"[""inferred_cumulative_metric_from_column_label""]"
,,2024-06-19,,,,6007048.0,claim_rec_src_search_89d26cc955fb_001_deaths,active,corroboration_support,public_health_observation,0.85,deaths,cumulative,,3999.0,Brazil,high,0.841,2024-03-31,2024-03-31,3999.0,live_search_result,Dengue,Dengue,,event_008,,,,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,True,event_008,,record reports death count,death_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_001,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,,chunk_src_search_89d26cc955fb_005,[],"[""inferred_cumulative_metric_from_column_label""]"
,,2024-06-19,,,,,claim_rec_src_search_89d26cc955fb_002_deaths,active,corroboration_support,public_health_observation,0.85,deaths,cumulative,,3999.0,Brazil,high,0.841,2024-03-31,2024-03-31,3999.0,live_search_result,Dengue,Dengue,,event_008,,,,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,True,event_008,,record reports death count,death_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_002,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,,chunk_src_search_89d26cc955fb_005,[],"[""inferred_cumulative_metric_from_column_label""]"
,,2024-06-19,4200000.0,,,,claim_rec_src_search_89d26cc955fb_003_cases_confirmed,active,corroboration_support,public_health_observation,0.85,cases_confirmed,cumulative,,4200000.0,Brazil,high,0.841,2024-03-31,2024-03-31,,live_search_result,Dengue,Dengue,,event_008,,,,More than 4.2 million cases are classified as confirmed.,llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_008,,record reports confirmed case count,confirmed_case_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_003,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,,chunk_src_search_89d26cc955fb_007,[],"[""inferred_cumulative_metric_from_column_label""]"
,,2024-06-19,,,,1829439.0,claim_rec_src_search_89d26cc955fb_004_cases_unspecified,active,corroboration_support,public_health_observation,0.85,cases_unspecified,cumulative,,1829439.0,Brazil,high,0.841,2024-03-31,2024-03-31,,live_search_result,Dengue,Dengue,,event_015,,,,"Sao Paulo state and Minas Gerais state have seen the most cases with 1,829,439 and 1,620,083 cases, respectively.",llm_structured_output_extractor,São Paulo state,,,False,True,False,False,False,True,event_015,,record reports unspecified case count,unspecified_case_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_004,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,São Paulo,chunk_src_search_89d26cc955fb_008,[],"[""inferred_cumulative_metric_from_column_label""]"
,,2024-06-19,,,,,claim_rec_src_search_89d26cc955fb_006_deaths,active,corroboration_support,public_health_observation,0.85,deaths,cumulative,,1172.0,Brazil,high,0.841,2024-03-31,2024-03-31,1172.0,live_search_result,Dengue,Dengue,,event_015,,,,"The above states also lead in dengue deaths with 1,172 in Sao Paulo and 692 in Minas Gerais.",llm_structured_output_extractor,São Paulo state,,,False,False,True,False,False,True,event_015,,record reports death count,death_record,DEN,True,,PAHO WHO dengue Brazil 2024 situation report cases deaths Q1 outbreak,extract_public_health_observations,fetch_for_extraction,collection_support,Season-to-date through 2024 year to date through June 19,False,tavily,src_search_89d26cc955fb,domain:outbreaknewstoday_substack_com,rec_src_search_89d26cc955fb_006,collection,"Brazil dengue cases top 6 million, nearly 4,000 deaths",international_organization_report,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,cumulative,São Paulo,chunk_src_search_89d26cc955fb_009,[],"[""inferred_cumulative_metric_from_column_label""]"
Outbreak News Today,outbreak_news_today,,,6490000.0,,,claim_rec_src_search_9cacbefd56b5_001_cases_probable,active,corroboration_support,public_health_observation,0.85,cases_probable,case_count,,6490000.0,Brazil,medium,0.7593,2024-03-31,2024-03-31,5972.0,live_search_result,Dengue,Dengue,,event_001,2024-12-31,2024-01-01,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",llm_structured_output_extractor,Brazil,,,False,True,False,False,False,True,event_001,,record reports probable case count,probable_case_record,DEN,True,Outbreak News Today,dengue Brazil 2024 Q1 cases deaths hospitalizations ProMED ECDC rapid risk assessment January February March confirmed probable,extract_public_health_observations,fetch_for_extraction,collection_support,2024 full year,False,tavily,src_search_9cacbefd56b5,domain:outbreaknewstoday_substack_com,rec_src_search_9cacbefd56b5_001,collection,Brazil dengue 2025: The first three weeks - Outbreak News Today,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three,annual,,chunk_src_search_9cacbefd56b5_005,[],"[""ambiguous_metric_column_semantics""]"
Outbreak News Today,outbreak_news_today,,,6490000.0,,,claim_rec_src_search_9cacbefd56b5_001_deaths,active,corroboration_support,public_health_observation,0.85,deaths,case_count,,5972.0,Brazil,medium,0.7593,2024-03-31,2024-03-31,5972.0,live_search_result,Dengue,Dengue,,event_001,2024-12-31,2024-01-01,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,True,event_001,,record reports death count,death_record,DEN,True,Outbreak News Today,dengue Brazil 2024 Q1 cases deaths hospitalizations ProMED ECDC rapid risk assessment January February March confirmed probable,extract_public_health_observations,fetch_for_extraction,collection_support,2024 full year,False,tavily,src_search_9cacbefd56b5,domain:outbreaknewstoday_substack_com,rec_src_search_9cacbefd56b5_001,collection,Brazil dengue 2025: The first three weeks - Outbreak News Today,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three,annual,,chunk_src_search_9cacbefd56b5_005,[],"[""ambiguous_metric_column_semantics""]"
Outbreak News Today,outbreak_news_today,,,,,,claim_rec_src_search_9cacbefd56b5_002_deaths,active,corroboration_support,public_health_observation,0.85,deaths,death_count,,5972.0,Brazil,medium,0.7593,2024-03-31,2024-03-31,5972.0,live_search_result,Dengue,Dengue,,event_001,2024-12-31,2024-01-01,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",llm_structured_output_extractor,Brazil,,,False,False,True,False,False,True,event_001,,record reports death count,death_record,DEN,True,Outbreak News Today,dengue Brazil 2024 Q1 cases deaths hospitalizations ProMED ECDC rapid risk assessment January February March confirmed probable,extract_public_health_observations,fetch_for_extraction,collection_support,2024 full year,False,tavily,src_search_9cacbefd56b5,domain:outbreaknewstoday_substack_com,rec_src_search_9cacbefd56b5_002,collection,Brazil dengue 2025: The first three weeks - Outbreak News Today,structured_database,secondary_aggregator,https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three,annual,,chunk_src_search_9cacbefd56b5_005,[],"[""ambiguous_metric_column_semantics""]"
