actual_publisher,allowed_decision_types,date_or_period,disease,evidence_quote,issue_category,issue_type,location,priority_level,priority_rank,recommended_artifacts_to_open,short_title,source_title,source_url,suggested_action,suggested_reviewer_question,target_ids,target_type,why_it_matters
,needs_more_evidence; defer_decision,2024-01-01-2024-03-31,Dengue,Comparable public-health claims conflict and require review.,conflicting_claims_review,claim_corroboration_conflict,Brazil,P0_critical,1,human_review_items; record_inclusion_decisions; claims; claim_comparisons; corroborated_events,conflicting claims review - review_claim_corroboration_conflict_corr_event_002 - Brazil MOH: Dengue cases in 2024 - by Robert Herriman,Brazil MOH: Dengue cases in 2024 - by Robert Herriman,https://outbreaknewstoday.substack.com/p/brazil-moh-dengue-cases-in-2024,review_claim_corroboration,Which claim should be treated as comparable evidence after review?,claim_rec_src_search_0cb54d17a3e3_003_observation; claim_rec_src_search_c543063343d0_001_cases_probable; claim_rec_src_search_89d26cc955fb_001_cases_unspecified; claim_rec_src_search_89d26cc955fb_001_deaths; claim_rec_src_search_89d26cc955fb_002_deaths; claim_rec_src_search_89d26cc955fb_003_cases_confirmed; claim_rec_src_search_89d26cc955fb_004_cases_unspecified; claim_rec_src_search_89d26cc955fb_006_deaths; claim_rec_src_search_9cacbefd56b5_001_cases_probable; claim_rec_src_search_9cacbefd56b5_001_deaths; claim_rec_src_search_9cacbefd56b5_002_deaths; claim_rec_src_search_52123c6cbbdd_001_cases_unspecified; claim_rec_src_search_0cb54d17a3e3_001_cases_probable; claim_rec_src_search_8a863e6c52f9_001_cases_probable; claim_rec_src_search_8a863e6c52f9_002_cases_probable; claim_rec_src_search_0cb54d17a3e3_001_deaths; claim_rec_src_search_0cb54d17a3e3_002_deaths; claim_rec_src_search_0cb54d17a3e3_005_cases_unspecified; claim_rec_src_search_0cb54d17a3e3_005_deaths; src_search_c543063343d0; src_search_89d26cc955fb; src_search_9cacbefd56b5; src_search_52123c6cbbdd; src_search_0cb54d17a3e3; src_search_8a863e6c52f9; corr_event_002,claim,"Comparable claims conflict and may affect cases, date, location, or count semantics."
Outbreak News Today,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,2,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_001 - Brazil dengue 2025: The first three weeks - Outbreak News Today,Brazil dengue 2025: The first three weeks - Outbreak News Today,https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_9cacbefd56b5_001; rec_src_search_9cacbefd56b5_002; event_001,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Centers for Disease Control and Prevention,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"Since the beginning of 2024, over 7.5 million dengue cases and over 3 000 dengue-related deaths have been reported from 73 countries/territories. Most cases globally have been reported from the WHO PAHO region, with Brazil reporting most cases.",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,3,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"possible primary case evidence - review_duplicate_event_002 - Countries/territories reporting dengue cases since March 2023, and ...","Countries/territories reporting dengue cases since March 2023, and ...",https://www.ecdc.europa.eu/en/publications-data/countriesterritories-reporting-dengue-cases-march-2023-and-april-2024,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_619f95867581_001; event_002,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"Throughout the Americas, the Pan American Health Organization (PAHO) has reported 9,386,082 cases of dengue; this number is twice as high as the number of cases recorded throughout 2023, 4,617,108 cases.",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,4,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,"possible primary case evidence - review_duplicate_event_003 - Brazil dengue cases top 6 million, nearly 4,000 deaths","Brazil dengue cases top 6 million, nearly 4,000 deaths",https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_89d26cc955fb_009; event_003,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than thre...",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,5,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_004 - Epidemiological Update - Increase in dengue cases in the Region of the Amer...,Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024 - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_f4f555107be5_004; event_004,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than thre...",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,6,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_005 - Epidemiological Update - Increase in dengue cases in the Region of the Amer...,Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024 - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_f4f555107be5_001; rec_src_search_f4f555107be5_003; event_005,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/s...",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,7,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_009 - Dengue aumentou 400% no Brasil em 2024 em comparação ao ano ...,Dengue aumentou 400% no Brasil em 2024 em comparação ao ano ...,https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_0cb54d17a3e3_001; rec_src_search_0cb54d17a3e3_002; rec_src_search_0cb54d17a3e3_003; event_009,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than thre...",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,8,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_017 - Epidemiological Update - Increase in dengue cases in the Region of the Amer...,Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024 - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_f4f555107be5_005; event_017,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
Pan American Health Organization,accept_as_is; correct_fields; reject_record; mark_requires_review; mark_review_resolved; mark_non_countable; mark_countable; mark_duplicate; mark_not_duplicate; needs_more_evidence; defer_decision,2024-03-31,Dengue,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than thre...",possible_primary_case_evidence,duplicate_event_clustering,Brazil,P0_critical,9,human_review_items; record_inclusion_decisions; quarantined_records; context_records; final_case_dataset; claims; claim_comparisons; corroborated_events,possible primary case evidence - review_duplicate_event_018 - Epidemiological Update - Increase in dengue cases in the Region of the Amer...,Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024 - PAHO/WHO | Pan American Health Organization,https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024,Inspect corroboration and source identity before deciding whether a structured human decision is warranted.,Is this a task-compatible primary case observation or only context/secondary evidence?,rec_src_search_f4f555107be5_002; event_018,record,"No accepted primary case dataset records exist, and this item may contain possible primary case evidence."
,accept_anomaly; dismiss_anomaly; confirm_anomaly; mark_anomaly_resolved; mark_anomaly_needs_more_evidence,2024-01-01-2024-03-31,Dengue,"The Brazil Ministry of Health has reported eclipsing the 6 million case mark for in 2024. Official data shows 6,007,048 cases have been reported through June 19, including 3,999 deaths and another 2,831 fatalities under investigation.",validation_conflict_review,anomaly,Brazil,P0_critical,10,human_review_items; record_inclusion_decisions; validation_results; validation_source_compatibility_summary; anomaly_results,"validation conflict review - review_anomaly_anom_029 - Brazil dengue cases top 6 million, nearly 4,000 deaths","Brazil dengue cases top 6 million, nearly 4,000 deaths",https://outbreaknewstoday.substack.com/p/brazil-dengue-cases-top-6-million,resolve_validation_conflict,"What decision, if any, should a human reviewer record?",src_search_89d26cc955fb; event_008; anom_029; val_result_034,anomaly,This review item requires human inspection before it should affect downstream interpretation.
