actual_publisher,actual_publisher_normalized,as_of_date,cases_confirmed,cases_probable,cases_suspected,cases_unspecified,claim_id,claim_status,claim_support_role,claim_type,confidence,count_field,count_semantics,count_unit,count_value,country,credibility_level,credibility_score,date_or_period,date_reported,deaths,discovery_method,disease,disease_standard_name,document_id,event_cluster_id,event_end_date,event_start_date,evidence_context,evidence_quote,extraction_method,geographic_scope,hospitalizations,human_review_reason,is_background_context_claim,is_case_claim,is_death_claim,is_exposure_monitoring_claim,is_zero_case_statement,likely_syndicated_or_aggregated,linked_event_id,locality,observation_semantics_reason,observation_type,pathogen_or_syndrome,primary_case_dataset_eligible,publisher,query_used,recommended_extraction_use,recommended_fetch_use,recommended_source_role,reporting_period,requires_human_review,search_provider,source_id,source_independence_group,source_record_id,source_role_final,source_title,source_type,source_type_final,source_url,statistical_count_type,subnational_location,supporting_chunk_id,upstream_source_mentions,warnings
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_001_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory test count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_003,,,,"| **No. of specimens tested** | 53,699 | 53,424 |",deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_003,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_001,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_023,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_002_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory test count,,,United States of America,high,0.8826,2024-09-28,2024-09-28,,live_search_result,Influenza,Influenza,,event_001,,,,"| **No. of specimens tested** | 53,699 | 53,424 |",deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_001,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_002,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_023,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_003_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory positive specimen count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_003,,,,| **No. of positive specimens (%)** | 380 (0.7%) | 264 (0.5%) |,deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_003,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_003,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_024,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_004_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory positivity percent,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_003,,,,| **No. of positive specimens (%)** | 380 (0.7%) | 264 (0.5%) |,deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_003,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_004,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_024,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_005_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory positive specimen count,,,United States of America,high,0.8826,2024-09-28,2024-09-28,,live_search_result,Influenza,Influenza,,event_001,,,,| **No. of positive specimens (%)** | 380 (0.7%) | 264 (0.5%) |,deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_001,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_005,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_024,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_006_observation,active,primary_case_claim_support,public_health_observation,0.65,,laboratory positivity percent,,,United States of America,high,0.8826,2024-09-28,2024-09-28,,live_search_result,Influenza,Influenza,,event_001,,,,| **No. of positive specimens (%)** | 380 (0.7%) | 264 (0.5%) |,deterministic_metric_row_splitter,United States,,,False,False,False,False,False,False,event_001,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"MMWR week 40, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_006,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_024,[],"[""filled_metric_period_from_source_reporting_period"", ""deterministic_metric_row_splitter""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-10-05,,,,,claim_rec_src_search_ff1cee7a6f74_007_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,death_count,,0.0,United States of America,high,0.8826,2024-10-05,2024-10-05,0.0,live_search_result,Influenza,Influenza,,event_005,2024-10-05,2024-09-29,,• No influenza-associated pediatric deaths occurring during the 2024-2025 season were reported to CDC during Week 40.,llm_structured_output_extractor,United States,,,False,False,True,False,False,False,event_005,,record reports death count,death_record,flu,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending October 5, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_007,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_022,[],[]
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-10-05,,,,2.0,claim_rec_src_search_ff1cee7a6f74_008_cases_unspecified,active,primary_case_claim_support,public_health_observation,0.85,cases_unspecified,case_count,,2.0,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_008,2024-10-05,2024-09-29,,Two human infections with influenza A(H5) viruses were reported to CDC this week by the California Department of Public Health. These cases are associated with an ongoing outbreak of HPAI A(H5N1) virus in dairy cows.,llm_structured_output_extractor,California,,,False,True,False,False,False,False,event_008,,record reports unspecified case count,unspecified_case_record,flu,True,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending October 5, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_008,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,California,chunk_src_search_ff1cee7a6f74_030,[],[]
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-10-05,,,,,claim_rec_src_search_ff1cee7a6f74_009_observation,active,primary_case_claim_support,public_health_observation,0.85,,ed_visit_percent,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_006,2024-10-05,2024-09-29,,The percentage of emergency department (ED) visits with a discharge diagnosis of influenza reported in NSSP was 0.2% overall during Week 40. This week's percentage remained stable overall and among all age groups compared to the previous week.,llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_006,,record lacks a deterministic case/death/hospitalization claim,ambiguous_public_health_observation,flu,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending October 5, 2024",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_009,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,unknown,,chunk_src_search_ff1cee7a6f74_033,[],[]
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,2024-10-05,,,,,claim_rec_src_search_ff1cee7a6f74_010_deaths,active,primary_case_claim_support,public_health_observation,0.85,deaths,cumulative,,0.0,United States of America,high,0.8826,2024-10-05,2024-10-05,0.0,live_search_result,Influenza,Influenza,,event_007,2024-10-05,,,No influenza-associated pediatric deaths occurring during the 2024-2025 season have been reported to CDC.,llm_structured_output_extractor,United States,,,False,False,True,False,False,False,event_007,,record reports death count,death_record,flu,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,Season-to-date through 2024-2025 influenza season through week 40 ending 2024-10-05,False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_010,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,cumulative,,chunk_src_search_ff1cee7a6f74_034,[],"[""filled_metric_period_from_source_reporting_period"", ""inferred_cumulative_metric_from_column_label""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_011_observation,active,primary_case_claim_support,public_health_observation,0.65,,lab_test_count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_004,,,,"| **No. of specimens tested** | 638 | 1,113 |",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_004,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending 2024-10-05",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_011,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_027,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_012_observation,active,primary_case_claim_support,public_health_observation,0.65,,lab_test_count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_002,,,,"| **No. of specimens tested** | 638 | 1,113 |",llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_002,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending 2024-10-05",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_012,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,cumulative,,chunk_src_search_ff1cee7a6f74_027,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_013_observation,active,primary_case_claim_support,public_health_observation,0.65,,lab_positive_count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_004,,,,| **No. of positive specimens** | 56 | 154 |,llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_004,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending 2024-10-05",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_013,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,newly_reported,,chunk_src_search_ff1cee7a6f74_028,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
Centers for Disease Control and Prevention,centers_for_disease_control_and_prevention,,,,,,claim_rec_src_search_ff1cee7a6f74_014_observation,active,primary_case_claim_support,public_health_observation,0.65,,lab_positive_count,,,United States of America,high,0.8826,2024-10-05,2024-10-05,,live_search_result,Influenza,Influenza,,event_002,,,,| **No. of positive specimens** | 56 | 154 |,llm_structured_output_extractor,United States,,,False,False,False,False,False,False,event_002,,evidence is a surveillance summary,surveillance_summary,,False,Centers for Disease Control and Prevention,"site:cdc.gov influenza ""week 40"" OR ""October 2024"" surveillance 2024-2025 season United States",extract_primary_case_claims,fetch_for_extraction,collection,"Week 40, ending 2024-10-05",False,tavily,src_search_ff1cee7a6f74,publisher:centers_for_disease_control_and_prevention,rec_src_search_ff1cee7a6f74_014,collection,"Weekly US Influenza Surveillance Report: Key Updates for Week 40, ending October 5, 2024 | FluView | CDC",official_public_health_agency,national_public_health_agency,https://www.cdc.gov/fluview/surveillance/2024-week-40.html,cumulative,,chunk_src_search_ff1cee7a6f74_028,[],"[""filled_metric_period_from_source_reporting_period"", ""ambiguous_metric_column_semantics""]"
