edge_type,reason,source,source_type,target,target_type,warnings
fetched_as,document.source_id links to source,source:src_search_ff1cee7a6f74,source,document:doc_001,document,
fetched_as,document.source_id links to source,source:src_search_e47f7e6085a6,source,document:doc_002,document,
fetched_as,document.source_id links to source,source:src_search_1b15a2673061,source,document:doc_003,document,
fetched_as,document.source_id links to source,source:src_search_ff1cee7a6f74,source,document:doc_004,document,
fetched_as,document.source_id links to source,source:src_search_2466312a2ac3,source,document:doc_006,document,
fetched_as,document.source_id links to source,source:src_search_5b96994980c5,source,document:doc_007,document,
fetched_as,document.source_id links to source,source:src_search_dccb1d80faf5,source,document:doc_008,document,
fetched_as,document.source_id links to source,source:src_search_7813d28aa66e,source,document:doc_009,document,
fetched_as,document.source_id links to source,source:src_search_739c5a440dbf,source,document:doc_010,document,
fetched_as,document.source_id links to source,source:src_search_89fe45c6c3cc,source,document:doc_011,document,
fetched_as,document.source_id links to source,source:src_search_ebff1481f418,source,document:doc_012,document,
fetched_as,document.source_id links to source,source:src_search_6d302758cdcd,source,document:doc_013,document,
fetched_as,document.source_id links to source,source:src_search_c95c26c7b200,source,document:doc_014,document,
fetched_as,document.source_id links to source,source:src_search_e47f7e6085a6,source,document:doc_015,document,
fetched_as,document.source_id links to source,source:src_search_2f0a4cb6cf21,source,document:doc_016,document,
fetched_as,document.source_id links to source,source:src_search_1b15a2673061,source,document:doc_017,document,
fetched_as,document.source_id links to source,source:src_search_a528d9bf475d,source,document:doc_018,document,
fetched_as,document.source_id links to source,source:src_search_79e3303d15e2,source,document:doc_019,document,
fetched_as,document.source_id links to source,source:src_search_275b134ca50b,source,document:doc_020,document,
fetched_as,document.source_id links to source,source:src_search_040dd0cc2a13,source,document:doc_021,document,
fetched_as,document.source_id links to source,source:src_search_3c62a0b5d9d6,source,document:doc_022,document,
fetched_as,document.source_id links to source,source:src_search_08ff4e621e6d,source,document:doc_023,document,
fetched_as,document.source_id links to source,source:src_search_39cef9614d66,source,document:doc_024,document,
fetched_as,document.source_id links to source,source:src_search_0a7b36e413fd,source,document:doc_025,document,
fetched_as,document.source_id links to source,source:src_search_7edb5942f160,source,document:doc_026,document,
fetched_as,document.source_id links to source,source:src_search_d4520b372d72,source,document:doc_027,document,
fetched_as,document.source_id links to source,source:src_search_0fff1ff8aec5,source,document:doc_028,document,
fetched_as,document.source_id links to source,source:src_search_7c93d846b7e6,source,document:doc_029,document,
fetched_as,document.source_id links to source,source:src_search_421d9a4e7d1c,source,document:doc_030,document,
fetched_as,document.source_id links to source,source:src_search_e0370422d92f,source,document:doc_031,document,
fetched_as,document.source_id links to source,source:src_search_2a8f5ab401f0,source,document:doc_032,document,
fetched_as,document.source_id links to source,source:src_search_4fcd8a7806fd,source,document:doc_033,document,
fetched_as,document.source_id links to source,source:src_search_4113f9b4d265,source,document:doc_034,document,
fetched_as,document.source_id links to source,source:src_search_2803152d7acd,source,document:doc_035,document,
fetched_as,document.source_id links to source,source:src_search_7a2a0b4aafab,source,document:doc_036,document,
fetched_as,document.source_id links to source,source:src_search_56ae1d93a391,source,document:doc_037,document,
fetched_as,document.source_id links to source,source:src_search_5e5db7631a59,source,document:doc_038,document,
fetched_as,document.source_id links to source,source:src_search_56888319c899,source,document:doc_039,document,
fetched_as,document.source_id links to source,source:src_search_788fc63b0a32,source,document:doc_040,document,
fetched_as,document.source_id links to source,source:src_search_5d420ffb46a3,source,document:doc_041,document,
fetched_as,document.source_id links to source,source:src_search_50b73d583e75,source,document:doc_042,document,
fetched_as,document.source_id links to source,source:src_search_3ca7d0dccaf3,source,document:doc_043,document,
fetched_as,document.source_id links to source,source:src_search_0ecd29cced03,source,document:doc_044,document,
fetched_as,document.source_id links to source,source:src_search_ab285e09d5d1,source,document:doc_045,document,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_001,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_023,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_002,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_003,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_004,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_005,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_024,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_006,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_022,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_007,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_030,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_008,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_033,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_009,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_034,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_010,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_027,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_011,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_027,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_012,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_028,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_013,raw_record,
extracted_into,record.supporting_chunk_id links to evidence chunk,evidence_chunk:chunk_src_search_ff1cee7a6f74_028,evidence_chunk,raw_record:rec_src_search_ff1cee7a6f74_014,raw_record,
