anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |",,[],,Americas,False,32.0,deaths present but no comparable case count is available,human_review,rec_src_search_8242cbb785a1_002,[],low,src_search_8242cbb785a1,"[""src_search_8242cbb785a1""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",,,"[""insufficient_case_reference""]"
anom_002,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region.  The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664), and Canada (n= 733), with ongoing transmission documented in Bolivia and other countries across the Region.  All age groups are affected; however, the highest number of cases has been reported among children, particularly those aged 1–9 years, followed by children and adolescents aged 10–19 years. Incidence rates are highest among children under one year of age.  A substantial proportion of cases occur among unvaccinated individuals, with available data indicating that approximately two-thirds of confirmed cases have no documented history of measles vaccination. |",,[],,Americas Region,False,32.0,deaths present but no comparable case count is available,human_review,rec_src_search_6e578fc529e9_002,[],low,src_search_6e578fc529e9,"[""src_search_6e578fc529e9""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",,,"[""insufficient_case_reference""]"
anom_003,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,"Decreases in measles vaccination coverage worldwide have increased the risk for larger measles outbreaks, especially in undervaccinated communities ([About Measles | CDC](https://www.cdc.gov/measles/about/index.html#cdc_disease_basics_population-who-is-at-risk)). On August 18, 2025, the [Texas measles outbreak was declared over](https://www.dshs.texas.gov/news-alerts/texas-announces-end-west-texas-measles-outbreak), having comprised 762 confirmed cases, 99 hospitalizations, and a second measles-associated death. Although the source of this outbreak remains unknown, internationally imported cases have been associated with outbreaks among other close-knit U.S. communities with low vaccination coverage (*3*,*4*). High population coverage with 2 MMR vaccine doses is the most effective public health intervention for preventing measles ([Measles Vaccination | CDC](https://www.cdc.gov/measles/vaccines/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fvaccines%2Fvpd%2Fmmr%2Fpublic%2Findex.html)).",,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_fede8be6ac1e_003,[],low,src_search_fede8be6ac1e,"[""src_search_fede8be6ac1e""]","[""https://www.cdc.gov/mmwr/volumes/75/wr/mm7523a2.htm""]",,,"[""insufficient_case_reference""]"
anom_004,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,2025 Confirmed Measles Deaths:** 2,,[],,United States,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_78fdd46eb63c_001,[],low,src_search_78fdd46eb63c,"[""src_search_78fdd46eb63c""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",,,"[""insufficient_case_reference""]"
anom_005,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,2025 Confirmed Measles Deaths:** 1,,[],,United States,False,1.0,deaths present but no comparable case count is available,human_review,rec_src_search_78fdd46eb63c_002,[],low,src_search_78fdd46eb63c,"[""src_search_78fdd46eb63c""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",,,"[""insufficient_case_reference""]"
anom_006,open,deaths_without_case_reference,record,deaths,2025-03-06,deterministic_anomaly_detection,Measles,,3/6/25: The New Mexico Department of Health reported a measles-associated fatality in an unvaccinated adult who tested positive for measles.,,[],,New Mexico,False,1.0,deaths present but no comparable case count is available,human_review,rec_src_search_78fdd46eb63c_003,[],low,src_search_78fdd46eb63c,"[""src_search_78fdd46eb63c""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",,,"[""insufficient_case_reference""]"
anom_007,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,2025 Confirmed Measles Deaths:** 0,,[],,United States,False,0.0,deaths present but no comparable case count is available,human_review,rec_src_search_78fdd46eb63c_004,[],low,src_search_78fdd46eb63c,"[""src_search_78fdd46eb63c""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a""]",,,"[""insufficient_case_reference""]"
anom_008,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,"# Texas Declares Measles Outbreak ‘Over’ After 762 Cases, Two Child Deaths",,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_831265159816_002,[],low,src_search_831265159816,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,,"[""insufficient_case_reference""]"
anom_009,open,deaths_without_case_reference,record,deaths,2025-04-25,deterministic_anomaly_detection,Measles,,No additional deaths have been reported since a [second Texas child died](https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/second-child-dies-of-measles-in-texas/) of “measles pulmonary failure” on April 6.,,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_831265159816_014,[],low,src_search_831265159816,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,,"[""insufficient_case_reference""]"
anom_010,open,deaths_without_case_reference,record,deaths,2025-03-31,deterministic_anomaly_detection,Measles,,No additional deaths have been reported since a [second Texas child died](https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/second-child-dies-of-measles-in-texas/) of “measles pulmonary failure” on April 6.,,[],,Texas,False,2.0,deaths present but no comparable case count is available,human_review,rec_src_search_831265159816_022,[],low,src_search_831265159816,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,,"[""insufficient_case_reference""]"
anom_011,open,deaths_without_case_reference,record,deaths,2025-03-14,deterministic_anomaly_detection,Measles,,"Thirty-four of the cases have resulted in hospitalization, and one death (Feb 26th).",,[],,Texas,False,1.0,deaths present but no comparable case count is available,human_review,rec_src_search_831265159816_040,[],low,src_search_831265159816,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,,"[""insufficient_case_reference""]"
anom_012,open,out_of_scope_count_bearing_record,validation_result,task_scope,EW 1–EW 16 of 2026,deterministic_anomaly_detection,Measles,event_007,"| [Download](/sites/default/files/2026/05/measles-outbreak-situation-report-7may-2026.pdf ""Situation Report #2: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 16 of 2026, countries in the Region of the Americas reported 18,352 confirmed measles cases including 15 deaths. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Since the publication of Situation Report No. 1 (EW 12, 2026), an additional 3,887 confirmed cases including six deaths have been reported, reflecting continued expansion of outbreaks in Mexico and Guatemala, sustained transmission in Canada, and newly reported cases in Peru.  The highest number of confirmed cases in 2026 have been reported in Mexico (10,049 cases), Guatemala (5,399 cases), the United States of America (1,792 cases), and Canada (944 cases).  Transmission continues to disproportionately affect children, particularly those aged 1–9 years, with the highest incidence rates observed among infants aged under one year.  Available vaccination data indicate that a substantial proportion of confirmed cases occurred among unvaccinated individuals. |","{""disease"": ""Measles"", ""location"": ""United States"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,United States of America,True,"{""disease"": ""Measles"", ""location"": ""United States of America"", ""date_or_period"": ""EW 1–EW 16 of 2026""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_8242cbb785a1""]","[""https://www.paho.org/en/documents/situation-report-2-measles-americas-region""]",,val_result_006,"[""outside_time_window""]"
anom_013,open,out_of_scope_count_bearing_record,validation_result,task_scope,2026 EW1-EW12,deterministic_anomaly_detection,Measles,event_006,"| [Download](/sites/default/files/2026/04/pahomeaslessitrep1engupdated_0.pdf ""Situation Report #1: Measles in the Americas Region"") | Between epidemiological weeks (EW) 1 and EW 12 of 2026, countries in the Region of the Americas reported 14,465 confirmed measles cases. In 2025, 14,503 measles cases were reported, including 32 deaths. This follows a marked rise in cases during 2025, with continued acceleration observed in early 2026.  Genotyping information indicate that the D8 lineage has been identified across multiple countries and is associated with outbreaks in at least ten countries, suggesting widespread circulation of this strain in the Region.  The highest number of cases in 2026 have been reported in Mexico (n= 8,315), Guatemala (n= 3,687), the United States of America (n= 1,664), and Canada (n= 733), with ongoing transmission documented in Bolivia and other countries across the Region.  All age groups are affected; however, the highest number of cases has been reported among children, particularly those aged 1–9 years, followed by children and adolescents aged 10–19 years. Incidence rates are highest among children under one year of age.  A substantial proportion of cases occur among unvaccinated individuals, with available data indicating that approximately two-thirds of confirmed cases have no documented history of measles vaccination. |","{""disease"": ""Measles"", ""location"": ""United States"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,United States of America,True,"{""disease"": ""Measles"", ""location"": ""United States of America"", ""date_or_period"": ""2026 EW1-EW12""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_6e578fc529e9""]","[""https://www.paho.org/en/documents/situation-report-1-measles-americas-region""]",,val_result_009,"[""outside_time_window""]"
anom_014,open,out_of_scope_count_bearing_record,validation_result,task_scope,2024,deterministic_anomaly_detection,Measles,event_002,"By comparison, there were 285 measles cases in the United States in all of 2024.","{""disease"": ""Measles"", ""location"": ""United States"", ""time_window"": [2025, 2025]}",[],Stage 10 validation marked record outside requested scope: outside_time_window,United States,True,"{""disease"": ""Measles"", ""location"": ""United States"", ""date_or_period"": ""2024""}",Stage 10 validation marked record outside requested scope: outside_time_window,confirm_scope_or_reject_record,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_054,"[""outside_time_window""]"
anom_015,open,validation_conflict_anomaly,validation_result,deaths,2025,deterministic_anomaly_detection,Measles,event_005,2025 Confirmed Measles Deaths:** 2,,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,United States,True,"[{""record_id"": ""rec_src_search_78fdd46eb63c_001"", ""value"": 2.0}, {""record_id"": ""rec_src_search_78fdd46eb63c_002"", ""value"": 1.0}, {""record_id"": ""rec_src_search_78fdd46eb63c_004"", ""value"": 0.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_78fdd46eb63c"", ""src_search_831265159816""]","[""https://www.arcgis.com/apps/dashboards/dd314001921f4d2eac160f89ded0b49a"", ""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_093,"[""human_review_required""]"
anom_016,open,validation_conflict_anomaly,validation_result,cases_unspecified,"January 1–April 17, 2025",deterministic_anomaly_detection,Measles,event_008,| ****Total measles cases**** | ****800 (100)**** | ****48 (6)**** | ****752 (94)**** |,,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,United States,True,"[{""record_id"": ""rec_src_search_3109afb35d90_002"", ""value"": 800.0}, {""record_id"": ""rec_src_search_3109afb35d90_003"", ""value"": 48.0}, {""record_id"": ""rec_src_search_3109afb35d90_004"", ""value"": 752.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_3109afb35d90""]","[""https://www.cdc.gov/mmwr/volumes/74/wr/mm7414a1.htm""]",,val_result_097,"[""human_review_required""]"
anom_017,open,validation_conflict_anomaly,validation_result,cases_unspecified,"as of Mar 4, 2025",deterministic_anomaly_detection,Measles,event_025,"According to information released by the department, 127 of the 154 cases with known age data have occurred in children under age 18.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Texas,True,"[{""record_id"": ""rec_src_search_831265159816_060"", ""value"": 127.0}, {""record_id"": ""rec_src_search_831265159816_061"", ""value"": 80.0}, {""record_id"": ""rec_src_search_831265159816_062"", ""value"": 5.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_115,"[""human_review_required""]"
anom_018,open,validation_conflict_anomaly,validation_result,case_definition,"as of March 7, 2025",deterministic_anomaly_detection,Measles,event_027,"According to the state’s data, 153 of the cases have occurred in children under the age of 18. Eighty of the 85 confirmed cases with a known vaccination status have occurred in unvaccinated persons, or 94%.",,[],Validation result is a conflict: Sources may use different case definitions or reporting categories.,Texas,True,"[{""record_id"": ""rec_src_search_831265159816_055"", ""value"": ""unspecified""}, {""record_id"": ""rec_src_search_831265159816_056"", ""value"": ""confirmed""}]",Validation result is a conflict: Sources may use different case definitions or reporting categories.,resolve_validation_conflict,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_118,[]
anom_019,open,validation_conflict_anomaly,validation_result,cases_unspecified,2025-01-01 to 2025-03-31,deterministic_anomaly_detection,Measles,event_029,"One hundred seventy-four of the cases have been confirmed in children under age 18, and 80 of the cases in unvaccinated individuals compared to five in those vaccinated with one dose of the MMR vaccine.",,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Texas,True,"[{""record_id"": ""rec_src_search_831265159816_050"", ""value"": 174.0}, {""record_id"": ""rec_src_search_831265159816_051"", ""value"": 80.0}, {""record_id"": ""rec_src_search_831265159816_052"", ""value"": 5.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_121,"[""human_review_required""]"
anom_020,open,validation_conflict_anomaly,validation_result,cases_unspecified,2025-01-01 to 2025-03-31,deterministic_anomaly_detection,Measles,event_041,No additional deaths have been reported since a [second Texas child died](https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/second-child-dies-of-measles-in-texas/) of “measles pulmonary failure” on April 6.,,[],Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,Texas,True,"[{""record_id"": ""rec_src_search_831265159816_025"", ""value"": 481.0}, {""record_id"": ""rec_src_search_831265159816_057"", ""value"": 159.0}]",Validation result is a conflict: Sources report substantially different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_134,"[""human_review_required""]"
anom_021,open,validation_conflict_anomaly,validation_result,cases_unspecified,2025-01-01 to 2025-03-31,deterministic_anomaly_detection,Measles,event_048,"Of the 517 infections with age data available, 374 have occurred in children under age 18 (72.3%).",,[],Validation result is a conflict: Sources report different numeric values for the same linked event.,Texas,True,"[{""record_id"": ""rec_src_search_831265159816_026"", ""value"": 374.0}, {""record_id"": ""rec_src_search_831265159816_027"", ""value"": 337.0}]",Validation result is a conflict: Sources report different numeric values for the same linked event.,resolve_validation_conflict,,[],high,,"[""src_search_831265159816""]","[""https://respiratory-therapy.com/disorders-diseases/infectious-diseases/other-infections/texas-measles-outbreak-2025""]",,val_result_142,"[""human_review_required""]"
anom_022,open,aggregate_member_mismatch,event_cluster,deaths,2025-03-31,deterministic_anomaly_detection,Measles,event_003,,64.0,[],event cluster canonical count differs from sum of comparable countable members,United States of America,True,32.0,event cluster canonical count differs from sum of comparable countable members,review_cluster_canonical_count,,[],medium,,[],[],,,[]
